config,n_platforms,rho_e,alpha,iteration,platform_id,mean_homogeneity,fraction_enclaved,settling_step,n_disruptions,mean_recovery_steps
exp2_np27_rho005_alpha10,27,0.05,10,13,908,0.9070831919628359,0.6,,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,910,0.9981818181818182,0.99,7,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,913,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,916,0.9193099010982138,0.7,37,14,1.2142857142857142
exp2_np27_rho005_alpha10,27,0.05,10,13,920,0.9631847925466347,0.87,18,8,1.125
exp2_np27_rho005_alpha10,27,0.05,10,13,921,0.922545843045843,0.72,19,14,1.5384615384615385
exp2_np27_rho005_alpha10,27,0.05,10,13,924,0.9586205285942129,0.85,38,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,925,0.9182256191520897,0.6,,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,927,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,902,0.9554523064193063,0.83,30,8,1.0
exp2_np27_rho005_alpha10,27,0.05,10,12,905,0.9028717709617226,0.6,,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,907,0.9311141287333239,0.62,2,19,1.9473684210526316
exp2_np27_rho005_alpha10,27,0.05,10,12,912,0.9615114803497157,0.79,47,6,1.4
exp2_np27_rho005_alpha10,27,0.05,10,12,916,0.9717870074370074,0.86,45,5,1.0
exp2_np27_rho005_alpha10,27,0.05,10,12,919,0.9389122666978704,0.67,,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,922,0.9706554272666804,0.9,28,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,925,0.891794812071986,0.51,,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,927,0.8864260505146728,0.54,64,6,2.0
exp2_np27_rho005_alpha10,27,0.05,10,9,902,0.9602936507936508,0.83,60,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,910,0.9574794608985786,0.85,28,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,9,911,0.9697115245865245,0.9,16,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,918,0.9843501144164759,0.96,1,2,2.0
exp2_np27_rho005_alpha10,27,0.05,10,9,919,0.9283227233550764,0.73,67,4,2.25
exp2_np27_rho005_alpha10,27,0.05,10,9,921,0.9243210237474944,0.64,83,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,922,0.9247500267310889,0.72,45,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,925,0.925801250220368,0.7,74,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,926,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,8,902,0.9700604822164419,0.89,7,8,1.25
exp2_np27_rho005_alpha10,27,0.05,10,8,905,0.9657878787878788,0.87,18,5,1.4
exp2_np27_rho005_alpha10,27,0.05,10,8,910,0.9312677998311496,0.76,35,6,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,8,911,0.9562272079772081,0.9,1,6,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,8,912,0.9749602064602065,0.91,1,8,1.125
exp2_np27_rho005_alpha10,27,0.05,10,8,914,0.9403142054024407,0.72,25,10,1.6
exp2_np27_rho005_alpha10,27,0.05,10,8,918,0.9841239316239316,0.94,15,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,8,922,0.8469989004100156,0.42,,0,
exp2_np27_rho005_alpha10,27,0.05,10,8,927,0.9179774844720499,0.75,46,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,15,905,0.9539420995670995,0.85,27,5,1.2
exp2_np27_rho005_alpha10,27,0.05,10,15,908,0.945738011257748,0.84,4,9,1.625
exp2_np27_rho005_alpha10,27,0.05,10,15,910,0.9154799236001281,0.59,,0,
exp2_np27_rho005_alpha10,27,0.05,10,15,912,0.9903631239935587,0.96,1,3,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,15,916,0.9739129875026934,0.92,1,2,4.0
exp2_np27_rho005_alpha10,27,0.05,10,15,919,0.9691264393501237,0.85,21,9,1.2222222222222223
exp2_np27_rho005_alpha10,27,0.05,10,15,921,0.9843752497502498,0.96,8,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,15,923,0.8703717486647052,0.53,,0,
exp2_np27_rho005_alpha10,27,0.05,10,15,927,0.9724287320866268,0.9,20,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,2,901,0.9591739371739372,0.88,5,9,1.25
exp2_np27_rho005_alpha10,27,0.05,10,2,902,0.9101422414015293,0.6,91,0,
exp2_np27_rho005_alpha10,27,0.05,10,2,907,0.9671091912903058,0.87,32,1,3.0
exp2_np27_rho005_alpha10,27,0.05,10,2,908,0.9510062582326515,0.8,13,10,1.8
exp2_np27_rho005_alpha10,27,0.05,10,2,910,0.935655511155511,0.81,54,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,2,914,0.9685108309990663,0.88,1,8,1.5
exp2_np27_rho005_alpha10,27,0.05,10,2,919,0.9229456654456654,0.67,,0,
exp2_np27_rho005_alpha10,27,0.05,10,2,922,0.8721528470669335,0.56,69,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,2,927,0.984467317960453,0.93,16,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,1,902,0.9263399905941136,0.71,89,0,
exp2_np27_rho005_alpha10,27,0.05,10,1,906,0.9635938989630941,0.87,3,11,1.0909090909090908
exp2_np27_rho005_alpha10,27,0.05,10,1,910,0.9842674474648159,0.91,34,0,
exp2_np27_rho005_alpha10,27,0.05,10,1,913,0.9445009854715737,0.79,43,2,1.0
exp2_np27_rho005_alpha10,27,0.05,10,1,914,0.8838640497789106,0.44,,0,
exp2_np27_rho005_alpha10,27,0.05,10,1,917,0.9666512124012898,0.85,19,6,1.8333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,1,919,0.9532830739521916,0.81,1,17,1.125
exp2_np27_rho005_alpha10,27,0.05,10,1,925,0.9604176656676657,0.89,14,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,1,926,0.9766549936991114,0.93,11,5,1.0
exp2_np27_rho005_alpha10,27,0.05,10,10,902,0.9934444444444444,0.97,1,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,10,903,0.9306673804351823,0.66,72,0,
exp2_np27_rho005_alpha10,27,0.05,10,10,904,0.9596888958994222,0.8,1,17,1.1764705882352942
exp2_np27_rho005_alpha10,27,0.05,10,10,905,0.9872582417582418,0.96,1,3,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,10,918,0.9783710317460319,0.93,14,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,10,919,0.9583408853014891,0.84,23,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,10,920,0.9682429199104391,0.92,7,3,2.0
exp2_np27_rho005_alpha10,27,0.05,10,10,921,0.9779712646028434,0.93,1,3,2.3333333333333335
exp2_np27_rho005_alpha10,27,0.05,10,10,922,0.9936134453781513,0.98,1,2,1.0
exp2_np27_rho005_alpha10,27,0.05,10,14,902,0.969608766233766,0.89,3,8,1.25
exp2_np27_rho005_alpha10,27,0.05,10,14,904,0.990909090909091,0.98,1,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,14,906,0.9082798996967795,0.57,20,19,1.4444444444444444
exp2_np27_rho005_alpha10,27,0.05,10,14,907,0.868481096754123,0.53,66,7,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,14,909,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,14,912,0.9807000769698138,0.96,1,3,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,14,916,0.8739638708291453,0.48,83,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,14,917,0.9978947368421052,0.99,1,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,14,921,0.9579090069287437,0.82,47,5,1.4
exp2_np27_rho005_alpha10,27,0.05,10,0,902,0.9138187662011191,0.7,1,14,2.142857142857143
exp2_np27_rho005_alpha10,27,0.05,10,0,905,0.9868044871794872,0.94,1,6,1.0
exp2_np27_rho005_alpha10,27,0.05,10,0,907,0.9217434530553725,0.62,35,15,1.3571428571428572
exp2_np27_rho005_alpha10,27,0.05,10,0,911,0.9321832909952105,0.67,,0,
exp2_np27_rho005_alpha10,27,0.05,10,0,915,0.9480454958053641,0.83,10,11,1.1818181818181819
exp2_np27_rho005_alpha10,27,0.05,10,0,916,0.9218183427644828,0.68,2,21,1.4761904761904763
exp2_np27_rho005_alpha10,27,0.05,10,0,918,0.9817251082251083,0.94,10,0,
exp2_np27_rho005_alpha10,27,0.05,10,0,921,0.9092211326685011,0.73,15,16,1.5
exp2_np27_rho005_alpha10,27,0.05,10,0,924,0.9489252343779728,0.77,36,8,1.125
exp2_np27_rho005_alpha10,27,0.05,10,7,902,0.9302732716629776,0.76,1,12,2.0
exp2_np27_rho005_alpha10,27,0.05,10,7,911,0.9412984761066099,0.75,17,10,2.2
exp2_np27_rho005_alpha10,27,0.05,10,7,912,0.9548516581457759,0.78,,0,
exp2_np27_rho005_alpha10,27,0.05,10,7,914,0.9413134712014777,0.76,21,10,1.5
exp2_np27_rho005_alpha10,27,0.05,10,7,916,0.9021142867710207,0.65,39,5,1.2
exp2_np27_rho005_alpha10,27,0.05,10,7,917,0.9642520747226629,0.89,4,5,1.6
exp2_np27_rho005_alpha10,27,0.05,10,7,919,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,7,924,0.9471448634698635,0.83,38,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,7,925,0.9715669942802296,0.86,1,14,1.0
exp2_np27_rho005_alpha10,27,0.05,10,11,904,0.9735421245421244,0.88,1,7,1.7142857142857142
exp2_np27_rho005_alpha10,27,0.05,10,11,907,0.939609720181779,0.78,6,16,1.1875
exp2_np27_rho005_alpha10,27,0.05,10,11,908,0.9693537609191634,0.91,11,4,1.5
exp2_np27_rho005_alpha10,27,0.05,10,11,910,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,11,912,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,11,916,0.8916104280566356,0.47,,0,
exp2_np27_rho005_alpha10,27,0.05,10,11,917,0.9604871517371518,0.82,7,12,1.4166666666666667
exp2_np27_rho005_alpha10,27,0.05,10,11,924,0.9349792152292153,0.72,36,11,1.1818181818181819
exp2_np27_rho005_alpha10,27,0.05,10,11,925,0.9391687778452483,0.77,1,15,1.5333333333333334
exp2_np27_rho005_alpha10,27,0.05,10,3,902,0.943867699152226,0.8,20,11,1.0909090909090908
exp2_np27_rho005_alpha10,27,0.05,10,3,903,0.9751528212954044,0.88,28,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,3,908,0.9374708346498628,0.73,44,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,3,913,0.918283339611984,0.69,56,0,
exp2_np27_rho005_alpha10,27,0.05,10,3,915,0.9512644679881522,0.77,41,4,1.75
exp2_np27_rho005_alpha10,27,0.05,10,3,917,0.9788122067990489,0.92,1,7,1.1428571428571428
exp2_np27_rho005_alpha10,27,0.05,10,3,919,0.8961573533191955,0.62,88,0,
exp2_np27_rho005_alpha10,27,0.05,10,3,924,0.891263926759515,0.56,79,4,1.0
exp2_np27_rho005_alpha10,27,0.05,10,3,926,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,5,901,0.9846748545572075,0.95,20,0,
exp2_np27_rho005_alpha10,27,0.05,10,5,904,0.961472250751782,0.83,49,0,
exp2_np27_rho005_alpha10,27,0.05,10,5,905,0.944006946441931,0.8,68,0,
exp2_np27_rho005_alpha10,27,0.05,10,5,907,0.9635016570443068,0.85,1,11,1.3636363636363635
exp2_np27_rho005_alpha10,27,0.05,10,5,909,0.9715207806898982,0.89,3,9,1.125
exp2_np27_rho005_alpha10,27,0.05,10,5,912,0.9350839658707305,0.77,2,15,1.4666666666666666
exp2_np27_rho005_alpha10,27,0.05,10,5,921,0.9567704056695994,0.85,26,4,1.5
exp2_np27_rho005_alpha10,27,0.05,10,5,922,0.9644051976541457,0.86,64,0,
exp2_np27_rho005_alpha10,27,0.05,10,5,925,0.9651904761904762,0.89,14,3,1.0
exp2_np27_rho005_alpha10,27,0.05,10,6,901,0.9584001941337025,0.85,14,6,1.1666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,6,906,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,6,909,0.8616304611997336,0.44,89,0,
exp2_np27_rho005_alpha10,27,0.05,10,6,910,0.9580628964688563,0.83,60,4,1.0
exp2_np27_rho005_alpha10,27,0.05,10,6,914,0.8864445707800972,0.49,,0,
exp2_np27_rho005_alpha10,27,0.05,10,6,917,0.9334643418890795,0.81,35,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,6,919,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,6,925,0.9376759066246716,0.8,57,0,
exp2_np27_rho005_alpha10,27,0.05,10,6,927,0.9259483793983795,0.72,38,6,2.0
exp2_np27_rho005_alpha10,27,0.05,10,4,906,0.9228697266785503,0.76,21,9,1.4444444444444444
exp2_np27_rho005_alpha10,27,0.05,10,4,907,0.985952380952381,0.97,7,0,
exp2_np27_rho005_alpha10,27,0.05,10,4,908,0.9619785714285715,0.89,1,9,1.25
exp2_np27_rho005_alpha10,27,0.05,10,4,909,0.8522443400252999,0.44,,0,
exp2_np27_rho005_alpha10,27,0.05,10,4,911,0.9798790653790654,0.91,27,0,
exp2_np27_rho005_alpha10,27,0.05,10,4,916,0.9933928571428572,0.98,1,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,4,918,0.960237129700365,0.84,1,9,1.7777777777777777
exp2_np27_rho005_alpha10,27,0.05,10,4,922,0.9371278480291639,0.78,29,5,1.6
exp2_np27_rho005_alpha10,27,0.05,10,4,923,0.9432923285864463,0.79,30,4,2.25
exp2_np27_rho005_alpha10,27,0.05,10,16,903,0.9639329004329005,0.85,11,4,2.75
exp2_np27_rho005_alpha10,27,0.05,10,16,907,0.918241046535164,0.57,,0,
exp2_np27_rho005_alpha10,27,0.05,10,16,908,0.9388693251193252,0.71,73,0,
exp2_np27_rho005_alpha10,27,0.05,10,16,912,0.9616247553615974,0.85,26,0,
exp2_np27_rho005_alpha10,27,0.05,10,16,914,0.9472785368226545,0.8,35,7,1.2857142857142858
exp2_np27_rho005_alpha10,27,0.05,10,16,919,0.9647955239205239,0.82,21,13,1.0769230769230769
exp2_np27_rho005_alpha10,27,0.05,10,16,920,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,16,921,0.8798757578850459,0.44,,0,
exp2_np27_rho005_alpha10,27,0.05,10,16,922,0.8890317979950332,0.51,,0,
exp2_np27_rho005_alpha10,27,0.05,10,18,906,0.9635958229077424,0.84,1,16,1.0
exp2_np27_rho005_alpha10,27,0.05,10,18,911,0.945794489151536,0.82,19,10,1.0
exp2_np27_rho005_alpha10,27,0.05,10,18,912,0.9699945054945054,0.89,26,3,1.0
exp2_np27_rho005_alpha10,27,0.05,10,18,914,0.9348700066273594,0.74,,0,
exp2_np27_rho005_alpha10,27,0.05,10,18,917,0.951734988867342,0.86,28,0,
exp2_np27_rho005_alpha10,27,0.05,10,18,918,0.9554932271432273,0.8,1,16,1.25
exp2_np27_rho005_alpha10,27,0.05,10,18,920,0.9790512820512821,0.94,1,3,2.5
exp2_np27_rho005_alpha10,27,0.05,10,18,921,0.9221073991797675,0.67,47,6,1.5
exp2_np27_rho005_alpha10,27,0.05,10,18,922,0.8988818988029514,0.65,,0,
exp2_np27_rho005_alpha10,27,0.05,10,17,902,0.9815037046287045,0.92,26,0,
exp2_np27_rho005_alpha10,27,0.05,10,17,903,0.9713588073433275,0.9,6,3,2.0
exp2_np27_rho005_alpha10,27,0.05,10,17,907,0.9548179406999876,0.81,12,9,1.5555555555555556
exp2_np27_rho005_alpha10,27,0.05,10,17,908,0.9477149672223202,0.8,10,12,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,17,910,0.9500340589362328,0.8,46,3,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,17,911,0.9459288876944686,0.84,7,8,1.875
exp2_np27_rho005_alpha10,27,0.05,10,17,912,0.9257416446212887,0.66,47,11,1.3636363636363635
exp2_np27_rho005_alpha10,27,0.05,10,17,916,0.9595409977206653,0.84,1,11,1.4545454545454546
exp2_np27_rho005_alpha10,27,0.05,10,17,920,0.9614407814407815,0.88,31,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,21,901,0.966364238702474,0.87,22,6,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,21,903,0.9010883554995336,0.58,,0,
exp2_np27_rho005_alpha10,27,0.05,10,21,904,0.9932997711670482,0.98,1,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,21,905,0.9223837937088711,0.64,,0,
exp2_np27_rho005_alpha10,27,0.05,10,21,911,0.9911831501831502,0.97,1,3,1.0
exp2_np27_rho005_alpha10,27,0.05,10,21,917,0.9696642107892107,0.86,25,9,1.1111111111111112
exp2_np27_rho005_alpha10,27,0.05,10,21,919,0.9379195804195803,0.79,47,3,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,21,920,0.9293166837951321,0.72,34,4,4.5
exp2_np27_rho005_alpha10,27,0.05,10,21,922,0.9172701763320958,0.68,51,10,1.5
exp2_np27_rho005_alpha10,27,0.05,10,19,906,0.9301475224122282,0.73,49,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,19,908,0.9331036005188483,0.72,43,7,1.1428571428571428
exp2_np27_rho005_alpha10,27,0.05,10,19,910,0.8878417081714295,0.54,,0,
exp2_np27_rho005_alpha10,27,0.05,10,19,916,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,19,919,0.9324800654110252,0.66,,0,
exp2_np27_rho005_alpha10,27,0.05,10,19,921,0.9239221349144118,0.71,65,0,
exp2_np27_rho005_alpha10,27,0.05,10,19,924,0.9459613915496269,0.73,54,0,
exp2_np27_rho005_alpha10,27,0.05,10,19,926,0.9349599910323595,0.69,57,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,19,927,0.9404781607281607,0.75,41,9,1.0
exp2_np27_rho005_alpha10,27,0.05,10,23,902,0.9975,0.99,6,0,
exp2_np27_rho005_alpha10,27,0.05,10,23,904,0.8601893972041031,0.38,,0,
exp2_np27_rho005_alpha10,27,0.05,10,23,905,0.9125023492589283,0.68,53,2,1.0
exp2_np27_rho005_alpha10,27,0.05,10,23,906,0.9942528735632183,0.98,1,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,23,910,0.9823468768074031,0.93,1,6,1.0
exp2_np27_rho005_alpha10,27,0.05,10,23,912,0.9369878347057141,0.74,47,10,1.1111111111111112
exp2_np27_rho005_alpha10,27,0.05,10,23,917,0.9489559781034239,0.78,36,0,
exp2_np27_rho005_alpha10,27,0.05,10,23,925,0.9315236565120466,0.71,39,3,1.0
exp2_np27_rho005_alpha10,27,0.05,10,23,926,0.9457193874255894,0.75,49,2,2.0
exp2_np27_rho005_alpha10,27,0.05,10,25,903,0.9058585736159265,0.64,68,0,
exp2_np27_rho005_alpha10,27,0.05,10,25,905,0.9322484956993471,0.82,4,10,1.7
exp2_np27_rho005_alpha10,27,0.05,10,25,908,0.9475466876776474,0.77,55,3,2.0
exp2_np27_rho005_alpha10,27,0.05,10,25,909,0.9628187192924035,0.84,14,11,1.1818181818181819
exp2_np27_rho005_alpha10,27,0.05,10,25,916,0.9286048226799001,0.63,,0,
exp2_np27_rho005_alpha10,27,0.05,10,25,917,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,25,921,0.9570214420082841,0.79,4,16,1.1875
exp2_np27_rho005_alpha10,27,0.05,10,25,922,0.9298823594705948,0.74,25,11,1.5454545454545454
exp2_np27_rho005_alpha10,27,0.05,10,25,924,0.931406589755274,0.69,89,0,
exp2_np27_rho005_alpha10,27,0.05,10,20,905,0.9579940090868883,0.83,50,0,
exp2_np27_rho005_alpha10,27,0.05,10,20,908,0.942258227883228,0.74,43,8,2.125
exp2_np27_rho005_alpha10,27,0.05,10,20,910,0.9717276714513556,0.87,45,0,
exp2_np27_rho005_alpha10,27,0.05,10,20,916,0.9715353729816646,0.9,4,7,1.1428571428571428
exp2_np27_rho005_alpha10,27,0.05,10,20,918,0.9205548236112753,0.74,35,5,3.0
exp2_np27_rho005_alpha10,27,0.05,10,20,922,0.9153414031359077,0.72,58,2,2.5
exp2_np27_rho005_alpha10,27,0.05,10,20,923,0.912387064590709,0.61,78,3,2.0
exp2_np27_rho005_alpha10,27,0.05,10,20,925,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,20,926,0.9122745583879486,0.62,20,18,1.7647058823529411
exp2_np27_rho005_alpha10,27,0.05,10,24,902,0.9522375361566537,0.79,23,10,1.5
exp2_np27_rho005_alpha10,27,0.05,10,24,904,0.9403263837275481,0.75,12,20,1.1578947368421053
exp2_np27_rho005_alpha10,27,0.05,10,24,906,0.9524531404268246,0.8,19,8,1.375
exp2_np27_rho005_alpha10,27,0.05,10,24,908,0.8768411603016867,0.57,,0,
exp2_np27_rho005_alpha10,27,0.05,10,24,909,0.9551265050738735,0.83,1,10,1.7
exp2_np27_rho005_alpha10,27,0.05,10,24,912,0.929390353542376,0.73,72,3,1.0
exp2_np27_rho005_alpha10,27,0.05,10,24,915,0.9525782217782219,0.85,1,11,1.3
exp2_np27_rho005_alpha10,27,0.05,10,24,916,0.881136134908749,0.53,13,19,2.3157894736842106
exp2_np27_rho005_alpha10,27,0.05,10,24,924,0.9635657449275871,0.83,44,7,1.1428571428571428
exp2_np27_rho005_alpha10,27,0.05,10,22,902,0.9267789008097093,0.68,4,23,1.3636363636363635
exp2_np27_rho005_alpha10,27,0.05,10,22,905,0.9382868816125716,0.8,1,13,1.5833333333333333
exp2_np27_rho005_alpha10,27,0.05,10,22,908,0.9392582265773441,0.68,70,5,1.4
exp2_np27_rho005_alpha10,27,0.05,10,22,910,0.9246140333522688,0.61,79,4,1.25
exp2_np27_rho005_alpha10,27,0.05,10,22,913,0.931866399123752,0.74,71,0,
exp2_np27_rho005_alpha10,27,0.05,10,22,916,0.9513599646397634,0.85,1,8,1.875
exp2_np27_rho005_alpha10,27,0.05,10,22,918,0.9671996336996338,0.83,9,11,1.3636363636363635
exp2_np27_rho005_alpha10,27,0.05,10,22,921,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,22,923,0.922164254476174,0.68,,0,
exp2_np27_rho005_alpha10,27,0.05,10,26,902,0.9159173163157718,0.59,31,15,1.7333333333333334
exp2_np27_rho005_alpha10,27,0.05,10,26,903,0.9327156071053131,0.72,47,0,
exp2_np27_rho005_alpha10,27,0.05,10,26,909,0.9505865439170392,0.85,19,5,2.0
exp2_np27_rho005_alpha10,27,0.05,10,26,912,0.9257777874299614,0.65,6,20,1.65
exp2_np27_rho005_alpha10,27,0.05,10,26,916,0.9128337279765298,0.57,78,0,
exp2_np27_rho005_alpha10,27,0.05,10,26,919,0.9222910403179968,0.73,59,1,3.0
exp2_np27_rho005_alpha10,27,0.05,10,26,921,0.9332321691895994,0.69,85,1,3.0
exp2_np27_rho005_alpha10,27,0.05,10,26,922,0.9254664934738464,0.67,,0,
exp2_np27_rho005_alpha10,27,0.05,10,26,925,0.951400185705173,0.85,35,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,29,907,0.9497511383525316,0.78,40,0,
exp2_np27_rho005_alpha10,27,0.05,10,29,908,0.9834738455988454,0.93,21,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,29,909,0.9615021334874276,0.81,10,12,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,29,910,0.9775099067599068,0.93,1,5,1.4
exp2_np27_rho005_alpha10,27,0.05,10,29,911,0.9169827105801026,0.68,56,4,1.25
exp2_np27_rho005_alpha10,27,0.05,10,29,914,0.967776002821904,0.89,11,4,2.0
exp2_np27_rho005_alpha10,27,0.05,10,29,916,0.9836964285714285,0.93,15,4,1.25
exp2_np27_rho005_alpha10,27,0.05,10,29,921,0.9096403393944229,0.72,1,17,1.6470588235294117
exp2_np27_rho005_alpha10,27,0.05,10,29,927,0.9461592574092574,0.76,23,11,1.2727272727272727
exp2_np27_rho005_alpha10,27,0.05,10,31,902,0.9496702004453721,0.85,1,8,1.875
exp2_np27_rho005_alpha10,27,0.05,10,31,911,0.9178093414924043,0.72,30,6,1.5
exp2_np27_rho005_alpha10,27,0.05,10,31,914,0.9194274678443037,0.64,25,15,1.6
exp2_np27_rho005_alpha10,27,0.05,10,31,915,0.9779499520087755,0.93,16,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,31,916,0.9529316776790461,0.88,1,5,2.4
exp2_np27_rho005_alpha10,27,0.05,10,31,922,0.9485043100959106,0.82,67,0,
exp2_np27_rho005_alpha10,27,0.05,10,31,925,0.9275391078792781,0.64,,0,
exp2_np27_rho005_alpha10,27,0.05,10,31,926,0.8982365480145158,0.58,86,1,
exp2_np27_rho005_alpha10,27,0.05,10,31,927,0.9805882395897876,0.91,12,6,1.1666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,30,901,0.966730907980908,0.87,43,0,
exp2_np27_rho005_alpha10,27,0.05,10,30,902,0.9621207070707071,0.87,27,0,
exp2_np27_rho005_alpha10,27,0.05,10,30,905,0.905391547659427,0.7,75,2,1.0
exp2_np27_rho005_alpha10,27,0.05,10,30,909,0.9473932836169677,0.82,21,11,1.4545454545454546
exp2_np27_rho005_alpha10,27,0.05,10,30,915,0.9466348333039512,0.75,91,0,
exp2_np27_rho005_alpha10,27,0.05,10,30,921,0.8813681653314006,0.54,,0,
exp2_np27_rho005_alpha10,27,0.05,10,30,922,0.9972727272727272,0.99,4,0,
exp2_np27_rho005_alpha10,27,0.05,10,30,925,0.9565693108061529,0.78,,0,
exp2_np27_rho005_alpha10,27,0.05,10,30,927,0.9779365079365079,0.93,11,1,
exp2_np27_rho005_alpha10,27,0.05,10,28,902,0.9694664877606054,0.91,1,6,1.5
exp2_np27_rho005_alpha10,27,0.05,10,28,903,0.9179426504867682,0.69,53,0,
exp2_np27_rho005_alpha10,27,0.05,10,28,910,0.9413645908334796,0.8,65,2,1.0
exp2_np27_rho005_alpha10,27,0.05,10,28,915,0.9286772727272726,0.73,,0,
exp2_np27_rho005_alpha10,27,0.05,10,28,916,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,28,919,0.9148471541956198,0.68,81,0,
exp2_np27_rho005_alpha10,27,0.05,10,28,920,0.9583541663015347,0.86,35,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,28,926,0.9874038461538461,0.96,1,2,2.0
exp2_np27_rho005_alpha10,27,0.05,10,28,927,0.9789736199473041,0.91,13,0,
exp2_np27_rho005_alpha10,27,0.05,10,27,903,0.9806666666666666,0.92,1,5,1.6
exp2_np27_rho005_alpha10,27,0.05,10,27,904,0.934556747217351,0.67,14,17,1.8125
exp2_np27_rho005_alpha10,27,0.05,10,27,906,0.9462553655494831,0.73,17,19,1.263157894736842
exp2_np27_rho005_alpha10,27,0.05,10,27,910,0.9438094315056239,0.83,1,12,1.4166666666666667
exp2_np27_rho005_alpha10,27,0.05,10,27,919,0.9898829365079365,0.97,1,1,3.0
exp2_np27_rho005_alpha10,27,0.05,10,27,920,0.9708633870214753,0.9,1,6,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,27,921,0.9563240778829015,0.87,7,6,1.6666666666666667
