config,n_platforms,rho_e,alpha,iteration,platform_id,n_bursts,slope,r2,classification
exp2_np27_rho005_alpha10,27,0.05,10,31,908,6,1.0000000000000013,0.16587677725118466,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,31,911,3,-1.4999999999999996,0.9642857142857143,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,31,917,4,1.8999999999999997,0.08991282689912816,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,28,906,4,-1.2000000000000024,0.29999999999999993,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,28,918,3,-7.944109290391275e-16,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,33,905,3,7.944109290391275e-16,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,36,905,4,1.1999999999999986,0.8,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,36,913,3,1.588821858078255e-15,3.6637359812630166e-15,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,36,917,4,0.49999999999999617,0.03225806451612889,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,36,927,3,-2.5000000000000004,0.38265306122448983,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,35,913,4,0.19999999999999685,0.010526315789473828,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,35,927,3,0.9999999999999994,0.24999999999999956,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,32,905,5,1.1000000000000005,0.6436170212765956,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,37,906,3,-3.499999999999999,0.7499999999999998,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,37,911,3,-4.000000000000001,0.7499999999999999,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,38,904,3,2.4999999999999982,0.8928571428571429,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,38,919,3,1.500000000000001,0.9642857142857142,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,39,901,3,2.4999999999999996,0.6048387096774193,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,39,919,5,1.8999999999999984,0.582258064516129,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,40,904,4,-1.300000000000002,0.11943462897526491,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,40,918,3,-1.4999999999999996,0.75,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,40,919,3,-7.944109290391275e-16,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,40,927,3,-7.944109290391275e-16,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,43,904,3,1.0000000000000018,0.4285714285714297,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,43,907,5,2.1999999999999997,0.6205128205128205,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,43,919,3,-1.500000000000002,0.35526315789473684,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,43,920,3,2.999999999999998,0.627906976744186,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,43,925,3,0.0,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,44,919,3,3.0,0.9642857142857143,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,41,905,4,0.49999999999999944,0.08474576271186474,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,41,912,4,0.5999999999999976,0.1636363636363637,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,46,901,4,-0.700000000000002,0.054748603351955416,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,46,907,4,-0.9000000000000017,0.6000000000000003,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,46,911,4,-1.1000000000000019,0.12410256410256415,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,46,915,3,-4.500000000000001,0.9067164179104477,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,46,916,3,5.999999999999999,0.6878980891719746,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,46,921,3,-3.499999999999998,0.5485074626865671,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,48,906,3,2.4999999999999964,0.4807692307692307,raiding_base
