config,n_platforms,rho_e,alpha,iteration,platform_id,burst_index,burst_step,burst_size
exp2_np27_rho005_alpha10,27,0.05,10,13,901,0,28,13.0
exp2_np27_rho005_alpha10,27,0.05,10,13,902,0,24,11.0
exp2_np27_rho005_alpha10,27,0.05,10,13,919,0,32,13.0
exp2_np27_rho005_alpha10,27,0.05,10,9,902,0,51,20.0
exp2_np27_rho005_alpha10,27,0.05,10,9,904,0,71,11.0
exp2_np27_rho005_alpha10,27,0.05,10,9,908,0,86,14.0
exp2_np27_rho005_alpha10,27,0.05,10,9,909,0,57,18.0
exp2_np27_rho005_alpha10,27,0.05,10,9,909,1,69,10.0
exp2_np27_rho005_alpha10,27,0.05,10,9,909,2,98,18.0
exp2_np27_rho005_alpha10,27,0.05,10,9,910,0,59,10.0
exp2_np27_rho005_alpha10,27,0.05,10,9,914,0,55,13.0
exp2_np27_rho005_alpha10,27,0.05,10,9,916,0,94,11.0
exp2_np27_rho005_alpha10,27,0.05,10,9,920,0,92,13.0
exp2_np27_rho005_alpha10,27,0.05,10,9,922,0,43,16.0
exp2_np27_rho005_alpha10,27,0.05,10,9,925,0,73,18.0
exp2_np27_rho005_alpha10,27,0.05,10,8,904,0,90,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,905,0,17,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,906,0,82,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,908,0,63,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,908,1,76,11.0
exp2_np27_rho005_alpha10,27,0.05,10,8,908,2,84,17.0
exp2_np27_rho005_alpha10,27,0.05,10,8,909,0,61,16.0
exp2_np27_rho005_alpha10,27,0.05,10,8,909,1,65,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,910,0,35,13.0
exp2_np27_rho005_alpha10,27,0.05,10,8,910,1,70,11.0
exp2_np27_rho005_alpha10,27,0.05,10,8,911,0,59,16.0
exp2_np27_rho005_alpha10,27,0.05,10,8,914,0,24,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,919,0,32,13.0
exp2_np27_rho005_alpha10,27,0.05,10,8,922,0,97,15.0
exp2_np27_rho005_alpha10,27,0.05,10,8,923,0,21,11.0
exp2_np27_rho005_alpha10,27,0.05,10,8,923,1,57,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,924,0,27,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,926,0,29,14.0
exp2_np27_rho005_alpha10,27,0.05,10,8,927,0,46,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,902,0,10,18.0
exp2_np27_rho005_alpha10,27,0.05,10,15,902,1,63,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,902,2,82,24.0
exp2_np27_rho005_alpha10,27,0.05,10,15,904,0,8,12.0
exp2_np27_rho005_alpha10,27,0.05,10,15,904,1,85,15.0
exp2_np27_rho005_alpha10,27,0.05,10,15,904,2,96,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,905,0,26,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,907,0,23,17.0
exp2_np27_rho005_alpha10,27,0.05,10,15,907,1,37,12.0
exp2_np27_rho005_alpha10,27,0.05,10,15,907,2,58,13.0
exp2_np27_rho005_alpha10,27,0.05,10,15,907,3,77,11.0
exp2_np27_rho005_alpha10,27,0.05,10,15,907,4,87,15.0
exp2_np27_rho005_alpha10,27,0.05,10,15,908,0,38,12.0
exp2_np27_rho005_alpha10,27,0.05,10,15,908,1,67,18.0
exp2_np27_rho005_alpha10,27,0.05,10,15,910,0,98,17.0
exp2_np27_rho005_alpha10,27,0.05,10,15,912,0,13,19.0
exp2_np27_rho005_alpha10,27,0.05,10,15,915,0,19,12.0
exp2_np27_rho005_alpha10,27,0.05,10,15,915,1,61,17.0
exp2_np27_rho005_alpha10,27,0.05,10,15,916,0,75,22.0
exp2_np27_rho005_alpha10,27,0.05,10,15,917,0,30,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,917,1,46,12.0
exp2_np27_rho005_alpha10,27,0.05,10,15,917,2,84,24.0
exp2_np27_rho005_alpha10,27,0.05,10,15,918,0,15,19.0
exp2_np27_rho005_alpha10,27,0.05,10,15,918,1,52,19.0
exp2_np27_rho005_alpha10,27,0.05,10,15,922,0,17,11.0
exp2_np27_rho005_alpha10,27,0.05,10,15,922,1,22,24.0
exp2_np27_rho005_alpha10,27,0.05,10,15,922,2,56,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,922,3,80,24.0
exp2_np27_rho005_alpha10,27,0.05,10,15,922,4,89,11.0
exp2_np27_rho005_alpha10,27,0.05,10,15,922,5,94,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,926,0,16,21.0
exp2_np27_rho005_alpha10,27,0.05,10,15,926,1,50,15.0
exp2_np27_rho005_alpha10,27,0.05,10,15,926,2,77,13.0
exp2_np27_rho005_alpha10,27,0.05,10,15,927,0,19,12.0
exp2_np27_rho005_alpha10,27,0.05,10,2,901,0,77,17.0
exp2_np27_rho005_alpha10,27,0.05,10,2,902,0,89,15.0
exp2_np27_rho005_alpha10,27,0.05,10,2,903,0,25,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,903,1,44,15.0
exp2_np27_rho005_alpha10,27,0.05,10,2,903,2,56,11.0
exp2_np27_rho005_alpha10,27,0.05,10,2,905,0,34,16.0
exp2_np27_rho005_alpha10,27,0.05,10,2,905,1,82,17.0
exp2_np27_rho005_alpha10,27,0.05,10,2,907,0,30,12.0
exp2_np27_rho005_alpha10,27,0.05,10,2,907,1,50,16.0
exp2_np27_rho005_alpha10,27,0.05,10,2,908,0,45,16.0
exp2_np27_rho005_alpha10,27,0.05,10,2,908,1,63,11.0
exp2_np27_rho005_alpha10,27,0.05,10,2,908,2,90,17.0
exp2_np27_rho005_alpha10,27,0.05,10,2,910,0,70,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,911,0,54,11.0
exp2_np27_rho005_alpha10,27,0.05,10,2,911,1,69,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,911,2,75,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,914,0,96,11.0
exp2_np27_rho005_alpha10,27,0.05,10,2,915,0,52,16.0
exp2_np27_rho005_alpha10,27,0.05,10,2,915,1,72,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,916,0,24,14.0
exp2_np27_rho005_alpha10,27,0.05,10,2,916,1,42,15.0
exp2_np27_rho005_alpha10,27,0.05,10,2,917,0,32,16.0
exp2_np27_rho005_alpha10,27,0.05,10,2,917,1,97,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,922,0,68,10.0
exp2_np27_rho005_alpha10,27,0.05,10,2,923,0,37,18.0
exp2_np27_rho005_alpha10,27,0.05,10,2,923,1,64,12.0
exp2_np27_rho005_alpha10,27,0.05,10,2,923,2,92,17.0
exp2_np27_rho005_alpha10,27,0.05,10,2,924,0,84,11.0
exp2_np27_rho005_alpha10,27,0.05,10,2,927,0,47,16.0
exp2_np27_rho005_alpha10,27,0.05,10,1,903,0,68,16.0
exp2_np27_rho005_alpha10,27,0.05,10,1,905,0,86,10.0
exp2_np27_rho005_alpha10,27,0.05,10,1,905,1,93,20.0
exp2_np27_rho005_alpha10,27,0.05,10,1,908,0,92,12.0
exp2_np27_rho005_alpha10,27,0.05,10,1,910,0,89,11.0
exp2_np27_rho005_alpha10,27,0.05,10,1,913,0,88,11.0
exp2_np27_rho005_alpha10,27,0.05,10,1,914,0,59,13.0
exp2_np27_rho005_alpha10,27,0.05,10,1,916,0,48,12.0
exp2_np27_rho005_alpha10,27,0.05,10,1,916,1,52,12.0
exp2_np27_rho005_alpha10,27,0.05,10,1,917,0,70,18.0
exp2_np27_rho005_alpha10,27,0.05,10,1,920,0,73,18.0
exp2_np27_rho005_alpha10,27,0.05,10,1,920,1,98,20.0
exp2_np27_rho005_alpha10,27,0.05,10,1,923,0,96,20.0
exp2_np27_rho005_alpha10,27,0.05,10,1,924,0,49,12.0
exp2_np27_rho005_alpha10,27,0.05,10,10,901,0,36,11.0
exp2_np27_rho005_alpha10,27,0.05,10,10,901,1,75,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,901,2,92,18.0
exp2_np27_rho005_alpha10,27,0.05,10,10,902,0,51,14.0
exp2_np27_rho005_alpha10,27,0.05,10,10,902,1,95,18.0
exp2_np27_rho005_alpha10,27,0.05,10,10,903,0,70,18.0
exp2_np27_rho005_alpha10,27,0.05,10,10,904,0,34,22.0
exp2_np27_rho005_alpha10,27,0.05,10,10,905,0,47,21.0
exp2_np27_rho005_alpha10,27,0.05,10,10,905,1,62,10.0
exp2_np27_rho005_alpha10,27,0.05,10,10,906,0,35,17.0
exp2_np27_rho005_alpha10,27,0.05,10,10,906,1,72,12.0
exp2_np27_rho005_alpha10,27,0.05,10,10,907,0,19,20.0
exp2_np27_rho005_alpha10,27,0.05,10,10,907,1,42,13.0
exp2_np27_rho005_alpha10,27,0.05,10,10,907,2,63,12.0
exp2_np27_rho005_alpha10,27,0.05,10,10,908,0,10,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,908,1,15,12.0
exp2_np27_rho005_alpha10,27,0.05,10,10,908,2,30,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,908,3,85,23.0
exp2_np27_rho005_alpha10,27,0.05,10,10,917,0,45,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,918,0,88,13.0
exp2_np27_rho005_alpha10,27,0.05,10,10,919,0,21,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,919,1,65,13.0
exp2_np27_rho005_alpha10,27,0.05,10,10,920,0,6,10.0
exp2_np27_rho005_alpha10,27,0.05,10,10,920,1,58,22.0
exp2_np27_rho005_alpha10,27,0.05,10,10,921,0,84,23.0
exp2_np27_rho005_alpha10,27,0.05,10,10,921,1,89,10.0
exp2_np27_rho005_alpha10,27,0.05,10,10,922,0,53,22.0
exp2_np27_rho005_alpha10,27,0.05,10,10,924,0,25,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,924,1,41,20.0
exp2_np27_rho005_alpha10,27,0.05,10,10,924,2,89,13.0
exp2_np27_rho005_alpha10,27,0.05,10,10,925,0,23,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,925,1,43,10.0
exp2_np27_rho005_alpha10,27,0.05,10,10,925,2,55,22.0
exp2_np27_rho005_alpha10,27,0.05,10,10,925,3,60,10.0
exp2_np27_rho005_alpha10,27,0.05,10,10,925,4,67,13.0
exp2_np27_rho005_alpha10,27,0.05,10,10,926,0,27,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,926,1,61,12.0
exp2_np27_rho005_alpha10,27,0.05,10,10,926,2,81,15.0
exp2_np27_rho005_alpha10,27,0.05,10,10,926,3,91,23.0
exp2_np27_rho005_alpha10,27,0.05,10,10,927,0,8,10.0
exp2_np27_rho005_alpha10,27,0.05,10,10,927,1,17,20.0
exp2_np27_rho005_alpha10,27,0.05,10,10,927,2,33,22.0
exp2_np27_rho005_alpha10,27,0.05,10,10,927,3,59,12.0
exp2_np27_rho005_alpha10,27,0.05,10,10,927,4,69,13.0
exp2_np27_rho005_alpha10,27,0.05,10,10,927,5,77,15.0
exp2_np27_rho005_alpha10,27,0.05,10,14,906,0,19,13.0
exp2_np27_rho005_alpha10,27,0.05,10,14,908,0,51,15.0
exp2_np27_rho005_alpha10,27,0.05,10,14,911,0,53,15.0
exp2_np27_rho005_alpha10,27,0.05,10,14,912,0,17,12.0
exp2_np27_rho005_alpha10,27,0.05,10,14,912,1,25,13.0
exp2_np27_rho005_alpha10,27,0.05,10,14,914,0,23,13.0
exp2_np27_rho005_alpha10,27,0.05,10,14,916,0,81,10.0
exp2_np27_rho005_alpha10,27,0.05,10,14,916,1,98,18.0
exp2_np27_rho005_alpha10,27,0.05,10,14,919,0,22,13.0
exp2_np27_rho005_alpha10,27,0.05,10,14,919,1,89,18.0
exp2_np27_rho005_alpha10,27,0.05,10,14,922,0,86,18.0
exp2_np27_rho005_alpha10,27,0.05,10,14,925,0,65,15.0
exp2_np27_rho005_alpha10,27,0.05,10,14,925,1,91,18.0
exp2_np27_rho005_alpha10,27,0.05,10,14,925,2,96,18.0
exp2_np27_rho005_alpha10,27,0.05,10,14,926,0,67,15.0
exp2_np27_rho005_alpha10,27,0.05,10,14,927,0,93,18.0
exp2_np27_rho005_alpha10,27,0.05,10,0,903,0,84,11.0
exp2_np27_rho005_alpha10,27,0.05,10,0,909,0,13,11.0
exp2_np27_rho005_alpha10,27,0.05,10,0,919,0,82,10.0
exp2_np27_rho005_alpha10,27,0.05,10,0,922,0,10,11.0
exp2_np27_rho005_alpha10,27,0.05,10,0,923,0,88,11.0
exp2_np27_rho005_alpha10,27,0.05,10,7,902,0,59,14.0
exp2_np27_rho005_alpha10,27,0.05,10,7,904,0,6,10.0
exp2_np27_rho005_alpha10,27,0.05,10,7,906,0,62,21.0
exp2_np27_rho005_alpha10,27,0.05,10,7,914,0,88,11.0
exp2_np27_rho005_alpha10,27,0.05,10,7,915,0,72,12.0
exp2_np27_rho005_alpha10,27,0.05,10,7,917,0,9,12.0
exp2_np27_rho005_alpha10,27,0.05,10,7,917,1,54,12.0
exp2_np27_rho005_alpha10,27,0.05,10,7,922,0,11,12.0
exp2_np27_rho005_alpha10,27,0.05,10,7,922,1,86,10.0
exp2_np27_rho005_alpha10,27,0.05,10,7,924,0,99,10.0
exp2_np27_rho005_alpha10,27,0.05,10,7,926,0,44,14.0
exp2_np27_rho005_alpha10,27,0.05,10,7,926,1,57,10.0
exp2_np27_rho005_alpha10,27,0.05,10,11,902,0,78,12.0
exp2_np27_rho005_alpha10,27,0.05,10,11,907,0,34,14.0
exp2_np27_rho005_alpha10,27,0.05,10,11,907,1,68,11.0
exp2_np27_rho005_alpha10,27,0.05,10,11,908,0,41,10.0
exp2_np27_rho005_alpha10,27,0.05,10,11,913,0,26,11.0
exp2_np27_rho005_alpha10,27,0.05,10,11,913,1,69,12.0
exp2_np27_rho005_alpha10,27,0.05,10,11,913,2,92,14.0
exp2_np27_rho005_alpha10,27,0.05,10,11,914,0,7,10.0
exp2_np27_rho005_alpha10,27,0.05,10,11,918,0,81,12.0
exp2_np27_rho005_alpha10,27,0.05,10,11,920,0,20,13.0
exp2_np27_rho005_alpha10,27,0.05,10,11,920,1,30,10.0
exp2_np27_rho005_alpha10,27,0.05,10,11,922,0,76,11.0
exp2_np27_rho005_alpha10,27,0.05,10,11,923,0,18,11.0
exp2_np27_rho005_alpha10,27,0.05,10,3,901,0,19,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,901,1,37,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,901,2,67,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,902,0,18,14.0
exp2_np27_rho005_alpha10,27,0.05,10,3,902,1,91,21.0
exp2_np27_rho005_alpha10,27,0.05,10,3,903,0,27,19.0
exp2_np27_rho005_alpha10,27,0.05,10,3,903,1,72,16.0
exp2_np27_rho005_alpha10,27,0.05,10,3,904,0,11,12.0
exp2_np27_rho005_alpha10,27,0.05,10,3,904,1,45,14.0
exp2_np27_rho005_alpha10,27,0.05,10,3,904,2,59,11.0
exp2_np27_rho005_alpha10,27,0.05,10,3,904,3,85,16.0
exp2_np27_rho005_alpha10,27,0.05,10,3,906,0,23,15.0
exp2_np27_rho005_alpha10,27,0.05,10,3,906,1,98,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,908,0,28,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,908,1,42,12.0
exp2_np27_rho005_alpha10,27,0.05,10,3,908,2,96,18.0
exp2_np27_rho005_alpha10,27,0.05,10,3,911,0,62,14.0
exp2_np27_rho005_alpha10,27,0.05,10,3,912,0,21,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,912,1,71,10.0
exp2_np27_rho005_alpha10,27,0.05,10,3,919,0,87,18.0
exp2_np27_rho005_alpha10,27,0.05,10,3,921,0,64,12.0
exp2_np27_rho005_alpha10,27,0.05,10,3,921,1,92,15.0
exp2_np27_rho005_alpha10,27,0.05,10,3,925,0,94,18.0
exp2_np27_rho005_alpha10,27,0.05,10,3,927,0,76,16.0
exp2_np27_rho005_alpha10,27,0.05,10,3,927,1,89,18.0
exp2_np27_rho005_alpha10,27,0.05,10,3,927,2,98,14.0
exp2_np27_rho005_alpha10,27,0.05,10,5,902,0,31,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,902,1,45,18.0
exp2_np27_rho005_alpha10,27,0.05,10,5,902,2,83,12.0
exp2_np27_rho005_alpha10,27,0.05,10,5,902,3,88,23.0
exp2_np27_rho005_alpha10,27,0.05,10,5,903,0,27,13.0
exp2_np27_rho005_alpha10,27,0.05,10,5,903,1,73,14.0
exp2_np27_rho005_alpha10,27,0.05,10,5,904,0,48,20.0
exp2_np27_rho005_alpha10,27,0.05,10,5,905,0,55,12.0
exp2_np27_rho005_alpha10,27,0.05,10,5,905,1,67,22.0
exp2_np27_rho005_alpha10,27,0.05,10,5,907,0,37,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,907,1,86,13.0
exp2_np27_rho005_alpha10,27,0.05,10,5,908,0,60,14.0
exp2_np27_rho005_alpha10,27,0.05,10,5,908,1,70,22.0
exp2_np27_rho005_alpha10,27,0.05,10,5,909,0,99,16.0
exp2_np27_rho005_alpha10,27,0.05,10,5,911,0,87,10.0
exp2_np27_rho005_alpha10,27,0.05,10,5,911,1,94,27.0
exp2_np27_rho005_alpha10,27,0.05,10,5,911,2,98,27.0
exp2_np27_rho005_alpha10,27,0.05,10,5,912,0,85,15.0
exp2_np27_rho005_alpha10,27,0.05,10,5,913,0,58,14.0
exp2_np27_rho005_alpha10,27,0.05,10,5,913,1,69,22.0
exp2_np27_rho005_alpha10,27,0.05,10,5,913,2,72,22.0
exp2_np27_rho005_alpha10,27,0.05,10,5,913,3,92,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,917,0,17,11.0
exp2_np27_rho005_alpha10,27,0.05,10,5,917,1,33,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,917,2,51,20.0
exp2_np27_rho005_alpha10,27,0.05,10,5,918,0,28,20.0
exp2_np27_rho005_alpha10,27,0.05,10,5,918,1,90,10.0
exp2_np27_rho005_alpha10,27,0.05,10,5,920,0,25,12.0
exp2_np27_rho005_alpha10,27,0.05,10,5,920,1,57,14.0
exp2_np27_rho005_alpha10,27,0.05,10,5,920,2,74,22.0
exp2_np27_rho005_alpha10,27,0.05,10,5,920,3,87,13.0
exp2_np27_rho005_alpha10,27,0.05,10,5,921,0,61,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,922,0,63,22.0
exp2_np27_rho005_alpha10,27,0.05,10,5,923,0,34,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,923,1,43,18.0
exp2_np27_rho005_alpha10,27,0.05,10,5,923,2,90,11.0
exp2_np27_rho005_alpha10,27,0.05,10,5,923,3,96,27.0
exp2_np27_rho005_alpha10,27,0.05,10,5,925,0,36,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,925,1,38,21.0
exp2_np27_rho005_alpha10,27,0.05,10,5,925,2,42,15.0
exp2_np27_rho005_alpha10,27,0.05,10,6,901,0,89,13.0
exp2_np27_rho005_alpha10,27,0.05,10,6,901,1,99,11.0
exp2_np27_rho005_alpha10,27,0.05,10,6,904,0,36,16.0
exp2_np27_rho005_alpha10,27,0.05,10,6,904,1,58,10.0
exp2_np27_rho005_alpha10,27,0.05,10,6,907,0,30,11.0
exp2_np27_rho005_alpha10,27,0.05,10,6,907,1,43,10.0
exp2_np27_rho005_alpha10,27,0.05,10,6,907,2,70,22.0
exp2_np27_rho005_alpha10,27,0.05,10,6,907,3,75,22.0
exp2_np27_rho005_alpha10,27,0.05,10,6,907,4,85,16.0
exp2_np27_rho005_alpha10,27,0.05,10,6,907,5,91,14.0
exp2_np27_rho005_alpha10,27,0.05,10,6,908,0,24,11.0
exp2_np27_rho005_alpha10,27,0.05,10,6,908,1,66,22.0
exp2_np27_rho005_alpha10,27,0.05,10,6,909,0,88,19.0
exp2_np27_rho005_alpha10,27,0.05,10,6,912,0,83,16.0
exp2_np27_rho005_alpha10,27,0.05,10,6,913,0,64,22.0
exp2_np27_rho005_alpha10,27,0.05,10,6,913,1,78,22.0
exp2_np27_rho005_alpha10,27,0.05,10,6,917,0,72,22.0
exp2_np27_rho005_alpha10,27,0.05,10,6,918,0,46,11.0
exp2_np27_rho005_alpha10,27,0.05,10,6,925,0,56,10.0
exp2_np27_rho005_alpha10,27,0.05,10,6,926,0,34,16.0
exp2_np27_rho005_alpha10,27,0.05,10,6,927,0,60,22.0
exp2_np27_rho005_alpha10,27,0.05,10,4,916,0,22,10.0
exp2_np27_rho005_alpha10,27,0.05,10,4,917,0,36,10.0
exp2_np27_rho005_alpha10,27,0.05,10,4,922,0,28,11.0
exp2_np27_rho005_alpha10,27,0.05,10,16,902,0,58,12.0
exp2_np27_rho005_alpha10,27,0.05,10,16,902,1,98,10.0
exp2_np27_rho005_alpha10,27,0.05,10,16,905,0,18,10.0
exp2_np27_rho005_alpha10,27,0.05,10,16,905,1,41,12.0
exp2_np27_rho005_alpha10,27,0.05,10,16,911,0,39,10.0
exp2_np27_rho005_alpha10,27,0.05,10,16,916,0,56,12.0
exp2_np27_rho005_alpha10,27,0.05,10,16,917,0,53,10.0
exp2_np27_rho005_alpha10,27,0.05,10,16,923,0,43,12.0
exp2_np27_rho005_alpha10,27,0.05,10,16,923,1,48,13.0
exp2_np27_rho005_alpha10,27,0.05,10,16,924,0,45,13.0
exp2_np27_rho005_alpha10,27,0.05,10,16,925,0,70,13.0
exp2_np27_rho005_alpha10,27,0.05,10,18,903,0,34,11.0
exp2_np27_rho005_alpha10,27,0.05,10,18,904,0,50,14.0
exp2_np27_rho005_alpha10,27,0.05,10,18,904,1,66,13.0
exp2_np27_rho005_alpha10,27,0.05,10,18,904,2,83,10.0
exp2_np27_rho005_alpha10,27,0.05,10,18,905,0,28,14.0
exp2_np27_rho005_alpha10,27,0.05,10,18,905,1,91,10.0
exp2_np27_rho005_alpha10,27,0.05,10,18,907,0,77,11.0
exp2_np27_rho005_alpha10,27,0.05,10,18,908,0,63,13.0
exp2_np27_rho005_alpha10,27,0.05,10,18,909,0,30,14.0
exp2_np27_rho005_alpha10,27,0.05,10,18,909,1,74,11.0
exp2_np27_rho005_alpha10,27,0.05,10,18,912,0,85,16.0
exp2_np27_rho005_alpha10,27,0.05,10,18,917,0,26,10.0
exp2_np27_rho005_alpha10,27,0.05,10,18,918,0,41,11.0
exp2_np27_rho005_alpha10,27,0.05,10,18,921,0,81,10.0
exp2_np27_rho005_alpha10,27,0.05,10,17,903,0,61,17.0
exp2_np27_rho005_alpha10,27,0.05,10,17,904,0,66,10.0
exp2_np27_rho005_alpha10,27,0.05,10,17,904,1,86,15.0
exp2_np27_rho005_alpha10,27,0.05,10,17,909,0,57,12.0
exp2_np27_rho005_alpha10,27,0.05,10,17,910,0,46,15.0
exp2_np27_rho005_alpha10,27,0.05,10,17,911,0,6,11.0
exp2_np27_rho005_alpha10,27,0.05,10,17,911,1,85,15.0
exp2_np27_rho005_alpha10,27,0.05,10,17,913,0,52,15.0
exp2_np27_rho005_alpha10,27,0.05,10,17,916,0,92,16.0
exp2_np27_rho005_alpha10,27,0.05,10,17,921,0,67,13.0
exp2_np27_rho005_alpha10,27,0.05,10,17,921,1,87,15.0
exp2_np27_rho005_alpha10,27,0.05,10,17,921,2,96,13.0
exp2_np27_rho005_alpha10,27,0.05,10,17,922,0,39,10.0
exp2_np27_rho005_alpha10,27,0.05,10,17,922,1,94,19.0
exp2_np27_rho005_alpha10,27,0.05,10,17,924,0,50,15.0
exp2_np27_rho005_alpha10,27,0.05,10,17,925,0,41,15.0
exp2_np27_rho005_alpha10,27,0.05,10,21,902,0,41,11.0
exp2_np27_rho005_alpha10,27,0.05,10,21,902,1,60,14.0
exp2_np27_rho005_alpha10,27,0.05,10,21,904,0,71,18.0
exp2_np27_rho005_alpha10,27,0.05,10,21,908,0,36,11.0
exp2_np27_rho005_alpha10,27,0.05,10,21,915,0,61,14.0
exp2_np27_rho005_alpha10,27,0.05,10,21,915,1,81,12.0
exp2_np27_rho005_alpha10,27,0.05,10,21,916,0,75,18.0
exp2_np27_rho005_alpha10,27,0.05,10,21,916,1,83,16.0
exp2_np27_rho005_alpha10,27,0.05,10,21,919,0,46,10.0
exp2_np27_rho005_alpha10,27,0.05,10,21,920,0,66,17.0
exp2_np27_rho005_alpha10,27,0.05,10,21,923,0,68,18.0
exp2_np27_rho005_alpha10,27,0.05,10,21,925,0,78,18.0
exp2_np27_rho005_alpha10,27,0.05,10,21,926,0,58,14.0
exp2_np27_rho005_alpha10,27,0.05,10,19,902,0,68,21.0
exp2_np27_rho005_alpha10,27,0.05,10,19,903,0,56,11.0
exp2_np27_rho005_alpha10,27,0.05,10,19,903,1,78,13.0
exp2_np27_rho005_alpha10,27,0.05,10,19,905,0,77,12.0
exp2_np27_rho005_alpha10,27,0.05,10,19,908,0,83,15.0
exp2_np27_rho005_alpha10,27,0.05,10,19,908,1,90,15.0
exp2_np27_rho005_alpha10,27,0.05,10,19,914,0,51,13.0
exp2_np27_rho005_alpha10,27,0.05,10,19,914,1,82,14.0
exp2_np27_rho005_alpha10,27,0.05,10,19,918,0,66,18.0
exp2_np27_rho005_alpha10,27,0.05,10,19,918,1,81,11.0
exp2_np27_rho005_alpha10,27,0.05,10,19,920,0,48,13.0
exp2_np27_rho005_alpha10,27,0.05,10,19,920,1,71,21.0
exp2_np27_rho005_alpha10,27,0.05,10,19,920,2,96,17.0
exp2_np27_rho005_alpha10,27,0.05,10,19,921,0,64,18.0
exp2_np27_rho005_alpha10,27,0.05,10,19,921,1,76,21.0
exp2_np27_rho005_alpha10,27,0.05,10,19,922,0,69,21.0
exp2_np27_rho005_alpha10,27,0.05,10,19,922,1,75,21.0
exp2_np27_rho005_alpha10,27,0.05,10,19,922,2,85,14.0
exp2_np27_rho005_alpha10,27,0.05,10,19,923,0,58,18.0
exp2_np27_rho005_alpha10,27,0.05,10,19,924,0,53,20.0
exp2_np27_rho005_alpha10,27,0.05,10,19,926,0,92,15.0
exp2_np27_rho005_alpha10,27,0.05,10,23,901,0,72,11.0
exp2_np27_rho005_alpha10,27,0.05,10,23,901,1,79,19.0
exp2_np27_rho005_alpha10,27,0.05,10,23,901,2,89,15.0
exp2_np27_rho005_alpha10,27,0.05,10,23,903,0,24,12.0
exp2_np27_rho005_alpha10,27,0.05,10,23,903,1,80,15.0
exp2_np27_rho005_alpha10,27,0.05,10,23,905,0,51,10.0
exp2_np27_rho005_alpha10,27,0.05,10,23,906,0,68,22.0
exp2_np27_rho005_alpha10,27,0.05,10,23,907,0,20,13.0
exp2_np27_rho005_alpha10,27,0.05,10,23,908,0,56,20.0
exp2_np27_rho005_alpha10,27,0.05,10,23,909,0,63,20.0
exp2_np27_rho005_alpha10,27,0.05,10,23,910,0,52,16.0
exp2_np27_rho005_alpha10,27,0.05,10,23,913,0,65,22.0
exp2_np27_rho005_alpha10,27,0.05,10,23,916,0,54,19.0
exp2_np27_rho005_alpha10,27,0.05,10,23,917,0,34,14.0
exp2_np27_rho005_alpha10,27,0.05,10,23,921,0,27,16.0
exp2_np27_rho005_alpha10,27,0.05,10,23,923,0,29,16.0
exp2_np27_rho005_alpha10,27,0.05,10,23,923,1,58,20.0
exp2_np27_rho005_alpha10,27,0.05,10,23,923,2,77,19.0
exp2_np27_rho005_alpha10,27,0.05,10,23,926,0,60,20.0
exp2_np27_rho005_alpha10,27,0.05,10,25,902,0,11,13.0
