step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.384251,0.012385,553.655000,5.348579,173.315000,4.500105,173.030000,4.635832,572.395000,4.416936,5.610000,1.428915,566.785000,4.131375,9.402105,0.052654,4.937823,0.011308,5.127244,0.018170,5.867868,0.043118,5.789641,0.045094
2,5.775736,0.028386,555.570000,6.407043,168.660000,4.857353,175.770000,4.373979,469.935000,6.205925,28.885000,1.799976,441.050000,5.784704,9.338419,0.083956,5.379883,0.026785,5.854975,0.032672,5.554517,0.059055,5.802190,0.061114
3,6.215833,0.023268,540.025000,6.424313,176.230000,5.043772,183.745000,4.812005,385.390000,6.904778,13.915000,1.791300,371.475000,6.750888,10.565808,0.124711,5.732503,0.022362,6.178665,0.029467,5.675798,0.067566,6.941663,0.085507
4,6.289394,0.022242,542.885000,6.187078,179.215000,4.734717,177.900000,4.632418,379.150000,6.141474,5.755000,1.583101,373.395000,6.044303,11.105542,0.113024,5.754267,0.021356,6.138755,0.027550,5.751346,0.056946,7.352151,0.079630
5,6.286452,0.023868,539.115000,6.057547,183.930000,4.827995,176.955000,5.025186,376.735000,7.123656,3.620000,1.345041,373.115000,6.929245,11.298253,0.113397,5.729585,0.023896,6.128272,0.030370,5.734752,0.063294,7.445837,0.088810
6,6.277940,0.021960,536.130000,5.859236,186.030000,4.845405,177.840000,4.525021,377.695000,6.273065,2.675000,1.327806,375.020000,6.203434,11.273321,0.104553,5.722897,0.022183,6.099714,0.030087,5.771379,0.059355,7.413698,0.071088
7,6.291273,0.021544,533.440000,6.046981,185.530000,4.585336,181.030000,4.715762,377.810000,6.623763,3.330000,1.445458,374.480000,6.524091,11.323494,0.105973,5.732137,0.021450,6.096993,0.028309,5.833656,0.069314,7.422185,0.073631
8,6.284636,0.022493,546.190000,5.761977,180.510000,4.443323,173.300000,4.113936,376.385000,6.813788,2.260000,1.322365,374.125000,6.795663,11.278015,0.105473,5.729816,0.022311,6.071756,0.030701,5.813580,0.058103,7.529671,0.072894
9,6.279961,0.023301,537.785000,5.800669,186.955000,4.623539,175.260000,4.626042,374.465000,6.907155,3.795000,1.635333,370.670000,6.776207,11.189404,0.118593,5.734468,0.022730,6.093108,0.031406,5.772559,0.058362,7.481008,0.077012
10,6.285741,0.021265,541.225000,6.084389,186.205000,4.668972,172.570000,4.859004,380.830000,6.327161,2.535000,1.351864,378.295000,6.258270,11.288053,0.109254,5.729929,0.022516,6.088600,0.031929,5.812318,0.060839,7.535439,0.084306
