step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.573982,0.006773,608.090000,3.167854,150.725000,2.404033,141.185000,2.400382,813.145000,1.392211,28.395000,0.783741,784.750000,1.145039,7.332005,0.034231,5.481454,0.006917,5.509689,0.008962,5.774207,0.022055,5.639553,0.021202
2,6.218232,0.017582,674.430000,2.978051,165.340000,2.603033,60.230000,1.800380,763.950000,2.776373,31.645000,1.286676,732.305000,2.421924,7.372585,0.122236,6.157476,0.015182,6.177842,0.018361,6.152814,0.027996,6.906890,0.078142
3,6.564716,0.013321,676.840000,3.043609,167.080000,2.669194,56.080000,1.459695,726.355000,3.129280,16.880000,1.179570,709.475000,2.853226,9.038929,0.075505,6.434494,0.013536,6.445765,0.015520,6.403696,0.023995,8.542242,0.060233
4,6.566228,0.014968,673.395000,3.156368,167.135000,3.018906,59.470000,1.561827,723.380000,3.366398,15.200000,1.347797,708.180000,3.140391,9.045403,0.079845,6.435746,0.015097,6.441927,0.016381,6.386941,0.027538,8.527243,0.052767
5,6.572607,0.014239,678.405000,2.996327,163.500000,2.718804,58.095000,1.468150,721.335000,3.104144,16.115000,1.337674,705.220000,2.878125,9.018588,0.075986,6.443871,0.013925,6.444870,0.015689,6.407537,0.024525,8.581701,0.054668
6,6.565738,0.013236,674.555000,3.092600,166.215000,2.577224,59.230000,1.662402,721.615000,3.062900,16.240000,1.298054,705.375000,3.022318,8.965803,0.072169,6.439419,0.013544,6.440759,0.015004,6.376170,0.021622,8.585512,0.054003
7,6.566047,0.013734,677.310000,3.187180,165.800000,2.751272,56.890000,1.511059,720.740000,3.001610,14.955000,1.337321,705.785000,2.781796,8.968980,0.080835,6.439577,0.014315,6.443049,0.015612,6.376140,0.023188,8.642042,0.051855
8,6.558745,0.013491,675.485000,2.918383,165.735000,2.575336,58.780000,1.693434,723.120000,3.231367,16.020000,1.269234,707.100000,2.916961,8.926569,0.084742,6.434123,0.013717,6.435288,0.015630,6.370450,0.021958,8.574165,0.055344
9,6.566196,0.014855,673.590000,3.167153,168.600000,2.868714,57.810000,1.448545,721.215000,3.109010,16.980000,1.223543,704.235000,2.953397,8.923710,0.079584,6.442116,0.015058,6.440093,0.016685,6.391494,0.025258,8.607867,0.059456
10,6.574053,0.013615,673.030000,3.199588,169.120000,2.752309,57.850000,1.636421,719.235000,3.271928,14.980000,1.278780,704.255000,3.022272,9.016936,0.075037,6.445480,0.013633,6.444903,0.015544,6.405639,0.023473,8.631928,0.057684
11,6.574423,0.013121,677.040000,3.068793,165.225000,2.636743,57.735000,1.493240,718.760000,3.122837,15.270000,1.279742,703.490000,2.889499,8.964351,0.074002,6.448637,0.013035,6.447364,0.014817,6.404408,0.024461,8.607920,0.056713
12,6.554953,0.013800,677.995000,2.984882,163.145000,2.676815,58.860000,1.585997,722.055000,3.173395,15.970000,1.301372,706.085000,2.909300,8.924964,0.078188,6.430215,0.013958,6.429010,0.015495,6.373309,0.024666,8.568016,0.055019
13,6.577242,0.013350,676.675000,2.930824,165.100000,2.592836,58.225000,1.537317,720.500000,3.138953,16.240000,1.268190,704.260000,2.686348,8.927465,0.077617,6.453546,0.013273,6.455922,0.014878,6.377672,0.025243,8.620922,0.062513
14,6.579906,0.013379,675.730000,3.029886,165.420000,2.690660,58.850000,1.525741,716.725000,3.219048,15.015000,1.312418,701.710000,2.993506,8.922381,0.080157,6.456618,0.013849,6.454677,0.014856,6.388743,0.022598,8.607814,0.055736
15,6.567447,0.012410,674.485000,3.254684,166.415000,2.693955,59.100000,1.560534,720.370000,3.116497,15.955000,1.208089,704.415000,2.821190,8.969931,0.075920,6.441000,0.012983,6.446055,0.014667,6.364610,0.023085,8.582133,0.053110
16,6.584311,0.014346,671.250000,2.882367,168.680000,2.695835,60.070000,1.504896,716.070000,3.403353,14.265000,1.297477,701.805000,3.171919,9.065416,0.074352,6.453727,0.014529,6.459172,0.015713,6.390957,0.025086,8.572545,0.052110
17,6.558796,0.012994,676.805000,3.263472,164.500000,2.628515,58.695000,1.813440,723.175000,3.102905,16.465000,1.240849,706.710000,2.915259,8.889042,0.082275,6.436152,0.013213,6.426411,0.014526,6.391822,0.023092,8.631793,0.058933
18,6.570357,0.012927,675.125000,3.207001,164.975000,2.737430,59.900000,1.654095,717.345000,3.148858,14.975000,1.284314,702.370000,2.935410,8.902241,0.082986,6.447626,0.013335,6.441275,0.014852,6.402592,0.022192,8.553018,0.054104
19,6.567652,0.014198,677.445000,3.115889,165.890000,2.791768,56.665000,1.443331,720.110000,3.116635,16.180000,1.281178,703.930000,2.776017,8.924667,0.077549,6.443598,0.014139,6.445487,0.015872,6.366893,0.024578,8.665603,0.054614
20,6.573707,0.014650,676.485000,3.079033,164.655000,2.684060,58.860000,1.686802,720.180000,3.340903,15.350000,1.271421,704.830000,3.040330,8.920926,0.070284,6.450169,0.014867,6.450532,0.016696,6.387001,0.022271,8.575390,0.056526
21,6.575691,0.013915,674.925000,2.980819,167.585000,2.718601,57.490000,1.599387,721.160000,3.292351,16.645000,1.238748,704.515000,3.064800,8.902757,0.072524,6.453213,0.013971,6.450727,0.015618,6.389620,0.021899,8.648109,0.057911
22,6.564986,0.014340,673.925000,3.173417,167.345000,2.868027,58.730000,1.608038,719.735000,3.111915,15.585000,1.264229,704.150000,2.886583,8.945112,0.073073,6.439716,0.014170,6.436486,0.015576,6.384329,0.022682,8.609593,0.056716
23,6.579152,0.015664,676.735000,3.021585,164.810000,2.669231,58.455000,1.718141,715.570000,3.542839,15.320000,1.390779,700.250000,3.209764,8.956689,0.086212,6.454018,0.016093,6.452403,0.016974,6.397867,0.026965,8.636625,0.060142
