iteration,step,platform_id,governance_type,n_mainstream,n_extremist,utility_mainstream,utility_extremist
0,1,901,algorithmic,507,53,4.03581299928097,11.37807553591113
0,1,902,coalition,111,38,4.400384504382137,13.247101868383334
0,1,903,direct,147,44,3.6194504183538365,13.561872909698996
0,2,901,algorithmic,516,53,5.133999360437549,11.382075471698114
0,2,902,coalition,135,38,4.434242136873716,12.16759002770083
0,2,903,direct,114,44,3.8357477976591547,13.645933014354068
0,3,901,algorithmic,581,40,5.408488319828184,10.48146941193897
0,3,902,coalition,120,38,4.440477953883375,11.039045287637698
0,3,903,direct,64,57,3.9577271447115048,12.281630996700603
0,4,901,algorithmic,511,40,5.51928901741309,9.90909090909091
0,4,902,coalition,128,38,3.8232438839027214,13.540805304130814
0,4,903,direct,126,57,4.717195205517923,15.333333333333332
0,5,901,algorithmic,478,40,5.3171860948800385,10.352941176470589
0,5,902,coalition,162,38,4.199892095316932,13.324888226527571
0,5,903,direct,125,57,4.5429050949050955,16.923076923076923
0,6,901,algorithmic,577,40,5.164977479733898,10.09090909090909
0,6,902,coalition,113,38,3.920472360870951,12.059356935051195
0,6,903,direct,75,57,4.911490787269682,16.906077348066297
0,7,901,algorithmic,535,40,5.5478018953175905,10.5
0,7,902,coalition,99,38,3.7095381293854572,13.220065789473685
0,7,903,direct,131,57,4.501653944020356,15.725190839694656
0,8,901,algorithmic,539,40,5.340236921214767,11.80952380952381
0,8,902,coalition,148,38,4.09214705538235,9.595764142977766
0,8,903,direct,78,57,4.306218291512409,17.00534759358289
0,9,901,algorithmic,506,40,5.479160122897956,7.5
0,9,902,coalition,133,38,3.9560852514505305,13.526315789473685
0,9,903,direct,126,57,4.871299871299871,15.82089552238806
0,10,901,algorithmic,545,40,5.397408419966434,10.035714285714285
0,10,902,coalition,96,38,4.031856011635424,13.613003095975234
0,10,903,direct,124,57,4.867777383906416,16.923076923076923
0,11,901,algorithmic,510,40,5.311791093248894,10.60655737704918
0,11,902,coalition,122,24,3.7295049973765377,16.218045112781954
0,11,903,direct,133,71,4.636264574479678,15.170442947540314
0,12,901,algorithmic,535,40,5.247805785814843,10.352941176470589
0,12,902,coalition,118,24,3.9729113153151383,11.964912280701753
0,12,903,direct,112,71,4.745689655172414,16.551724137931032
0,13,901,algorithmic,539,40,5.336522382881352,12.17910447761194
0,13,902,coalition,122,24,3.7288121480318845,11.617647058823529
0,13,903,direct,104,71,4.6012812401808265,16.153846153846153
0,14,901,algorithmic,507,40,5.310662223129067,11.0
0,14,902,coalition,164,24,4.033248150783895,10.576923076923077
0,14,903,direct,94,71,4.626559060895084,15.977011494252876
0,15,901,algorithmic,496,40,5.595343286266656,9.157894736842106
0,15,902,coalition,154,24,4.016243795813448,15.77005347593583
0,15,903,direct,115,71,4.6747733085329,15.731707317073168
0,16,901,algorithmic,523,40,5.3154192530671125,8.352941176470589
0,16,902,coalition,149,24,4.259064634502081,14.700564971751412
0,16,903,direct,93,71,5.149808638600328,16.216216216216218
0,17,901,algorithmic,504,40,5.4553547366537805,9.035714285714285
0,17,902,coalition,167,24,4.188701902393366,16.662790697674417
0,17,903,direct,94,71,4.76128108844859,15.705521472392636
0,18,901,algorithmic,467,40,4.9783438082433085,8.777777777777779
0,18,902,coalition,182,24,4.419775595963016,12.29032258064516
0,18,903,direct,116,71,5.025862068965517,15.731707317073168
0,19,901,algorithmic,463,40,5.293599423139776,10.389830508474576
0,19,902,coalition,179,24,4.874868028440571,16.878048780487806
0,19,903,direct,123,71,4.712472734483442,16.236559139784944
0,20,901,algorithmic,549,40,5.137673944636175,10.521739130434783
0,20,902,coalition,103,24,4.5460902645248265,12.805555555555555
0,20,903,direct,113,71,4.522339083374154,16.373056994818654
0,21,901,algorithmic,486,40,5.01871068507377,9.70967741935484
0,21,902,coalition,190,24,3.76802728661951,9.818181818181818
0,21,903,direct,89,71,4.28432097080158,16.174863387978142
