step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.362330,0.030861,578.060000,9.860678,163.900000,6.446388,158.040000,7.139497,584.220000,5.446209,0.600000,1.176000,583.620000,5.690518,12.378348,0.106731,4.124209,0.032489,4.681519,0.045669,6.571718,0.136146,6.718556,0.145503
2,5.797473,0.052581,546.280000,8.614366,177.860000,7.116190,175.860000,8.023065,454.720000,10.756817,8.200000,4.036276,446.520000,9.587004,11.994038,0.109652,4.703961,0.058563,5.721295,0.077070,5.912589,0.136994,5.964204,0.142440
3,5.992326,0.044747,578.420000,11.284534,174.060000,7.562781,147.520000,8.918119,443.640000,9.892485,11.700000,4.147499,431.940000,9.122744,11.979263,0.209199,4.935808,0.043367,5.719044,0.057375,6.079089,0.121163,7.045450,0.280363
4,6.027327,0.068392,549.320000,9.696969,181.960000,7.262308,168.720000,7.492926,437.260000,12.919846,7.040000,2.911440,430.220000,12.634956,12.328904,0.195128,4.915284,0.060577,5.783273,0.082126,5.981398,0.135976,6.965051,0.340132
5,6.058578,0.070372,557.420000,13.462275,180.120000,9.041293,162.460000,9.207907,443.740000,13.962071,8.520000,4.330955,435.220000,12.196344,12.481278,0.228872,4.925160,0.062788,5.662287,0.078466,6.024803,0.164032,7.596944,0.370748
6,6.106843,0.054346,568.240000,11.569464,171.080000,8.217290,160.680000,7.873417,426.280000,11.451560,5.740000,3.409480,420.540000,10.957729,12.693047,0.220111,4.944572,0.049088,5.681212,0.086461,6.007442,0.228947,7.833643,0.377316
7,6.121466,0.067957,550.060000,9.216452,181.460000,9.107055,168.480000,6.837332,436.940000,9.443999,6.320000,2.877027,430.620000,9.727716,12.704399,0.258783,4.959772,0.058046,5.715539,0.081917,5.799331,0.132382,7.873698,0.364394
8,6.190441,0.067958,571.800000,10.253813,171.740000,6.869949,156.460000,8.570600,428.640000,10.612223,3.060000,2.746519,425.580000,9.902360,13.118774,0.235441,4.967794,0.063254,5.676721,0.087661,5.928154,0.174002,8.444467,0.361087
9,6.185968,0.055813,565.040000,10.755639,172.660000,7.674372,162.300000,8.682032,414.160000,11.804231,2.520000,2.506424,411.640000,11.219689,12.915556,0.211476,4.998393,0.054998,5.715537,0.085839,5.840092,0.153891,8.343932,0.353182
10,6.187678,0.069445,563.980000,11.373308,171.580000,8.587758,164.440000,8.378536,421.820000,11.633815,2.020000,1.980287,419.800000,11.622935,13.135614,0.246006,4.961572,0.058814,5.704233,0.088297,5.868045,0.184477,8.281388,0.340251
11,6.175963,0.061907,556.760000,11.443961,175.360000,10.806804,167.880000,6.373341,428.420000,12.045220,4.420000,2.620112,424.000000,12.219298,12.964210,0.249561,4.978037,0.064774,5.679715,0.088011,5.757784,0.150306,8.270807,0.269548
12,6.193481,0.064595,568.960000,9.857107,168.100000,8.820356,162.940000,6.901284,425.420000,11.248488,2.660000,2.938592,422.760000,10.678917,13.140870,0.260004,4.967471,0.058023,5.628431,0.107038,5.784632,0.180392,8.688426,0.335432
13,6.197260,0.060169,554.600000,11.212173,172.160000,8.122579,173.240000,7.218259,421.100000,11.795712,2.860000,3.467485,418.240000,11.346678,12.996496,0.212198,4.997395,0.063033,5.671839,0.100003,5.606756,0.149122,8.493380,0.284924
14,6.260236,0.064748,571.600000,12.502431,169.560000,9.014636,158.840000,7.464479,418.380000,10.025703,1.360000,1.964603,417.020000,10.173905,13.174029,0.254593,5.040155,0.059905,5.677926,0.098835,5.730682,0.157090,8.918626,0.296040
15,6.192988,0.056420,561.560000,10.547219,169.160000,7.512429,169.280000,8.701477,412.540000,10.535475,1.760000,2.097991,410.780000,10.313170,12.935563,0.235017,5.003122,0.056903,5.644367,0.100785,5.659852,0.171719,8.649034,0.344903
16,6.222974,0.065494,559.000000,11.197900,176.740000,8.177881,164.260000,7.013832,422.980000,11.677778,3.280000,3.556348,419.700000,11.132210,12.977010,0.281379,5.031086,0.061271,5.663241,0.106623,5.635347,0.179977,8.841690,0.319137
17,6.189725,0.066866,552.380000,11.890989,180.380000,9.096664,167.240000,8.295292,419.060000,11.822024,3.860000,3.798522,415.200000,11.657688,12.950055,0.245768,4.996725,0.068245,5.612112,0.095389,5.699401,0.201609,8.725534,0.342695
18,6.239644,0.058708,561.760000,10.121535,171.000000,9.720316,167.240000,7.327779,413.280000,10.044945,3.340000,3.254564,409.940000,10.422232,13.100450,0.294688,5.028913,0.057186,5.631730,0.113076,5.922848,0.229491,8.725428,0.326605
19,6.194294,0.061833,556.780000,11.117839,170.380000,8.076025,172.840000,7.191011,418.540000,9.210972,2.200000,2.571126,416.340000,9.001312,12.939827,0.295567,5.003906,0.056764,5.580306,0.105059,5.789243,0.220024,8.659604,0.312417
20,6.183497,0.056500,567.900000,12.390846,166.180000,10.066409,165.920000,6.781283,416.780000,10.034989,4.320000,4.239921,412.460000,10.563567,12.949862,0.274934,4.989432,0.063741,5.559813,0.119626,5.601112,0.224715,8.883168,0.280565
