iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.297822,5.839943,14.997518,0.583994,0.749876,64819,72.021111,100
1,43,6.331016,5.919137,14.156719,0.591914,0.707836,64840,72.044444,100
2,44,6.301613,6.027253,11.514458,0.602725,0.575723,64711,71.901111,100
3,45,6.326756,5.943938,13.600294,0.594394,0.680015,64973,72.192222,100
4,46,6.290869,5.802447,15.570899,0.580245,0.778545,64952,72.168889,100
5,47,6.409327,6.040491,13.417213,0.604049,0.670861,64127,71.252222,100
6,48,6.194444,5.921217,11.385759,0.592122,0.569288,63978,71.086667,100
7,49,6.483266,6.063605,14.456822,0.606361,0.722841,65108,72.342222,100
8,50,6.352532,5.938273,14.223453,0.593827,0.711173,64356,71.506667,100
9,51,6.211200,5.750351,14.967339,0.575035,0.748367,65905,73.227778,100
10,52,6.326841,6.002200,12.495009,0.600220,0.624750,64208,71.342222,100
11,53,6.250052,5.796796,14.861908,0.579680,0.743095,64162,71.291111,100
12,54,6.188356,5.850229,12.612772,0.585023,0.630639,65113,72.347778,100
13,55,6.264968,5.710250,16.804611,0.571025,0.840231,65062,72.291111,100
14,56,6.177673,5.673530,15.756393,0.567353,0.787820,64639,71.821111,100
15,57,6.309547,6.041347,11.405352,0.604135,0.570268,63666,70.740000,100
16,58,6.145395,5.606520,16.384014,0.560652,0.819201,64532,71.702222,100
17,59,6.245076,5.781513,15.052788,0.578151,0.752639,65460,72.733333,100
18,60,6.436477,5.947678,15.723659,0.594768,0.786183,65653,72.947778,100
19,61,6.315046,6.002664,12.250287,0.600266,0.612514,63562,70.624444,100
20,62,6.270118,5.885360,13.580519,0.588536,0.679026,65036,72.262222,100
21,63,6.308494,5.831140,15.378214,0.583114,0.768911,62154,69.060000,100
22,64,6.411051,5.905792,16.010962,0.590579,0.800548,65626,72.917778,100
23,65,6.402824,5.894009,16.070301,0.589401,0.803515,64450,71.611111,100
24,66,6.383499,5.899236,15.584489,0.589924,0.779224,64608,71.786667,100
25,67,6.260421,5.778598,15.415072,0.577860,0.770754,64822,72.024444,100
26,68,6.103458,5.667886,14.379336,0.566789,0.718967,64409,71.565556,100
27,69,6.404560,5.953245,14.979556,0.595324,0.748978,62666,69.628889,100
28,70,6.502719,6.037909,15.334123,0.603791,0.766706,65677,72.974444,100
29,71,6.353316,5.910019,14.775965,0.591002,0.738798,64945,72.161111,100
30,72,6.276096,5.763144,16.022172,0.576314,0.801109,64622,71.802222,100
31,73,6.302222,6.134797,9.483306,0.613480,0.474165,62784,69.760000,100
32,74,6.253489,5.839318,14.122736,0.583932,0.706137,65077,72.307778,100
33,75,6.404660,5.926064,15.497993,0.592606,0.774900,65403,72.670000,100
34,76,6.628969,6.118227,16.333061,0.611823,0.816653,65557,72.841111,100
35,77,6.547012,6.069524,15.619274,0.606952,0.780964,65554,72.837778,100
36,78,6.394468,5.966896,14.518335,0.596690,0.725917,65224,72.471111,100
37,79,6.167143,5.748931,14.113162,0.574893,0.705658,65771,73.078889,100
38,80,6.519128,6.024342,15.920053,0.602434,0.796003,65172,72.413333,100
39,81,6.076206,5.607461,14.982360,0.560746,0.749118,65931,73.256667,100
40,82,6.376379,5.879644,15.814345,0.587964,0.790717,65515,72.794444,100
