step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.439996,0.007826,591.835000,3.877984,159.035000,3.239357,149.130000,2.746613,735.925000,2.201977,35.210000,1.404648,700.715000,1.702315,8.647350,0.033872,5.083623,0.007769,5.218065,0.013073,5.923826,0.031951,5.829651,0.032537
2,6.026056,0.022554,633.275000,4.384828,158.615000,3.845815,108.110000,2.384920,667.020000,4.251540,44.105000,1.956027,622.915000,3.825459,8.728224,0.094654,5.725815,0.019497,5.896249,0.025740,6.010456,0.042826,6.878942,0.077840
3,6.422698,0.019114,640.310000,4.100973,160.640000,3.921158,99.050000,2.105479,625.350000,4.891734,19.995000,2.035873,605.355000,4.090734,10.023823,0.066529,6.022573,0.018483,6.202007,0.021718,6.243454,0.035217,8.222121,0.065274
4,6.451977,0.017468,637.715000,4.229059,162.045000,3.938260,100.240000,2.124941,618.265000,4.657115,19.530000,2.199037,598.735000,4.242893,10.261886,0.070096,6.028654,0.017895,6.231649,0.022509,6.251264,0.035630,8.261602,0.067671
5,6.449928,0.019042,638.295000,4.078420,161.435000,3.876510,100.270000,1.820108,620.400000,4.929205,17.200000,2.275152,603.200000,4.198792,10.308189,0.075078,6.021233,0.019173,6.211018,0.022044,6.290765,0.037119,8.287555,0.054757
6,6.450571,0.017671,640.755000,4.374261,158.860000,3.894358,100.385000,1.981437,618.285000,5.401889,18.040000,2.314222,600.245000,4.826735,10.298158,0.072804,6.023062,0.018885,6.208892,0.022702,6.295989,0.036586,8.303474,0.061210
7,6.436796,0.018090,640.450000,4.562458,161.260000,4.098804,98.290000,2.058039,617.235000,5.396948,17.415000,2.375694,599.820000,4.771896,10.268851,0.076264,6.011012,0.018630,6.184658,0.021536,6.288972,0.038845,8.387451,0.060020
8,6.454357,0.019897,638.290000,4.336700,160.015000,3.741957,101.695000,2.169176,615.650000,5.662030,19.340000,2.379193,596.310000,5.306269,10.251130,0.074928,6.032493,0.021025,6.224262,0.023550,6.258155,0.041715,8.285098,0.067970
9,6.458591,0.017462,641.970000,3.901190,156.910000,3.595591,101.120000,2.078990,614.885000,5.200063,19.355000,2.392440,595.530000,4.348398,10.231494,0.068081,6.039379,0.018078,6.217240,0.021355,6.285395,0.038806,8.337118,0.065077
10,6.452154,0.019038,639.745000,4.204145,158.150000,3.543227,102.105000,2.249312,618.155000,4.896021,19.940000,2.382525,598.215000,4.549749,10.255135,0.082074,6.029601,0.019182,6.218798,0.022252,6.251612,0.039496,8.309802,0.065591
