iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.069580,5.611464,14.773773,0.561146,0.738689,43041,47.823333,100
1,43,6.315257,5.865230,14.865765,0.586523,0.743288,41950,46.611111,100
2,44,6.005144,5.518121,15.258588,0.551812,0.762929,40496,44.995556,100
3,45,6.272246,5.856015,14.180636,0.585601,0.709032,42640,47.377778,100
4,46,5.996834,5.510605,15.235192,0.551060,0.761760,43012,47.791111,100
5,47,5.915444,5.533187,13.178334,0.553319,0.658917,41328,45.920000,100
6,48,5.857287,5.407699,14.399458,0.540770,0.719973,43303,48.114444,100
7,49,6.195714,5.610225,17.320004,0.561022,0.866000,41668,46.297778,100
8,50,6.107673,5.652895,14.748471,0.565289,0.737424,38646,42.940000,100
9,51,6.040952,5.538601,15.585626,0.553860,0.779281,42640,47.377778,100
10,52,6.209427,5.737697,15.172279,0.573770,0.758614,42907,47.674444,100
11,53,6.107305,5.551403,16.669434,0.555140,0.833472,41784,46.426667,100
12,54,6.516289,5.992429,16.469626,0.599243,0.823481,42207,46.896667,100
13,55,6.072995,5.551530,15.980825,0.555153,0.799041,41136,45.706667,100
14,56,6.003170,5.593580,13.785394,0.559358,0.689270,42850,47.611111,100
15,57,6.208177,5.810787,13.758592,0.581079,0.687930,43232,48.035556,100
16,58,6.155891,5.671224,15.364564,0.567122,0.768228,41989,46.654444,100
17,59,6.228475,5.710738,16.065489,0.571074,0.803274,41657,46.285556,100
18,60,6.107679,5.602700,15.702282,0.560270,0.785114,42430,47.144444,100
19,61,6.375537,5.919364,15.042822,0.591936,0.752141,41045,45.605556,100
20,62,6.285922,5.746361,16.537570,0.574636,0.826878,43561,48.401111,100
21,63,5.873810,5.446133,13.999658,0.544613,0.699983,41481,46.090000,100
22,64,6.122882,5.684623,14.449818,0.568462,0.722491,41015,45.572222,100
23,65,6.213202,5.683037,16.286333,0.568304,0.814317,42916,47.684444,100
24,66,6.374659,5.930607,14.811665,0.593061,0.740583,42320,47.022222,100
25,67,6.098329,5.668121,14.272298,0.566812,0.713615,42332,47.035556,100
26,68,5.879379,5.393201,15.116750,0.539320,0.755838,39561,43.956667,100
27,69,5.810520,5.387302,13.851672,0.538730,0.692584,42880,47.644444,100
28,70,6.410526,5.921608,15.699981,0.592161,0.784999,40695,45.216667,100
29,71,6.077974,5.673764,13.757964,0.567376,0.687898,41511,46.123333,100
30,72,6.230160,5.707847,16.154114,0.570785,0.807706,41622,46.246667,100
31,73,6.149559,5.728812,14.143757,0.572881,0.707188,40771,45.301111,100
32,74,6.142412,5.674835,15.026374,0.567483,0.751319,42654,47.393333,100
33,75,6.110064,5.609998,15.611328,0.561000,0.780566,41017,45.574444,100
34,76,5.792640,5.380073,13.631410,0.538007,0.681571,42660,47.400000,100
35,77,6.355468,5.811107,16.698319,0.581111,0.834916,41344,45.937778,100
36,78,6.066140,5.628360,14.383954,0.562836,0.719198,40408,44.897778,100
37,79,5.640136,5.180180,14.379298,0.518018,0.718965,40912,45.457778,100
38,80,6.183372,5.709939,15.178607,0.570994,0.758930,41344,45.937778,100
39,81,6.020768,5.521036,15.515686,0.552104,0.775784,41937,46.596667,100
40,82,6.223611,5.651323,17.097093,0.565132,0.854855,42984,47.760000,100
41,83,6.392450,5.871747,16.285808,0.587175,0.814290,40700,45.222222,100
42,84,6.234259,5.687352,16.625498,0.568735,0.831275,41213,45.792222,100
43,85,6.435469,5.956414,15.537500,0.595641,0.776875,42406,47.117778,100
44,86,6.040781,5.567751,15.028338,0.556775,0.751417,42434,47.148889,100
45,87,6.338148,5.904963,14.568668,0.590496,0.728433,42377,47.085556,100
46,88,5.784444,5.302292,14.945343,0.530229,0.747267,42357,47.063333,100
47,89,6.229693,5.784431,14.689668,0.578443,0.734483,41813,46.458889,100
48,90,6.162533,5.719542,14.579347,0.571954,0.728967,43412,48.235556,100
49,91,6.251985,5.728147,16.204897,0.572815,0.810245,41250,45.833333,100
50,92,6.506224,6.063775,14.912739,0.606378,0.745637,41460,46.066667,100
51,93,6.095718,5.561032,16.254750,0.556103,0.812737,40925,45.472222,100
52,94,5.957833,5.424103,16.098713,0.542410,0.804936,40684,45.204444,100
53,95,5.688801,5.273056,13.587954,0.527306,0.679398,42914,47.682222,100
54,96,6.132222,5.701508,14.315789,0.570151,0.715789,42519,47.243333,100
55,97,5.927168,5.507595,13.899063,0.550760,0.694953,42727,47.474444,100
56,98,6.012248,5.481238,16.101431,0.548124,0.805072,42578,47.308889,100
57,99,6.022319,5.473117,16.457173,0.547312,0.822859,42624,47.360000,100
58,100,5.802917,5.361423,14.191304,0.536142,0.709565,40751,45.278889,100
59,101,6.284017,5.789661,15.676792,0.578966,0.783840,41836,46.484444,100
60,102,6.251608,5.677246,17.164478,0.567725,0.858224,42318,47.020000,100
61,103,6.052490,5.638201,13.923986,0.563820,0.696199,42143,46.825556,100
62,104,6.615926,6.015090,18.031802,0.601509,0.901590,42261,46.956667,100
63,105,6.052620,5.570901,15.205287,0.557090,0.760264,42099,46.776667,100
64,106,5.918705,5.376539,16.219858,0.537654,0.810993,41185,45.761111,100
65,107,6.280895,5.788582,15.634855,0.578858,0.781743,37644,41.826667,100
66,108,6.329663,5.840410,15.625469,0.584041,0.781273,41385,45.983333,100
67,109,5.919524,5.417866,15.451027,0.541787,0.772551,43002,47.780000,100
68,110,6.129357,5.591926,16.340541,0.559193,0.817027,43323,48.136667,100
69,111,6.318970,5.880810,14.644023,0.588081,0.732201,42869,47.632222,100
70,112,6.620085,6.034144,17.752982,0.603414,0.887649,41899,46.554444,100
71,113,6.028294,5.652710,13.164397,0.565271,0.658220,39856,44.284444,100
72,114,5.988780,5.577097,13.810776,0.557710,0.690539,42572,47.302222,100
73,115,6.252841,5.789519,15.055960,0.578952,0.752798,42081,46.756667,100
74,116,6.130093,5.704546,14.215490,0.570455,0.710775,43493,48.325556,100
75,117,5.855456,5.352984,15.402420,0.535298,0.770121,41657,46.285556,100
76,118,6.249756,5.811589,14.574928,0.581159,0.728746,37442,41.602222,100
77,119,6.118889,5.544046,17.040895,0.554405,0.852045,41746,46.384444,100
78,120,6.084192,5.652437,14.287530,0.565244,0.714377,42484,47.204444,100
79,121,6.177039,5.769144,13.927054,0.576914,0.696353,42283,46.981111,100
80,122,5.965428,5.545612,13.941929,0.554561,0.697096,42194,46.882222,100
81,123,6.176640,5.725221,14.753601,0.572522,0.737680,41262,45.846667,100
82,124,6.157985,5.704624,14.771860,0.570462,0.738593,42796,47.551111,100
83,125,6.373027,5.949444,14.421105,0.594944,0.721055,42213,46.903333,100
84,126,6.338025,5.831511,15.961790,0.583151,0.798090,42681,47.423333,100
85,127,6.114204,5.612580,15.645067,0.561258,0.782253,41266,45.851111,100
86,128,6.259164,5.683619,17.194526,0.568362,0.859726,42489,47.210000,100
87,129,5.875502,5.326517,16.306220,0.532652,0.815311,42035,46.705556,100
88,130,6.231966,5.771073,14.988928,0.577107,0.749446,36969,41.076667,100
