step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.388226,0.011173,537.225000,5.844707,186.390000,4.256981,176.385000,4.407305,536.205000,5.479768,42.030000,3.391176,494.175000,4.023994,6.922568,0.038333,5.117460,0.010544,5.172449,0.019710,5.749623,0.040846,5.689923,0.038524
2,5.860783,0.039255,531.280000,6.832453,170.020000,4.963548,198.700000,4.872701,438.735000,9.790831,62.665000,4.477024,376.070000,7.121285,7.209815,0.139469,5.622719,0.027965,5.853440,0.042134,5.628863,0.067904,6.104548,0.085523
3,6.358476,0.026568,528.990000,7.097668,177.360000,5.410756,193.650000,4.688704,352.645000,7.494005,18.915000,3.554542,333.730000,6.345465,8.835847,0.108975,5.921293,0.021994,6.226695,0.028555,5.730119,0.054903,7.341391,0.088031
4,6.396177,0.021044,531.035000,7.143544,175.125000,5.921482,193.840000,4.806173,341.025000,7.075786,12.390000,3.469119,328.635000,6.016360,8.982304,0.090935,5.939802,0.019520,6.226024,0.026840,5.798882,0.045838,7.452610,0.074093
5,6.398874,0.021558,522.655000,7.028074,181.895000,5.533773,195.450000,4.670015,343.655000,7.408245,11.855000,3.592965,331.800000,6.184719,9.051404,0.084433,5.930781,0.020691,6.229524,0.026517,5.795888,0.050094,7.461668,0.065870
6,6.378875,0.022017,526.220000,6.737696,179.365000,5.431537,194.415000,4.524335,348.505000,7.081534,11.195000,3.446618,337.310000,5.945078,9.067069,0.082873,5.904488,0.020786,6.189113,0.028938,5.775472,0.052906,7.493429,0.068557
7,6.397431,0.023657,526.655000,6.341371,176.615000,5.861004,196.730000,4.473842,348.190000,7.081513,9.960000,3.331735,338.230000,6.308302,9.091128,0.092170,5.922073,0.022058,6.214241,0.031830,5.799400,0.051238,7.467954,0.064433
8,6.393315,0.024216,524.625000,7.116714,174.255000,5.980345,201.120000,4.607023,349.995000,7.585164,13.655000,3.741547,336.340000,6.337882,9.066258,0.084851,5.921619,0.024866,6.207028,0.030227,5.775075,0.046245,7.457783,0.065609
9,6.409564,0.024149,529.130000,6.811997,175.075000,5.789644,195.795000,4.735826,347.185000,7.397117,14.690000,3.870824,332.495000,6.051710,9.072472,0.083939,5.939639,0.022007,6.222565,0.030307,5.765211,0.052764,7.556159,0.066798
10,6.420870,0.022209,525.810000,7.343374,181.215000,5.619613,192.975000,4.581578,342.775000,7.143261,9.260000,3.268128,333.515000,6.071121,9.181618,0.084718,5.933679,0.020735,6.225633,0.029779,5.814702,0.051908,7.572284,0.067818
11,6.397339,0.024405,527.805000,6.624365,177.095000,5.842281,195.100000,4.445799,350.180000,7.518834,12.655000,3.653813,337.525000,6.424817,9.143242,0.082926,5.912768,0.022904,6.194350,0.031023,5.780781,0.053069,7.540778,0.067587
12,6.412784,0.021607,525.185000,7.350122,181.860000,6.076271,192.955000,4.672568,345.170000,6.911656,13.275000,3.759597,331.895000,5.917756,9.061150,0.081733,5.945425,0.021876,6.217147,0.026836,5.772635,0.052252,7.601371,0.067901
13,6.413754,0.021432,524.570000,7.029295,179.860000,5.581528,195.570000,4.541439,343.175000,7.766307,10.860000,3.469543,332.315000,6.628325,9.183729,0.079649,5.924935,0.019765,6.214004,0.029457,5.818288,0.050384,7.542812,0.063333
14,6.417616,0.021763,524.880000,6.869386,181.170000,6.160922,193.950000,4.085017,347.280000,7.632907,15.220000,3.938649,332.060000,6.351561,9.146958,0.083203,5.935968,0.021483,6.211220,0.029210,5.831890,0.054079,7.567189,0.059509
15,6.405251,0.021402,525.630000,7.408515,175.045000,6.164167,199.325000,4.406369,347.195000,7.019885,15.375000,3.953698,331.820000,5.514297,9.115302,0.078405,5.927007,0.020854,6.212800,0.026957,5.783921,0.050327,7.495467,0.055366
16,6.410565,0.022859,522.730000,7.250079,177.190000,5.861872,200.080000,4.665954,346.885000,7.303898,14.435000,3.846766,332.450000,6.187477,9.137766,0.076517,5.929294,0.022381,6.213106,0.027972,5.776486,0.058667,7.548837,0.071624
17,6.407875,0.025256,527.995000,7.343296,179.235000,6.110517,192.770000,4.266514,348.365000,8.115484,15.950000,4.017279,332.415000,6.197586,9.123755,0.092511,5.928602,0.022198,6.208262,0.029564,5.747365,0.054735,7.607217,0.061430
18,6.421953,0.024278,527.285000,6.958550,176.915000,5.601151,195.800000,4.692207,348.825000,8.126374,14.755000,3.879296,334.070000,6.516268,9.206426,0.080030,5.930576,0.021695,6.235060,0.033325,5.778392,0.052988,7.546963,0.063124
19,6.410847,0.022125,530.675000,7.376587,174.010000,5.675911,195.315000,4.553178,343.880000,6.759799,10.505000,3.423472,333.375000,5.733025,9.169347,0.075311,5.924053,0.021718,6.205658,0.029581,5.763069,0.051147,7.583272,0.060059
20,6.429978,0.023083,531.170000,7.117185,173.045000,5.748726,195.785000,4.269933,346.070000,7.411319,11.655000,3.529329,334.415000,5.843003,9.237602,0.081207,5.934515,0.022181,6.240969,0.030300,5.767672,0.050688,7.571024,0.065195
21,6.424178,0.022514,528.485000,7.221870,176.955000,5.493683,194.560000,4.714855,345.000000,7.300393,11.795000,3.571082,333.205000,6.072334,9.157266,0.079480,5.941868,0.021103,6.230478,0.031261,5.779508,0.051318,7.598243,0.065664
22,6.436690,0.020903,525.540000,7.000735,179.315000,5.654231,195.145000,4.419787,344.440000,6.687216,10.170000,3.373717,334.270000,5.922880,9.226837,0.076515,5.944311,0.021247,6.233120,0.029626,5.836882,0.049621,7.576650,0.065355
23,6.407188,0.021986,520.250000,7.042194,181.490000,6.023813,198.260000,4.155866,347.550000,7.136574,12.820000,3.754300,334.730000,5.873228,9.136046,0.072606,5.925624,0.022552,6.210992,0.028332,5.779434,0.052934,7.526731,0.059312
24,6.403101,0.021173,526.685000,7.184801,175.300000,6.424036,198.015000,4.402261,355.160000,7.559900,16.640000,4.073927,338.520000,5.864384,9.116077,0.081628,5.924341,0.021079,6.191806,0.028137,5.789787,0.051076,7.552286,0.061437
25,6.418948,0.023563,527.955000,6.923645,175.975000,5.488430,196.070000,4.397677,342.670000,6.784507,9.090000,3.209055,333.580000,5.975507,9.211060,0.084900,5.926222,0.021251,6.208802,0.030751,5.791869,0.058440,7.589024,0.065436
26,6.426922,0.021701,527.060000,7.641646,178.625000,6.450792,194.315000,4.504542,348.125000,7.629831,14.645000,3.903885,333.480000,5.983345,9.176228,0.076090,5.941751,0.021297,6.233100,0.028747,5.785500,0.048326,7.594934,0.060326
