step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.349484,0.016594,574.230000,4.371639,163.960000,3.256933,161.810000,3.189541,589.190000,2.794829,0.285000,0.394547,588.905000,2.820243,12.329875,0.052728,4.117651,0.017796,4.674800,0.024031,6.560918,0.069123,6.622985,0.065726
2,5.779867,0.024584,547.475000,4.903189,178.225000,3.622236,174.300000,4.028011,454.215000,5.329493,7.875000,1.948043,446.340000,4.935280,11.972267,0.065284,4.687090,0.026808,5.678212,0.034976,5.957328,0.067308,5.970801,0.067522
3,6.006244,0.023057,569.970000,4.998795,175.870000,3.638743,154.160000,3.953112,441.125000,5.080672,13.770000,2.624167,427.355000,4.616009,11.861633,0.091715,4.972940,0.024656,5.757852,0.030514,6.134723,0.067342,6.888330,0.130503
4,5.997617,0.028239,553.180000,4.852329,181.890000,3.683286,164.930000,4.019916,438.595000,5.886974,8.535000,1.898150,430.060000,5.602476,12.297573,0.105628,4.885861,0.027768,5.714750,0.039359,5.957769,0.069775,7.073186,0.166597
5,6.051089,0.032130,562.975000,5.594748,174.790000,4.079811,162.235000,4.365038,437.475000,6.156123,7.465000,1.998761,430.010000,5.563860,12.473074,0.119514,4.917797,0.027913,5.662266,0.041750,6.010223,0.077843,7.578802,0.195958
6,6.101178,0.030901,564.990000,5.264826,174.480000,3.643929,160.530000,3.836649,430.440000,5.682143,6.685000,1.892022,423.755000,5.230292,12.731966,0.119463,4.931039,0.026989,5.684443,0.042109,5.974399,0.090761,7.808702,0.189295
7,6.152012,0.032198,562.110000,4.864330,173.430000,4.042423,164.460000,3.784951,429.145000,5.876739,6.125000,1.895761,423.020000,5.407507,12.806647,0.129944,4.977664,0.029406,5.707598,0.042009,5.966587,0.083887,7.946239,0.187819
8,6.153660,0.032070,562.425000,5.452506,174.420000,3.904589,163.155000,4.023650,430.505000,5.546398,3.515000,1.518653,426.990000,5.327321,12.952377,0.125387,4.953886,0.030845,5.652017,0.049553,5.896909,0.089852,8.220952,0.182502
9,6.168341,0.031158,563.240000,5.303647,172.225000,3.892087,164.535000,4.047658,426.760000,5.244515,3.690000,1.526666,423.070000,4.897626,13.003911,0.125973,4.962064,0.027914,5.666571,0.048991,5.901607,0.102299,8.280214,0.171396
10,6.178328,0.030550,561.425000,5.772973,174.115000,4.198221,164.460000,4.064315,422.225000,5.793868,3.175000,1.479470,419.050000,5.649179,13.050703,0.126295,4.965556,0.030979,5.639703,0.049575,5.898832,0.097863,8.364750,0.169601
11,6.181934,0.032593,558.095000,5.900510,178.225000,4.766951,163.680000,4.027550,424.040000,6.153519,3.835000,1.558973,420.205000,5.958505,13.022363,0.126269,4.974799,0.032940,5.622844,0.055136,5.849046,0.088630,8.527076,0.164402
12,6.184499,0.031874,559.420000,4.762513,174.895000,4.328363,165.685000,3.733670,424.550000,5.719681,2.330000,1.370882,422.220000,5.553184,13.043367,0.134610,4.974111,0.031256,5.599656,0.055850,5.850321,0.097292,8.595384,0.163731
13,6.169483,0.030253,558.025000,5.819351,174.100000,4.331163,167.875000,3.930081,424.920000,5.847611,3.180000,1.735133,421.740000,5.552663,13.094991,0.126209,4.947335,0.030893,5.556079,0.051232,5.842117,0.093426,8.606060,0.155391
14,6.205859,0.033222,564.540000,5.516329,171.845000,4.158928,163.615000,3.382876,421.205000,5.617696,2.895000,1.449945,418.310000,5.504848,13.116790,0.141886,4.986283,0.031102,5.566719,0.055242,5.865809,0.093271,8.796728,0.153998
15,6.178981,0.031427,560.575000,5.706024,171.745000,4.242017,167.680000,4.129503,417.745000,5.749309,2.655000,1.391462,415.090000,5.668989,12.998707,0.125056,4.975500,0.032131,5.554126,0.054201,5.768505,0.098732,8.766701,0.154934
16,6.176843,0.030230,554.495000,5.883955,176.890000,4.336281,168.615000,3.787496,424.385000,6.223128,2.990000,1.811032,421.395000,6.125882,12.983304,0.138774,4.975703,0.031375,5.556796,0.052209,5.684328,0.094974,8.796806,0.142808
17,6.190009,0.032361,558.470000,5.234543,176.590000,4.212498,164.940000,3.695370,420.195000,5.809279,3.350000,1.871204,416.845000,5.708250,13.050937,0.135665,4.979258,0.032613,5.552419,0.053957,5.720107,0.099345,8.932926,0.152662
18,6.189769,0.032263,558.225000,5.097429,175.285000,4.257833,166.490000,3.589433,412.690000,5.670984,2.260000,1.433532,410.430000,5.600061,12.971450,0.135059,4.993002,0.032898,5.562630,0.059136,5.714025,0.106164,8.871422,0.148608
19,6.194434,0.032613,557.425000,5.685909,173.005000,4.234422,169.570000,3.978354,418.180000,5.756754,2.070000,1.372669,416.110000,5.797189,12.987878,0.151485,4.995590,0.034129,5.552925,0.054953,5.737741,0.109253,8.851085,0.144987
