iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.498889,6.083929,10.233532,0.608393,0.682235,60449,67.165556,100
1,43,6.397778,5.976229,10.191717,0.597623,0.679448,61145,67.938889,100
2,44,6.631111,6.297861,9.630361,0.629786,0.642024,61831,68.701111,100
3,45,6.330110,5.921832,10.004607,0.592183,0.666974,59933,66.592222,100
4,46,6.442899,5.977261,10.633643,0.597726,0.708910,60688,67.431111,100
5,47,6.452222,6.059052,9.990751,0.605905,0.666050,60492,67.213333,100
6,48,6.676667,6.262160,10.407225,0.626216,0.693815,60093,66.770000,100
7,49,6.631111,6.229605,10.244668,0.622960,0.682978,60452,67.168889,100
8,50,6.533067,6.007319,11.264807,0.600732,0.750987,61147,67.941111,100
9,51,6.599919,6.065084,11.413442,0.606508,0.760896,60639,67.376667,100
10,52,6.353314,5.852780,10.858120,0.585278,0.723875,61082,67.868889,100
11,53,6.596289,6.074178,11.295290,0.607418,0.753019,60833,67.592222,100
12,54,6.322326,5.985757,9.351448,0.598576,0.623430,60732,67.480000,100
13,55,6.478130,6.035516,10.461655,0.603552,0.697444,60418,67.131111,100
14,56,6.371717,5.897442,10.640194,0.589744,0.709346,61441,68.267778,100
15,57,6.413333,6.064279,9.554823,0.606428,0.636988,61034,67.815556,100
16,58,6.612222,6.111272,11.120771,0.611127,0.741385,59834,66.482222,100
17,59,6.434815,6.039196,9.995388,0.603920,0.666359,61041,67.823333,100
18,60,6.483148,6.103485,9.900117,0.610348,0.660008,61050,67.833333,100
19,61,6.538462,6.124274,10.266150,0.612427,0.684410,60609,67.343333,100
20,62,6.489808,6.038985,10.547220,0.603898,0.703148,60238,66.931111,100
21,63,6.572130,6.261822,9.364901,0.626182,0.624327,60360,67.066667,100
22,64,6.527778,6.142871,9.991942,0.614287,0.666129,61337,68.152222,100
23,65,6.211111,5.978954,8.300529,0.597895,0.553369,59003,65.558889,100
24,66,6.387778,5.841593,11.303439,0.584159,0.753563,60704,67.448889,100
25,67,6.682222,6.256323,10.515317,0.625632,0.701021,60243,66.936667,100
