step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
25,6.468856,0.019252,632.390000,4.479557,164.380000,4.052964,103.230000,2.009301,604.345000,5.360404,17.910000,2.905030,586.435000,4.660784,10.201777,0.094695,6.054087,0.019577,6.197070,0.024629,6.097143,0.037580,8.776710,0.069131
26,6.491774,0.018647,633.165000,4.326610,162.730000,3.940500,104.105000,1.986774,600.290000,4.785062,14.540000,2.687303,585.750000,4.264162,10.358099,0.089801,6.062182,0.019679,6.217387,0.025738,6.134010,0.039636,8.767172,0.068420
27,6.457530,0.019699,634.230000,4.272641,162.455000,3.861197,103.315000,1.995847,604.920000,5.312523,16.235000,2.713544,588.685000,4.604928,10.206676,0.094237,6.040958,0.019994,6.179888,0.025672,6.077783,0.043020,8.804782,0.070068
28,6.477556,0.018510,630.465000,4.346622,166.590000,3.911328,102.945000,2.073347,600.150000,5.272901,16.470000,2.800505,583.680000,4.490898,10.176506,0.089396,6.066562,0.019441,6.209141,0.023693,6.085429,0.037620,8.804953,0.065575
29,6.459999,0.017744,635.605000,4.398849,159.440000,4.009773,104.955000,2.060744,604.125000,5.199204,15.700000,2.873252,588.425000,4.256157,10.196856,0.089403,6.044793,0.018336,6.184841,0.023459,6.094707,0.038606,8.735701,0.073340
30,6.462743,0.017671,630.485000,4.539599,165.200000,4.285437,104.315000,2.271992,608.235000,5.320087,19.215000,2.849636,589.020000,4.501743,10.159168,0.089269,6.052029,0.018326,6.184877,0.022507,6.091922,0.041866,8.791918,0.072781
31,6.450935,0.017336,631.795000,4.377212,162.990000,3.903344,105.215000,2.218743,602.380000,5.186725,13.630000,2.694637,588.750000,4.408533,10.184871,0.089257,6.036053,0.017506,6.171020,0.021886,6.082447,0.035147,8.753272,0.070463
32,6.467932,0.018829,635.580000,4.021280,159.995000,3.829361,104.425000,1.949702,606.265000,5.322925,17.920000,2.820988,588.345000,4.759132,10.221989,0.091851,6.050815,0.018847,6.190387,0.024542,6.089618,0.041757,8.771457,0.066712
33,6.469618,0.019353,635.610000,4.552907,160.980000,4.153141,103.410000,1.981218,605.755000,5.252373,15.410000,2.758111,590.345000,4.264000,10.304802,0.091980,6.043486,0.018841,6.187771,0.023461,6.117569,0.041664,8.803305,0.068663
34,6.470072,0.019097,637.195000,4.411815,158.250000,3.964652,104.555000,2.068197,607.275000,5.662340,20.350000,2.864395,586.925000,4.776165,10.190883,0.092894,6.056648,0.020138,6.192097,0.024409,6.110338,0.044930,8.756314,0.073207
35,6.474161,0.019756,632.445000,4.107284,163.020000,3.805326,104.535000,2.144188,602.175000,5.395847,15.245000,2.714238,586.930000,4.756858,10.266037,0.093040,6.052841,0.019449,6.201285,0.024970,6.084785,0.044159,8.781560,0.075020
36,6.473266,0.017610,630.300000,4.425213,165.930000,4.088459,103.770000,1.965199,601.155000,5.501914,14.795000,2.742286,586.360000,4.624431,10.259505,0.089852,6.052572,0.018389,6.198619,0.022739,6.099245,0.042340,8.783729,0.071433
37,6.448728,0.018930,635.565000,4.748838,161.730000,4.417456,102.705000,1.920641,604.505000,5.376826,16.950000,2.895298,587.555000,4.553202,10.136475,0.093663,6.038978,0.019123,6.160515,0.022953,6.109367,0.043158,8.809604,0.065745
38,6.461552,0.018522,632.310000,4.420486,164.820000,4.215809,102.870000,2.104404,602.245000,5.472033,15.250000,2.782346,586.995000,4.666019,10.190975,0.092897,6.047172,0.018980,6.184190,0.024120,6.093508,0.040301,8.811327,0.073698
39,6.456213,0.019296,629.680000,3.949725,166.255000,3.645652,104.065000,1.970759,606.880000,5.561631,15.670000,2.736043,591.210000,4.526986,10.209541,0.095346,6.039176,0.019980,6.168953,0.025088,6.122447,0.041237,8.764064,0.067680
40,6.450626,0.018973,631.420000,4.180092,165.000000,3.940237,103.580000,1.980154,609.070000,5.325899,18.105000,2.911841,590.965000,4.504710,10.243451,0.095574,6.029201,0.019375,6.162507,0.024126,6.104807,0.040208,8.796553,0.066208
41,6.471381,0.019944,634.960000,4.702068,161.840000,4.240639,103.200000,2.232583,600.705000,5.562486,13.570000,2.732597,587.135000,4.940640,10.352631,0.103178,6.040131,0.020094,6.186940,0.024805,6.132163,0.049987,8.806103,0.070389
42,6.465976,0.016891,632.915000,4.175227,161.775000,3.811370,105.310000,1.954447,605.200000,4.918227,16.980000,2.832652,588.220000,4.080534,10.263996,0.091325,6.043974,0.017551,6.187923,0.024571,6.104040,0.045725,8.719613,0.069782
43,6.465064,0.020579,635.430000,4.393944,162.050000,3.996370,102.520000,1.993107,606.395000,5.823040,17.980000,2.834525,588.415000,4.967734,10.202371,0.092273,6.049808,0.021157,6.184008,0.026520,6.083083,0.044010,8.857433,0.074216
44,6.474911,0.018767,633.755000,4.164086,162.975000,3.957797,103.270000,2.146925,601.480000,5.398056,12.340000,2.566173,589.140000,4.659303,10.305981,0.090518,6.049236,0.019412,6.199386,0.024903,6.115441,0.040104,8.772491,0.067479
45,6.470406,0.018708,636.090000,4.157908,161.810000,3.915895,102.100000,2.000505,606.015000,5.548564,16.905000,2.871693,589.110000,4.723081,10.198868,0.084485,6.056132,0.019046,6.189668,0.023016,6.109789,0.040428,8.838945,0.074126
46,6.473339,0.016643,632.410000,4.602823,162.790000,4.255933,104.800000,1.973545,603.875000,5.000436,16.460000,2.827156,587.415000,4.363519,10.222913,0.086325,6.056719,0.017930,6.204235,0.022375,6.107809,0.039754,8.714548,0.067086
47,6.474000,0.018616,634.930000,4.368741,163.310000,4.134447,101.760000,1.845781,601.585000,5.415022,16.865000,2.880455,584.720000,4.610596,10.214200,0.092015,6.058422,0.018936,6.194239,0.024806,6.095450,0.038688,8.866469,0.068636
48,6.474727,0.018963,632.925000,4.412805,162.635000,4.015006,104.440000,2.083909,603.625000,5.411066,17.705000,2.889325,585.920000,4.316326,10.191549,0.088409,6.061747,0.019844,6.204428,0.023608,6.100992,0.039535,8.732974,0.069114
49,6.470927,0.018399,635.745000,4.254650,162.000000,4.016997,102.255000,1.925820,606.590000,5.211521,17.065000,2.831224,589.525000,4.569543,10.221765,0.096011,6.054167,0.019783,6.193788,0.024378,6.095028,0.042021,8.837848,0.072269
50,6.469271,0.017965,635.705000,4.438015,160.820000,4.051873,103.475000,2.166181,604.515000,4.902953,15.050000,2.820248,589.465000,4.360080,10.241562,0.097170,6.050128,0.018675,6.192576,0.024435,6.111227,0.040381,8.774794,0.073797
51,6.458656,0.017954,632.410000,4.740673,164.165000,4.152905,103.425000,2.132386,604.360000,5.353565,15.060000,2.768641,589.300000,4.717871,10.199811,0.094168,6.042973,0.019948,6.177080,0.022833,6.114897,0.043956,8.789547,0.071252
52,6.457403,0.019616,631.215000,4.666441,165.240000,4.107860,103.545000,1.961959,605.215000,5.490424,15.000000,2.779335,590.215000,4.805418,10.270239,0.098633,6.033754,0.020036,6.180404,0.025263,6.090926,0.047424,8.777570,0.072305
53,6.464351,0.019549,630.995000,4.429104,165.735000,3.842370,103.270000,2.291246,603.520000,5.129039,16.140000,2.876745,587.380000,4.582170,10.226162,0.099497,6.046372,0.019520,6.183461,0.025760,6.121685,0.042875,8.807802,0.076393
54,6.467729,0.018997,630.095000,4.496006,165.370000,4.067792,104.535000,1.992183,607.115000,5.335797,16.895000,2.830997,590.220000,4.444130,10.279357,0.094215,6.044215,0.017878,6.192801,0.023688,6.104749,0.041645,8.736600,0.071299
55,6.476584,0.018935,635.115000,4.530323,162.015000,4.069433,102.870000,2.038896,603.090000,5.346965,17.430000,2.839104,585.660000,4.752655,10.243778,0.094809,6.058007,0.020017,6.193168,0.023897,6.132551,0.042361,8.825120,0.067465
56,6.471276,0.017364,629.230000,3.987906,166.535000,3.642735,104.235000,1.973202,603.215000,4.901888,14.325000,2.732824,588.890000,4.153532,10.290493,0.087803,6.046919,0.018230,6.202049,0.022635,6.089656,0.040036,8.752690,0.068604
57,6.461557,0.017521,633.840000,4.490461,161.075000,3.907692,105.085000,2.209541,606.580000,4.675357,16.905000,2.827080,589.675000,4.364440,10.188093,0.092332,6.047497,0.019097,6.179453,0.023672,6.109966,0.040455,8.751099,0.068674
58,6.467034,0.018940,633.675000,4.403323,162.620000,3.976025,103.705000,2.208056,605.890000,5.449041,15.855000,2.820031,590.035000,4.957310,10.271216,0.092157,6.044348,0.020023,6.186784,0.024823,6.104588,0.038282,8.807335,0.077255
59,6.475338,0.019357,634.620000,4.195033,160.600000,3.855498,104.780000,1.975753,603.640000,5.668390,15.810000,2.835596,587.830000,4.743968,10.256712,0.094799,6.055185,0.019836,6.199548,0.024591,6.118688,0.043124,8.729809,0.065929
60,6.469589,0.018400,629.525000,4.562102,165.805000,4.091555,104.670000,2.111538,605.605000,5.167192,16.285000,2.834199,589.320000,4.421847,10.241374,0.095353,6.050502,0.018881,6.191060,0.024757,6.104561,0.044765,8.773783,0.067350
61,6.452428,0.018128,631.290000,4.696311,165.180000,4.207192,103.530000,2.132408,604.700000,5.058148,17.390000,2.899962,587.310000,4.255883,10.183501,0.097481,6.037864,0.019022,6.161925,0.024394,6.122613,0.044096,8.806383,0.073833
62,6.475848,0.018879,630.785000,4.661060,166.300000,4.297942,102.915000,2.089651,600.590000,5.581306,17.225000,2.892719,583.365000,4.832305,10.223874,0.096213,6.059401,0.020002,6.195213,0.024523,6.122700,0.040261,8.820835,0.075629
63,6.451750,0.018917,630.080000,4.722561,165.780000,4.234779,104.140000,2.021864,606.160000,5.316955,14.320000,2.662184,591.840000,4.548361,10.217695,0.090046,6.033312,0.019844,6.167667,0.026009,6.106259,0.040923,8.756075,0.067223
64,6.461237,0.018068,630.170000,4.682428,165.310000,4.219760,104.520000,1.836645,604.445000,4.809129,14.570000,2.756757,589.875000,4.464279,10.256276,0.095922,6.039566,0.020191,6.168399,0.025270,6.148775,0.040193,8.757907,0.066046
65,6.472501,0.017711,632.725000,4.307385,164.530000,3.902773,102.745000,2.036086,602.600000,5.396465,16.575000,2.845960,586.025000,4.789334,10.191122,0.090251,6.059321,0.019901,6.183014,0.023994,6.143320,0.042692,8.829549,0.067156
66,6.457523,0.019686,632.790000,4.532377,164.095000,4.161468,103.115000,2.036568,607.120000,5.338806,17.730000,2.895263,589.390000,4.511014,10.230043,0.095896,6.038354,0.020020,6.174502,0.025402,6.110945,0.044496,8.798750,0.076104
67,6.463486,0.021907,634.460000,3.893411,162.080000,3.552548,103.460000,1.875228,601.930000,5.637082,14.380000,2.751467,587.550000,4.823119,10.229635,0.096761,6.045025,0.021205,6.185536,0.028171,6.103149,0.042768,8.768071,0.071094
68,6.459419,0.019153,636.880000,4.289232,158.855000,3.750149,104.265000,2.112698,608.460000,5.484584,16.940000,2.808240,591.520000,4.538365,10.276317,0.088807,6.035319,0.019202,6.178508,0.023681,6.113832,0.043661,8.761713,0.072312
69,6.476366,0.021222,634.560000,4.296227,161.135000,3.992453,104.305000,2.129839,601.915000,5.601754,16.425000,2.883127,585.490000,4.868321,10.225595,0.095639,6.059785,0.021104,6.203286,0.027578,6.109890,0.046307,8.776865,0.074852
70,6.470027,0.019038,634.025000,4.456716,160.925000,4.001250,105.050000,2.006708,605.535000,5.462047,16.610000,2.845362,588.925000,4.657477,10.258001,0.089769,6.049142,0.019951,6.191808,0.023546,6.101836,0.042797,8.749448,0.069230
71,6.469792,0.018715,630.855000,4.215068,164.575000,3.826333,104.570000,1.919521,603.390000,5.156138,16.515000,2.855459,586.875000,4.445884,10.219921,0.094247,6.053111,0.020160,6.188349,0.023641,6.109815,0.042472,8.770387,0.067691
72,6.478502,0.019605,633.655000,4.532271,163.190000,4.015204,103.155000,2.011001,604.015000,5.175956,15.745000,2.748780,588.270000,4.849045,10.248147,0.090344,6.059653,0.020340,6.198165,0.024855,6.116211,0.044506,8.817171,0.067330
73,6.466556,0.018235,633.715000,3.817720,162.150000,3.526762,104.135000,1.863188,602.345000,5.207138,14.600000,2.854649,587.745000,4.368288,10.234928,0.093811,6.047848,0.018740,6.185292,0.023528,6.113916,0.041578,8.756183,0.070031
74,6.471237,0.017640,632.045000,4.201603,163.950000,3.802530,104.005000,2.013754,606.445000,4.999698,17.945000,2.846122,588.500000,4.339290,10.177518,0.092697,6.059427,0.017857,6.190542,0.022903,6.119603,0.039925,8.789637,0.073591
75,6.474586,0.019665,632.675000,4.686875,162.625000,4.288599,104.700000,2.083092,602.915000,5.062531,16.710000,2.858993,586.205000,4.303201,10.251641,0.084479,6.054913,0.020110,6.197145,0.025259,6.120242,0.041330,8.754966,0.072260
76,6.450632,0.017820,631.085000,4.585713,164.210000,4.183560,104.705000,2.121238,608.785000,5.033642,17.325000,2.757682,591.460000,4.532894,10.222304,0.089657,6.031557,0.018351,6.165695,0.023024,6.102339,0.042501,8.773276,0.073736
77,6.470489,0.017643,632.555000,4.119884,162.835000,3.776371,104.610000,1.833006,604.330000,5.098407,15.060000,2.793076,589.270000,4.227697,10.282615,0.098099,6.046920,0.018739,6.185428,0.022954,6.139583,0.045852,8.749966,0.063609
78,6.475755,0.016989,630.535000,3.984666,165.015000,3.735244,104.450000,2.192613,601.920000,5.148993,15.000000,2.703709,586.920000,4.330859,10.316478,0.090346,6.049008,0.017805,6.196257,0.022461,6.111301,0.040576,8.786261,0.073188
79,6.470671,0.019105,635.040000,4.229435,162.610000,3.777292,102.350000,2.113121,604.790000,5.221465,17.420000,2.863169,587.370000,4.249390,10.223941,0.094283,6.053641,0.019358,6.194650,0.024245,6.086369,0.039934,8.847699,0.075511
80,6.467853,0.020075,634.600000,3.983748,161.575000,3.463150,103.825000,1.907916,601.630000,5.029948,15.405000,2.821458,586.225000,4.723605,10.216799,0.097348,6.051303,0.021032,6.189275,0.026030,6.123406,0.044341,8.741681,0.065922
81,6.472123,0.018888,635.895000,4.004516,159.240000,3.613560,104.865000,2.129272,603.955000,5.380528,17.830000,2.797133,586.125000,4.503028,10.216918,0.093030,6.056035,0.019511,6.205116,0.023669,6.081114,0.046492,8.746572,0.074649
82,6.468804,0.018569,631.330000,4.861835,163.460000,4.258365,105.210000,2.077598,606.350000,4.945641,16.560000,2.831005,589.790000,4.271192,10.262891,0.097044,6.047238,0.019257,6.203980,0.024302,6.058241,0.039454,8.742309,0.068870
83,6.473247,0.017765,637.085000,4.149789,159.680000,3.872928,103.235000,1.956006,603.335000,5.108396,13.810000,2.661228,589.525000,4.295155,10.271196,0.098281,6.051253,0.017763,6.195020,0.024689,6.100044,0.043234,8.814777,0.068993
84,6.481439,0.019213,632.300000,4.762405,164.000000,4.059400,103.700000,2.131506,602.920000,4.905461,17.275000,2.898802,585.645000,4.205359,10.211956,0.099028,6.066937,0.019006,6.220302,0.024024,6.061365,0.041360,8.791764,0.071576
85,6.462511,0.018732,632.785000,4.331116,164.045000,3.863459,103.170000,2.089712,602.545000,5.339552,15.180000,2.825685,587.365000,4.828128,10.175433,0.096217,6.049964,0.018800,6.180470,0.023702,6.111525,0.044011,8.807880,0.075748
86,6.463392,0.018879,631.940000,4.273836,163.825000,4.019362,104.235000,2.027010,606.815000,5.364175,18.340000,2.982777,588.475000,4.623323,10.138165,0.091667,6.055084,0.019318,6.187600,0.026112,6.094337,0.036475,8.764595,0.068795
87,6.463809,0.020147,630.480000,4.105574,164.515000,3.677574,105.005000,2.120451,603.675000,5.204344,15.390000,2.838943,588.285000,4.207390,10.237408,0.100231,6.044521,0.018582,6.182889,0.024353,6.108650,0.045458,8.748869,0.067289
88,6.469518,0.019126,636.220000,4.533220,159.735000,3.948471,104.045000,2.180276,608.785000,5.269406,18.940000,2.963662,589.845000,4.670787,10.177751,0.092679,6.057492,0.020665,6.183654,0.023802,6.121810,0.044388,8.799745,0.070474
89,6.480075,0.020238,634.315000,4.409274,161.830000,3.993455,103.855000,1.944048,601.440000,6.072721,14.890000,2.783458,586.550000,4.945524,10.258394,0.095276,6.060262,0.020221,6.206690,0.024685,6.102828,0.040615,8.778304,0.068251
90,6.473382,0.019129,636.590000,4.100121,159.680000,3.838783,103.730000,2.050763,601.560000,5.393006,12.255000,2.617438,589.305000,4.617981,10.295530,0.103020,6.048699,0.019467,6.201937,0.023770,6.083213,0.044629,8.788785,0.068544
91,6.465019,0.018716,631.360000,4.494191,163.880000,3.703299,104.760000,2.196021,606.770000,5.459905,16.835000,2.709942,589.935000,4.682118,10.231645,0.088550,6.046505,0.019509,6.193965,0.024771,6.082147,0.040046,8.742284,0.069839
92,6.475728,0.019282,633.310000,4.496882,164.620000,4.108502,102.070000,2.093791,603.270000,5.552863,12.885000,2.615858,590.385000,4.806539,10.320049,0.086213,6.048581,0.020379,6.194451,0.023868,6.110998,0.041928,8.865281,0.073751
93,6.465996,0.018657,634.390000,4.558564,161.810000,3.787565,103.800000,2.186408,603.600000,5.394497,16.650000,2.776860,586.950000,4.687407,10.217110,0.090639,6.049205,0.019351,6.187717,0.024477,6.117201,0.044128,8.770055,0.071998
94,6.465611,0.020154,635.365000,4.310705,161.125000,3.987355,103.510000,1.994029,605.130000,5.353119,17.070000,2.800974,588.060000,4.757084,10.246177,0.089282,6.045548,0.020592,6.194432,0.024283,6.077805,0.038114,8.780907,0.069028
95,6.465199,0.019462,636.760000,4.387651,160.495000,3.687561,102.745000,2.164222,602.650000,5.368414,14.795000,2.707466,587.855000,4.545897,10.264935,0.088431,6.043007,0.019605,6.192440,0.025088,6.081210,0.041341,8.820071,0.074190
96,6.464554,0.020085,632.935000,4.022474,163.520000,3.551885,103.545000,2.059174,603.470000,5.805410,16.375000,2.864452,587.095000,5.057072,10.204087,0.087429,6.049051,0.021108,6.192905,0.026859,6.084377,0.038348,8.779086,0.070971
97,6.457670,0.017455,630.940000,4.684850,162.910000,4.119310,106.150000,2.167464,606.520000,5.263579,15.890000,2.792044,590.630000,4.350449,10.229112,0.090256,6.038621,0.017712,6.180595,0.022233,6.105628,0.039992,8.701479,0.076646
98,6.459125,0.020264,629.110000,4.415710,165.590000,3.951323,105.300000,2.073524,608.995000,4.961069,17.075000,2.861873,591.920000,4.524294,10.235218,0.098970,6.039559,0.021097,6.178739,0.026649,6.097409,0.044975,8.760945,0.068302
99,6.467760,0.019520,632.900000,4.311731,163.685000,3.816689,103.415000,1.860679,604.180000,5.205491,16.520000,2.800266,587.660000,4.279407,10.252709,0.096280,6.047210,0.020145,6.175682,0.026232,6.132813,0.044441,8.812282,0.071403
100,6.446989,0.018393,631.275000,4.444234,164.230000,3.748689,104.495000,2.135985,605.435000,5.183263,14.935000,2.720581,590.500000,4.205362,10.232180,0.088848,6.026413,0.018682,6.168949,0.024818,6.085590,0.035932,8.744577,0.070638
