step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci
75,6.484817,0.015898,300.000000,0.000000,237.115000,1.452590,6.484817,0.015898
76,6.488417,0.016704,300.000000,0.000000,235.890000,1.436998,6.488417,0.016704
77,6.483600,0.017066,300.000000,0.000000,236.480000,1.451180,6.483600,0.017066
78,6.487117,0.017671,300.000000,0.000000,236.910000,1.512553,6.487117,0.017671
79,6.480467,0.016950,300.000000,0.000000,236.900000,1.417876,6.480467,0.016950
80,6.472050,0.016246,300.000000,0.000000,237.215000,1.301888,6.472050,0.016246
81,6.479883,0.017880,300.000000,0.000000,237.070000,1.455798,6.479883,0.017880
82,6.476200,0.016236,300.000000,0.000000,237.265000,1.406220,6.476200,0.016236
83,6.486883,0.016178,300.000000,0.000000,235.710000,1.479676,6.486883,0.016178
84,6.481517,0.016415,300.000000,0.000000,237.355000,1.427098,6.481517,0.016415
85,6.487567,0.017949,300.000000,0.000000,235.390000,1.458797,6.487567,0.017949
86,6.472683,0.017671,300.000000,0.000000,236.630000,1.410663,6.472683,0.017671
87,6.483967,0.017935,300.000000,0.000000,235.925000,1.482761,6.483967,0.017935
88,6.489583,0.017938,300.000000,0.000000,236.510000,1.467782,6.489583,0.017938
89,6.478833,0.016671,300.000000,0.000000,237.580000,1.447810,6.478833,0.016671
90,6.493217,0.016104,300.000000,0.000000,236.595000,1.434464,6.493217,0.016104
91,6.489250,0.016110,300.000000,0.000000,236.175000,1.421238,6.489250,0.016110
92,6.484617,0.017172,300.000000,0.000000,236.275000,1.392803,6.484617,0.017172
93,6.487867,0.016681,300.000000,0.000000,236.440000,1.539338,6.487867,0.016681
94,6.492250,0.017929,300.000000,0.000000,237.485000,1.466070,6.492250,0.017929
95,6.478017,0.017063,300.000000,0.000000,236.515000,1.379086,6.478017,0.017063
96,6.465750,0.016828,300.000000,0.000000,237.850000,1.465067,6.465750,0.016828
97,6.498033,0.015113,300.000000,0.000000,235.540000,1.301737,6.498033,0.015113
98,6.484083,0.016815,300.000000,0.000000,237.305000,1.390532,6.484083,0.016815
99,6.488383,0.015989,300.000000,0.000000,236.255000,1.379507,6.488383,0.015989
100,6.493000,0.017230,300.000000,0.000000,235.925000,1.438754,6.493000,0.017230
