step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
25,6.411781,0.019819,639.325000,3.841653,163.855000,3.474029,96.820000,2.092835,619.715000,4.578057,9.335000,1.640988,610.380000,4.310065,12.172434,0.116911,5.771709,0.020967,6.086729,0.023584,6.345070,0.051240,8.742559,0.087496
26,6.414529,0.019636,641.520000,3.914775,161.150000,3.542246,97.330000,2.121480,619.140000,4.640142,9.715000,1.625807,609.425000,4.465587,12.197325,0.114421,5.771996,0.020990,6.070956,0.025773,6.423113,0.052040,8.750146,0.085208
27,6.402403,0.020641,640.215000,4.025395,162.545000,3.449196,97.240000,2.063363,624.655000,4.481879,9.565000,1.633164,615.090000,4.269510,12.125376,0.112395,5.766517,0.021333,6.060212,0.025837,6.379743,0.051023,8.783274,0.091639
28,6.413221,0.018985,644.355000,4.129390,157.350000,3.351230,98.295000,2.093482,621.815000,4.726784,10.175000,1.769324,611.640000,4.491849,12.198219,0.120898,5.770443,0.020231,6.068137,0.025676,6.423855,0.058185,8.745877,0.090755
29,6.412539,0.020535,641.880000,4.285067,160.100000,3.699269,98.020000,2.193458,620.900000,4.716828,10.900000,1.844932,610.000000,4.675928,12.075695,0.108611,5.783299,0.021502,6.074956,0.026450,6.357740,0.052578,8.808567,0.090293
30,6.410821,0.019706,641.005000,4.100458,161.585000,3.664119,97.410000,2.079158,620.940000,4.898693,11.790000,1.754211,609.150000,4.560680,12.029117,0.113671,5.786565,0.021783,6.079322,0.025038,6.326008,0.056326,8.821808,0.089503
31,6.418093,0.019517,640.570000,3.935494,161.915000,3.235105,97.515000,2.182386,618.350000,5.017371,8.970000,1.674677,609.380000,4.699680,12.064772,0.116556,5.790684,0.020661,6.083326,0.025358,6.338522,0.052837,8.830417,0.096273
32,6.445344,0.021435,642.175000,4.343702,159.785000,3.806009,98.040000,2.111663,617.070000,4.575381,11.775000,1.829298,605.295000,4.122252,12.064588,0.119781,5.820984,0.020937,6.112616,0.027542,6.370444,0.056277,8.824017,0.081489
33,6.437640,0.019825,639.105000,4.023969,162.370000,3.472443,98.525000,2.070680,613.875000,4.543445,9.440000,1.853682,604.435000,4.060079,12.057234,0.110476,5.813241,0.021717,6.106231,0.026280,6.327312,0.048941,8.846300,0.092130
34,6.431483,0.021022,636.530000,3.906654,165.360000,3.562469,98.110000,1.983682,612.810000,4.847108,9.505000,1.802056,603.305000,4.540752,12.012905,0.118081,5.811325,0.023458,6.097091,0.026283,6.325005,0.054878,8.865843,0.092144
35,6.435668,0.019827,641.750000,4.353919,161.700000,3.597357,96.550000,2.220347,616.100000,4.729396,9.690000,1.640347,606.410000,4.389871,12.009714,0.106824,5.816329,0.021288,6.093150,0.027529,6.349073,0.048489,8.964006,0.096274
36,6.429291,0.021143,640.975000,3.908989,160.210000,3.412277,98.815000,2.076087,617.635000,5.028333,11.210000,1.884509,606.425000,4.547809,11.960490,0.119775,5.814713,0.021950,6.102431,0.027520,6.315818,0.057837,8.828774,0.089577
37,6.441005,0.020668,642.055000,3.948489,160.325000,3.542796,97.620000,1.972349,614.885000,4.837695,10.385000,1.812773,604.500000,4.402404,12.060368,0.111837,5.816632,0.023436,6.106028,0.028317,6.329790,0.053991,8.910696,0.087396
38,6.420695,0.019647,639.210000,3.948181,161.410000,3.344150,99.380000,2.144038,617.515000,5.140412,9.105000,1.819349,608.410000,4.806690,11.943100,0.118370,5.807094,0.021981,6.088185,0.027500,6.298027,0.046874,8.850673,0.094945
39,6.425196,0.020633,639.205000,4.058765,161.825000,3.351394,98.970000,2.137020,617.050000,4.645812,11.240000,1.815623,605.810000,4.271775,11.938070,0.113377,5.812654,0.021453,6.087642,0.027637,6.310193,0.050686,8.887399,0.087896
40,6.434205,0.021953,641.305000,3.840704,158.825000,3.319562,99.870000,2.137173,616.395000,5.151945,11.075000,1.816245,605.320000,4.918399,11.946089,0.121409,5.821773,0.022668,6.089652,0.027892,6.353528,0.058804,8.857629,0.090984
41,6.420339,0.021167,640.185000,4.110605,159.750000,3.625388,100.065000,2.197947,614.865000,5.110633,10.705000,1.755927,604.160000,4.776479,11.987336,0.114712,5.801784,0.022872,6.081671,0.027747,6.291397,0.059842,8.871477,0.093737
42,6.415017,0.019529,642.525000,4.296840,157.595000,3.596582,99.880000,2.382238,618.455000,4.455944,10.260000,1.897558,608.195000,4.236090,11.920012,0.112554,5.803351,0.020066,6.071365,0.025108,6.293261,0.056645,8.912259,0.088179
43,6.430005,0.019544,644.055000,3.811820,158.350000,3.217543,97.595000,2.055059,615.915000,4.387399,9.530000,1.723812,606.385000,4.351677,11.942914,0.113385,5.817460,0.021660,6.085630,0.026545,6.294214,0.051604,8.984970,0.088393
