step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.431041,0.009487,592.730000,4.035210,157.820000,3.108230,149.450000,2.952441,743.220000,1.876788,23.825000,0.945658,719.395000,1.673812,10.216591,0.038926,4.899314,0.008934,5.142931,0.013693,6.024609,0.037403,6.003101,0.043154
2,6.001305,0.023724,639.760000,4.193645,158.635000,3.536858,101.605000,2.450675,674.820000,3.633685,31.180000,1.460184,643.640000,3.300684,10.261582,0.086009,5.527941,0.021493,5.815058,0.025483,6.121193,0.050992,7.082678,0.080313
3,6.365633,0.018233,642.700000,3.797710,161.485000,3.373513,95.815000,2.142666,636.955000,4.475235,15.595000,1.533964,621.360000,4.145746,11.183925,0.069627,5.830267,0.017696,6.139873,0.021505,6.384445,0.038124,7.934489,0.081958
4,6.387345,0.020045,644.615000,4.145365,159.590000,3.545145,95.795000,2.299303,633.935000,4.835598,12.525000,1.529354,621.410000,4.366325,11.417213,0.072222,5.828470,0.019941,6.140060,0.023770,6.395666,0.041883,8.147823,0.085274
5,6.432301,0.019420,644.915000,4.108225,160.745000,3.480791,94.340000,2.038949,628.435000,4.874138,11.195000,1.629029,617.240000,4.383447,11.477901,0.076817,5.871679,0.020059,6.184434,0.023449,6.419937,0.041229,8.240715,0.073781
6,6.402680,0.018395,644.520000,4.105715,159.195000,3.681135,96.285000,2.157807,629.790000,4.609244,11.755000,1.591735,618.035000,4.368053,11.438638,0.070674,5.843129,0.018923,6.156764,0.022362,6.385274,0.045264,8.184131,0.079875
7,6.429786,0.018010,645.560000,4.000615,158.090000,3.422011,96.350000,2.007717,624.480000,4.590744,12.015000,1.648453,612.465000,4.328307,11.395265,0.072086,5.878066,0.018877,6.174405,0.022408,6.421185,0.042329,8.255531,0.076909
8,6.429168,0.017927,645.230000,3.830677,160.350000,3.322768,94.420000,2.227058,624.985000,4.375276,12.705000,1.642430,612.280000,4.007763,11.401534,0.074518,5.876683,0.018712,6.173226,0.021617,6.387234,0.046645,8.352303,0.075251
9,6.421919,0.017764,644.950000,4.091250,160.000000,3.532949,95.050000,1.946844,626.260000,4.322670,12.170000,1.659694,614.090000,4.025882,11.454019,0.072981,5.862796,0.019065,6.159287,0.021968,6.405666,0.046953,8.314400,0.076560
10,6.417605,0.017711,644.180000,4.273975,159.145000,3.437580,96.675000,2.189493,624.695000,4.862750,11.370000,1.645161,613.325000,4.526738,11.454232,0.080995,5.857980,0.019093,6.159469,0.022634,6.387123,0.044286,8.293410,0.077771
11,6.426816,0.017993,645.200000,3.838940,157.570000,3.304468,97.230000,2.267277,624.280000,4.434673,12.420000,1.685847,611.860000,4.199138,11.417730,0.082230,5.872270,0.019117,6.166480,0.021978,6.388499,0.042149,8.312558,0.077733
12,6.426234,0.018276,645.215000,4.103150,158.700000,3.557208,96.085000,2.016545,623.440000,5.008531,12.105000,1.657266,611.335000,4.754824,11.439304,0.079579,5.869227,0.019332,6.151067,0.024447,6.420045,0.043318,8.376965,0.076334
13,6.413859,0.018383,641.805000,4.062316,161.210000,3.561156,96.985000,2.079496,626.565000,4.845060,13.740000,1.667708,612.825000,4.411788,11.349405,0.077532,5.865465,0.018845,6.143044,0.022264,6.379631,0.045862,8.348461,0.075013
14,6.423953,0.017066,644.325000,4.050138,160.165000,3.562300,95.510000,1.945021,625.485000,4.474430,13.525000,1.737422,611.960000,4.221645,11.388264,0.086641,5.872363,0.017177,6.142109,0.022234,6.406192,0.043304,8.443906,0.077126
15,6.427294,0.018080,646.950000,4.071905,156.765000,3.472517,96.285000,2.111413,625.745000,4.472877,11.560000,1.627958,614.185000,4.219067,11.398059,0.082064,5.874987,0.019241,6.147452,0.021658,6.429690,0.045615,8.390577,0.072422
16,6.420523,0.017866,642.210000,3.703717,159.435000,3.280489,98.355000,2.118875,624.485000,4.775782,12.550000,1.740076,611.935000,4.284110,11.363719,0.086395,5.871279,0.018443,6.157248,0.023271,6.343930,0.043539,8.351892,0.077584
17,6.453770,0.018782,643.095000,4.062076,160.555000,3.641988,96.350000,2.142696,622.775000,4.849955,12.875000,1.661253,609.900000,4.348822,11.428371,0.085113,5.901036,0.017942,6.174616,0.022170,6.418646,0.052849,8.476757,0.076663
18,6.433016,0.016365,644.590000,3.740943,157.605000,3.342612,97.805000,2.200125,624.245000,4.665957,11.745000,1.742861,612.500000,4.211279,11.358178,0.089153,5.885775,0.017750,6.155055,0.022256,6.408005,0.044009,8.396997,0.077206
19,6.435607,0.018548,643.915000,3.782118,158.205000,3.379011,97.880000,2.026514,624.445000,4.649570,12.605000,1.732803,611.840000,4.124163,11.356145,0.086214,5.888881,0.019005,6.158728,0.023389,6.376009,0.044648,8.440142,0.081868
20,6.442575,0.018257,641.260000,4.177133,161.150000,4.025416,97.590000,2.089254,620.340000,4.445570,12.270000,1.795279,608.070000,4.274421,11.331898,0.089850,5.899317,0.019968,6.158524,0.022363,6.401701,0.047816,8.464516,0.070107
21,6.425665,0.018121,640.290000,3.919867,160.460000,3.707371,99.250000,2.265405,621.015000,4.799703,12.445000,1.756801,608.570000,4.487366,11.342827,0.091909,5.879313,0.019654,6.149334,0.024493,6.355747,0.047177,8.415062,0.076896
22,6.423285,0.020293,643.635000,4.220350,158.900000,3.539854,97.465000,2.278326,627.890000,5.266051,14.325000,1.865790,613.565000,4.780077,11.335176,0.091854,5.877519,0.020848,6.135669,0.024898,6.364589,0.043704,8.498623,0.078643
23,6.436357,0.017342,641.290000,4.161932,160.560000,3.585711,98.150000,2.089234,621.460000,4.781435,13.155000,1.729971,608.305000,4.618357,11.349914,0.091583,5.890407,0.017762,6.157021,0.022803,6.368403,0.045299,8.462445,0.078045
24,6.432725,0.017745,641.795000,4.398221,159.575000,3.944557,98.630000,2.080510,623.040000,4.177909,13.155000,1.826587,609.885000,3.902829,11.305754,0.094241,5.891277,0.017956,6.151636,0.021990,6.369241,0.046376,8.456139,0.076539
