iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.440348,6.025682,10.172344,0.602568,0.847695,61641,68.490000,100
1,43,6.312016,5.822895,10.714098,0.582290,0.892842,62021,68.912222,100
2,44,6.563333,6.172074,10.084668,0.617207,0.840389,62386,69.317778,100
3,45,6.590860,5.933721,12.505108,0.593372,1.042092,61530,68.366667,100
4,46,6.392629,5.843175,11.337712,0.584317,0.944809,62862,69.846667,100
5,47,6.387556,5.936289,10.448957,0.593629,0.870746,62563,69.514444,100
6,48,6.517778,6.079460,10.462638,0.607946,0.871887,61904,68.782222,100
7,49,6.403004,6.027040,9.786676,0.602704,0.815556,63087,70.096667,100
8,50,6.619803,5.974889,12.424029,0.597489,1.035336,62881,69.867778,100
9,51,6.256111,5.965871,8.868271,0.596587,0.739023,61717,68.574444,100
10,52,6.456092,5.959528,10.925164,0.595953,0.910430,61370,68.188889,100
11,53,6.510808,5.905809,11.955797,0.590581,0.996316,62318,69.242222,100
12,54,6.516667,6.071240,10.525507,0.607124,0.877126,62092,68.991111,100
13,55,6.364444,5.944470,10.144219,0.594447,0.845352,61740,68.600000,100
14,56,6.490296,5.955016,11.307815,0.595502,0.942318,61771,68.634444,100
15,57,6.490807,6.148977,9.567276,0.614898,0.797273,61648,68.497778,100
16,58,6.572621,5.928827,12.366770,0.592883,1.030564,61658,68.508889,100
17,59,6.634497,6.097776,11.464986,0.609778,0.955415,62327,69.252222,100
18,60,6.307778,5.796392,10.910252,0.579639,0.909188,62273,69.192222,100
19,61,6.511358,5.982335,11.272563,0.598234,0.939380,62173,69.081111,100
20,62,6.538889,5.981624,11.554270,0.598162,0.962856,60996,67.773333,100
21,63,6.110036,5.539746,11.242647,0.553975,0.936887,61583,68.425556,100
22,64,6.527945,6.152234,9.909345,0.615223,0.825779,62265,69.183333,100
23,65,6.243333,5.858811,9.704038,0.585881,0.808670,62269,69.187778,100
24,66,6.602281,6.108802,11.043591,0.610880,0.920299,61417,68.241111,100
25,67,6.383210,5.887981,10.840268,0.588798,0.903356,61685,68.538889,100
26,68,6.578889,6.086428,11.011035,0.608643,0.917586,62803,69.781111,100
27,69,6.567059,5.987865,11.779805,0.598786,0.981650,61979,68.865556,100
28,70,6.519297,5.980740,11.366308,0.598074,0.947192,62968,69.964444,100
29,71,6.301315,5.748604,11.275722,0.574860,0.939643,62803,69.781111,100
30,72,6.654444,6.034214,12.236519,0.603421,1.019710,61589,68.432222,100
31,73,6.485450,5.879082,11.942763,0.587908,0.995230,63001,70.001111,100
32,74,6.410338,5.799466,11.908183,0.579947,0.992349,61908,68.786667,100
33,75,6.337636,5.870502,10.541848,0.587050,0.878487,62421,69.356667,100
34,76,6.211254,5.740641,10.446769,0.574064,0.870564,63398,70.442222,100
35,77,6.410078,5.914862,10.867025,0.591486,0.905585,62255,69.172222,100
36,78,6.383218,5.908810,10.652888,0.590881,0.887741,61824,68.693333,100
37,79,6.697778,6.305676,10.226694,0.630568,0.852224,62418,69.353333,100
38,80,6.482984,5.928925,11.469509,0.592893,0.955792,61420,68.244444,100
39,81,6.659471,6.095330,11.736739,0.609533,0.978062,63067,70.074444,100
40,82,6.147065,5.706704,10.110319,0.570670,0.842527,61575,68.416667,100
41,83,6.566973,6.062747,11.105008,0.606275,0.925417,58445,64.938889,100
42,84,6.679815,6.160669,11.352124,0.616067,0.946010,62162,69.068889,100
43,85,6.583840,5.940191,12.376672,0.594019,1.031389,61707,68.563333,100
44,86,6.216600,5.746132,10.450812,0.574613,0.870901,62204,69.115556,100
45,87,6.656667,6.092649,11.732823,0.609265,0.977735,61725,68.583333,100
46,88,6.552750,5.996821,11.556106,0.599682,0.963009,62569,69.521111,100
47,89,6.751083,6.212927,11.594482,0.621293,0.966207,62513,69.458889,100
48,90,6.405405,5.914929,10.819684,0.591493,0.901640,61216,68.017778,100
49,91,6.636667,6.187549,10.678726,0.618755,0.889894,61906,68.784444,100
50,92,6.470714,5.869451,11.882084,0.586945,0.990174,62419,69.354444,100
51,93,6.418249,5.920723,10.895981,0.592072,0.907998,61553,68.392222,100
52,94,6.394653,5.971213,10.205610,0.597121,0.850468,61696,68.551111,100
53,95,6.473333,6.031516,10.449692,0.603152,0.870808,62665,69.627778,100
54,96,6.345556,5.878127,10.552412,0.587813,0.879368,62254,69.171111,100
55,97,6.348498,5.822827,11.079537,0.582283,0.923295,61631,68.478889,100
56,98,6.436409,5.913899,11.138993,0.591390,0.928249,62290,69.211111,100
57,99,6.449985,5.809196,12.217085,0.580920,1.018090,61468,68.297778,100
58,100,6.705670,6.127081,11.912967,0.612708,0.992747,61049,67.832222,100
59,101,6.586667,6.100052,10.966202,0.610005,0.913850,62244,69.160000,100
60,102,6.375890,5.787535,11.671087,0.578753,0.972591,61350,68.166667,100
61,103,6.662692,6.044483,12.226575,0.604448,1.018881,61530,68.366667,100
62,104,6.466782,5.839850,12.109165,0.583985,1.009097,62429,69.365556,100
63,105,6.480926,5.945363,11.300994,0.594536,0.941750,62466,69.406667,100
64,106,6.372502,5.988558,9.827994,0.598856,0.818999,61602,68.446667,100
65,107,6.229927,5.644768,11.496358,0.564477,0.958030,62519,69.465556,100
66,108,6.490606,5.920440,11.622101,0.592044,0.968508,61283,68.092222,100
67,109,6.429899,5.999360,10.304747,0.599936,0.858729,61652,68.502222,100
68,110,6.394286,5.951496,10.379390,0.595150,0.864949,62127,69.030000,100
69,111,6.584659,5.985621,11.976004,0.598562,0.998000,62163,69.070000,100
70,112,6.374806,5.880120,10.826981,0.588012,0.902248,62674,69.637778,100
71,113,6.447420,5.764715,12.591760,0.576472,1.049313,61636,68.484444,100
72,114,6.404198,5.811089,11.742185,0.581109,0.978515,61531,68.367778,100
73,115,6.535259,5.971794,11.606444,0.597179,0.967204,62408,69.342222,100
74,116,6.501212,5.894070,11.965489,0.589407,0.997124,61739,68.598889,100
75,117,6.693333,6.171883,11.386383,0.617188,0.948865,62065,68.961111,100
76,118,6.227668,5.717168,10.822164,0.571717,0.901847,62510,69.455556,100
77,119,6.320000,5.860952,10.451435,0.586095,0.870953,60625,67.361111,100
78,120,6.182924,5.558229,11.805177,0.555823,0.983765,62060,68.955556,100
79,121,6.503893,5.948843,11.499340,0.594884,0.958278,61736,68.595556,100
80,122,6.097901,5.523194,11.270264,0.552319,0.939189,62113,69.014444,100
81,123,6.456978,5.858805,11.840532,0.585881,0.986711,62770,69.744444,100
82,124,6.565069,5.913492,12.429256,0.591349,1.035771,61427,68.252222,100
83,125,6.331018,5.717502,11.852665,0.571750,0.987722,64839,72.043333,100
84,126,6.597576,6.044984,11.570901,0.604498,0.964242,61847,68.718889,100
85,127,6.457946,5.913269,11.360041,0.591327,0.946670,62259,69.176667,100
86,128,6.768889,6.143290,12.399283,0.614329,1.033274,62243,69.158889,100
87,129,6.281590,5.694157,11.568491,0.569416,0.964041,61669,68.521111,100
88,130,6.280593,5.898833,9.716427,0.589883,0.809702,62632,69.591111,100
89,131,6.484896,5.902297,11.728295,0.590230,0.977358,61819,68.687778,100
90,132,6.465556,6.026071,10.420914,0.602607,0.868409,62653,69.614444,100
91,133,6.522454,6.140437,9.960615,0.614044,0.830051,62710,69.677778,100
