iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.546120,6.102408,14.976638,0.610241,0.748832,73169,81.298889,100
1,43,6.536165,6.216678,12.606410,0.621668,0.630320,72453,80.503333,100
2,44,6.287354,6.052753,10.744781,0.605275,0.537239,72380,80.422222,100
3,45,6.716162,6.432500,12.105724,0.643250,0.605286,72908,81.008889,100
4,46,6.566209,6.164905,14.190981,0.616491,0.709549,72156,80.173333,100
5,47,6.396186,6.143156,11.203765,0.614316,0.560188,73014,81.126667,100
6,48,6.460643,6.212128,11.182420,0.621213,0.559121,72473,80.525556,100
7,49,6.518454,6.159736,13.334100,0.615974,0.666705,72652,80.724444,100
8,50,6.747650,6.383941,13.658120,0.638394,0.682906,71935,79.927778,100
9,51,6.533333,6.182790,13.193651,0.618279,0.659683,72219,80.243333,100
10,52,6.676425,6.381645,12.277249,0.638164,0.613862,71697,79.663333,100
11,53,6.522204,6.186996,12.891148,0.618700,0.644557,72407,80.452222,100
12,54,6.682153,6.412264,11.810043,0.641226,0.590502,71949,79.943333,100
13,55,6.521573,6.162161,13.350397,0.616216,0.667520,72062,80.068889,100
14,56,6.506928,6.191420,12.501587,0.619142,0.625079,72564,80.626667,100
15,57,6.610644,6.280406,12.885160,0.628041,0.644258,72703,80.781111,100
16,58,6.495926,6.147713,13.111979,0.614771,0.655599,72829,80.921111,100
17,59,6.383205,6.097005,11.820988,0.609701,0.591049,72921,81.023333,100
18,60,6.409619,6.111422,12.075362,0.611142,0.603768,72210,80.233333,100
19,61,6.597714,6.309014,12.083003,0.630901,0.604150,72610,80.677778,100
20,62,6.486845,6.142475,13.029870,0.614247,0.651494,73640,81.822222,100
21,63,6.666543,6.282724,13.959110,0.628272,0.697956,72598,80.664444,100
22,64,6.528728,6.095178,14.766178,0.609518,0.738309,73765,81.961111,100
23,65,6.310469,5.979984,12.589671,0.597998,0.629484,72249,80.276667,100
24,66,6.462368,6.025687,14.759309,0.602569,0.737965,73620,81.800000,100
25,67,6.490176,6.132162,13.292435,0.613216,0.664622,73070,81.188889,100
26,68,6.785459,6.478610,12.615579,0.647861,0.630779,72773,80.858889,100
27,69,6.643481,6.265259,13.829694,0.626526,0.691485,72817,80.907778,100
28,70,6.546306,6.145691,14.157996,0.614569,0.707900,72478,80.531111,100
29,71,6.679758,6.398932,12.015468,0.639893,0.600773,73252,81.391111,100
30,72,6.571060,6.134520,14.865321,0.613452,0.743266,73313,81.458889,100
31,73,6.511990,6.153616,13.321088,0.615362,0.666054,72538,80.597778,100
32,74,6.671140,6.304655,13.634343,0.630466,0.681717,72834,80.926667,100
33,75,6.638421,6.247147,14.072632,0.624715,0.703632,72435,80.483333,100
34,76,6.524536,6.193708,12.810278,0.619371,0.640514,72584,80.648889,100
35,77,6.457328,6.091946,13.399588,0.609195,0.669979,72505,80.561111,100
36,78,6.649528,6.265267,13.950476,0.626527,0.697524,72472,80.524444,100
37,79,6.495378,6.056225,14.839292,0.605622,0.741965,72516,80.573333,100
38,80,6.627228,6.286466,13.101711,0.628647,0.655086,71996,79.995556,100
39,81,6.512088,6.284459,10.837037,0.628446,0.541852,71766,79.740000,100
40,82,6.759943,6.491966,11.851499,0.649197,0.592575,72291,80.323333,100
41,83,6.643234,6.244565,14.217949,0.624457,0.710897,73405,81.561111,100
42,84,6.550112,6.207650,13.056909,0.620765,0.652845,72673,80.747778,100
43,85,6.527788,6.267492,11.473423,0.626749,0.573671,72556,80.617778,100
44,86,6.603245,6.181863,14.609509,0.618186,0.730475,73130,81.255556,100
45,87,6.480752,6.179976,12.195496,0.617998,0.609775,72307,80.341111,100
46,88,6.529815,6.305328,10.795062,0.630533,0.539753,72117,80.130000,100
47,89,6.495879,6.138371,13.288529,0.613837,0.664426,72355,80.394444,100
48,90,6.560000,6.285931,11.767320,0.628593,0.588366,72428,80.475556,100
49,91,6.673989,6.299642,13.786592,0.629964,0.689330,72457,80.507778,100
50,92,6.719127,6.400028,12.782011,0.640003,0.639101,72834,80.926667,100
51,93,6.716119,6.374264,13.211359,0.637426,0.660568,73009,81.121111,100
52,94,6.638060,6.267028,13.687668,0.626703,0.684383,72356,80.395556,100
53,95,6.434444,6.152832,11.785074,0.615283,0.589254,72894,80.993333,100
54,96,6.570458,6.272971,12.222710,0.627297,0.611135,72336,80.373333,100
55,97,6.542011,6.283859,11.446898,0.628386,0.572345,72160,80.177778,100
56,98,6.430976,6.059115,13.496337,0.605911,0.674817,72960,81.066667,100
57,99,6.761257,6.457630,12.530159,0.645763,0.626508,72554,80.615556,100
58,100,6.581111,6.320969,11.523810,0.632097,0.576190,73205,81.338889,100
59,101,6.531360,6.233706,12.186772,0.623371,0.609339,71962,79.957778,100
60,102,6.538439,6.255972,11.905314,0.625597,0.595266,72083,80.092222,100
61,103,6.590519,6.267680,12.724444,0.626768,0.636222,71836,79.817778,100
