step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.379658,0.009605,555.320000,4.672350,179.225000,3.593638,165.455000,3.999992,561.715000,4.293591,12.495000,1.034432,549.220000,4.123759,7.261540,0.048525,5.280612,0.009388,5.209917,0.016793,5.692780,0.030795,5.658199,0.034585
2,5.818393,0.029177,537.025000,6.100691,183.070000,4.340147,179.905000,4.171083,431.610000,8.193272,20.665000,1.482002,410.945000,7.561952,7.616427,0.159939,5.723759,0.025397,5.950855,0.032407,5.641517,0.046567,5.642219,0.055914
3,6.195020,0.019924,516.985000,5.913988,184.075000,4.706686,198.940000,3.775857,332.360000,7.717842,5.010000,1.133282,327.350000,7.409094,9.464571,0.123270,6.022938,0.018411,6.220759,0.021112,5.757412,0.041578,6.568219,0.054470
4,6.267541,0.021031,517.310000,6.075291,182.610000,4.813565,200.080000,3.874936,319.940000,7.172028,2.825000,1.004459,317.115000,6.950650,9.748111,0.104127,6.084353,0.020875,6.236919,0.024832,5.855275,0.043428,6.759843,0.038057
5,6.249394,0.020197,509.615000,5.782132,185.605000,4.541149,204.780000,3.626783,323.830000,7.057998,2.955000,0.999243,320.875000,6.851819,9.723437,0.106303,6.066550,0.019682,6.223737,0.026012,5.807597,0.038362,6.745593,0.038052
6,6.268279,0.019806,510.410000,5.815763,183.875000,4.415888,205.715000,3.900682,319.935000,7.234518,2.420000,0.872273,317.515000,7.041402,9.795697,0.085099,6.082625,0.019793,6.231675,0.023750,5.857695,0.043513,6.757263,0.035911
7,6.267233,0.020078,516.680000,5.057495,181.295000,4.416628,202.025000,3.318428,321.500000,7.489485,2.455000,0.954534,319.045000,7.346172,9.744640,0.093689,6.084211,0.020476,6.229878,0.024238,5.832966,0.042615,6.784652,0.037695
8,6.270091,0.019604,513.125000,5.908084,183.560000,4.495406,203.315000,3.967495,319.445000,6.752929,2.420000,0.989153,317.025000,6.824047,9.690185,0.100270,6.090086,0.018993,6.239740,0.022587,5.826376,0.041625,6.787117,0.040315
9,6.270469,0.017911,508.465000,5.777877,186.785000,4.921912,204.750000,3.622937,314.290000,6.973836,3.210000,1.082721,311.080000,6.982312,9.734544,0.098274,6.088150,0.017345,6.232239,0.021851,5.837577,0.039399,6.785610,0.037206
10,6.261756,0.016265,512.700000,5.656969,181.680000,4.393181,205.620000,3.613515,317.750000,7.176053,3.175000,1.110869,314.575000,7.076032,9.694337,0.093294,6.081093,0.016276,6.218443,0.023099,5.832863,0.039988,6.770617,0.035578
11,6.268373,0.019104,507.945000,5.809985,184.640000,4.979528,207.415000,3.729162,312.210000,7.643704,2.665000,1.037439,309.545000,7.469841,9.684557,0.097026,6.088574,0.018726,6.238092,0.020985,5.827906,0.042463,6.767542,0.034947
12,6.260516,0.021313,512.190000,5.840890,184.600000,4.720448,203.210000,3.908647,323.280000,7.532575,3.045000,1.085633,320.235000,7.511156,9.696541,0.102664,6.079673,0.020929,6.214642,0.026341,5.827426,0.042347,6.803434,0.037823
13,6.280449,0.019621,513.870000,5.577865,181.130000,4.267659,205.000000,3.661925,323.315000,7.193421,2.615000,1.009754,320.700000,7.218194,9.774885,0.100777,6.096532,0.019891,6.245198,0.024009,5.840066,0.042271,6.779305,0.038922
14,6.265638,0.019800,508.510000,5.715532,183.725000,4.527292,207.765000,3.739028,317.220000,7.427719,2.775000,1.044594,314.445000,7.316330,9.693666,0.098591,6.085215,0.019805,6.233478,0.023466,5.837571,0.042397,6.752241,0.038730
15,6.253320,0.018812,511.710000,6.326253,181.710000,4.663869,206.580000,4.317757,321.735000,6.966273,3.740000,1.165301,317.995000,6.948251,9.646195,0.100957,6.074747,0.018563,6.209504,0.021671,5.830272,0.044523,6.767193,0.039426
16,6.271540,0.019137,508.320000,5.951980,181.535000,4.635519,210.145000,3.864760,317.680000,6.867984,2.010000,0.894630,315.670000,6.825004,9.777238,0.100043,6.087030,0.018345,6.239560,0.023893,5.848924,0.040484,6.737888,0.036108
17,6.267003,0.019958,511.875000,5.817518,182.435000,4.926983,205.690000,3.850247,321.875000,7.104300,2.485000,0.999406,319.390000,7.006633,9.717185,0.096649,6.085415,0.020077,6.224441,0.023681,5.837302,0.044510,6.786670,0.039278
18,6.270044,0.018060,514.155000,5.649749,182.845000,4.160320,203.000000,3.752943,319.455000,7.334041,2.295000,0.940475,317.160000,7.317725,9.751638,0.101130,6.086802,0.018250,6.233668,0.022645,5.821075,0.043484,6.798376,0.037292
19,6.257791,0.019751,509.800000,5.812922,183.235000,4.661455,206.965000,3.726005,322.095000,7.479098,2.920000,1.107207,319.175000,7.562594,9.731775,0.099808,6.074949,0.019879,6.231580,0.025495,5.800537,0.040201,6.754728,0.037115
20,6.262110,0.018617,511.595000,5.598692,180.575000,4.651059,207.830000,4.094183,323.005000,6.686045,3.365000,1.144654,319.640000,6.593466,9.688958,0.108110,6.081750,0.018136,6.223423,0.024398,5.833872,0.040851,6.759469,0.035645
21,6.271975,0.016596,512.780000,5.626381,180.215000,4.079629,207.005000,3.765998,319.345000,6.292659,1.825000,0.866509,317.520000,6.277599,9.711947,0.099716,6.090924,0.016458,6.236213,0.021409,5.817066,0.041829,6.779668,0.036750
22,6.262170,0.018810,512.735000,5.468663,182.020000,4.208733,205.245000,3.524346,323.390000,7.240302,2.235000,0.940494,321.155000,7.085106,9.699160,0.089587,6.081276,0.019571,6.229976,0.020810,5.814751,0.038877,6.764993,0.041323
23,6.271734,0.018768,512.980000,5.415551,181.120000,4.384225,205.900000,3.914086,316.320000,7.240848,3.115000,1.105708,313.205000,7.140557,9.688500,0.102657,6.091905,0.018610,6.232883,0.023426,5.847431,0.041055,6.773297,0.037818
24,6.269225,0.019513,514.070000,5.165354,180.590000,4.440589,205.340000,3.570329,318.810000,7.341757,2.885000,1.048075,315.925000,7.322781,9.688875,0.092406,6.089244,0.019326,6.235129,0.022765,5.823096,0.040820,6.770258,0.038016
25,6.284044,0.018805,514.655000,5.533201,178.590000,4.655679,206.755000,3.543901,315.280000,7.082150,2.170000,0.941021,313.110000,6.939164,9.812468,0.093905,6.098337,0.018849,6.245244,0.022481,5.876465,0.039550,6.754919,0.034310
26,6.258150,0.019901,509.105000,5.496109,182.495000,4.499813,208.400000,3.769956,315.570000,7.236631,3.125000,1.133703,312.445000,7.077086,9.679227,0.093020,6.078093,0.020327,6.227835,0.023149,5.811872,0.043092,6.754530,0.036541
27,6.271434,0.019038,511.650000,5.969986,181.875000,4.742886,206.475000,3.982099,316.080000,7.652107,2.160000,0.934364,313.920000,7.599808,9.758553,0.099058,6.087901,0.019173,6.229370,0.023488,5.836521,0.038680,6.785155,0.035492
28,6.263455,0.018141,514.190000,5.803955,179.570000,4.775732,206.240000,3.597739,319.865000,6.601229,2.595000,1.015228,317.270000,6.559116,9.684467,0.094299,6.083402,0.018186,6.225673,0.022920,5.823629,0.041137,6.773274,0.034090
29,6.260582,0.020730,511.420000,5.986594,183.095000,4.591115,205.485000,3.910385,323.075000,6.886064,2.950000,1.071804,320.125000,6.747570,9.721306,0.107792,6.078439,0.020365,6.232774,0.024659,5.799277,0.045895,6.776970,0.038319
30,6.260648,0.019285,512.410000,5.793798,182.955000,4.710445,204.635000,3.546615,322.795000,7.086675,2.635000,1.024133,320.160000,6.921834,9.744017,0.095001,6.077313,0.018999,6.225179,0.024697,5.824499,0.041764,6.772975,0.037192
31,6.269863,0.019196,510.945000,5.718659,180.565000,4.669020,208.490000,3.802028,312.545000,7.770697,2.710000,1.033460,309.835000,7.623146,9.762483,0.101851,6.086040,0.018933,6.237857,0.023448,5.849875,0.044006,6.746509,0.039164
32,6.262660,0.019720,512.850000,5.773948,182.940000,4.629909,204.210000,3.534167,315.585000,7.168227,2.665000,1.014579,312.920000,7.078049,9.663867,0.097526,6.083649,0.019291,6.220917,0.023719,5.828605,0.044763,6.785025,0.035953
33,6.277056,0.019722,512.960000,6.076140,182.220000,4.775361,204.820000,3.890533,316.400000,6.895338,4.815000,1.320527,311.585000,6.820904,9.639129,0.102726,6.100105,0.019317,6.241629,0.023588,5.832692,0.042203,6.794550,0.037489
34,6.272187,0.019693,509.730000,5.560957,184.345000,4.424440,205.925000,3.888006,316.565000,6.500727,2.920000,1.084126,313.645000,6.402287,9.704547,0.100285,6.091536,0.019391,6.235676,0.024397,5.821972,0.044535,6.791371,0.035051
35,6.259594,0.021627,512.545000,5.696447,183.760000,4.851682,203.695000,3.771471,324.845000,7.971046,4.515000,1.275986,320.330000,7.765681,9.681436,0.109331,6.079497,0.020939,6.215893,0.026045,5.835025,0.044225,6.788758,0.037489
36,6.258292,0.019589,512.320000,5.324490,182.455000,4.386475,205.225000,3.858688,323.475000,7.564438,2.355000,0.967600,321.120000,7.520641,9.811638,0.096128,6.071273,0.019700,6.219115,0.024114,5.834482,0.039465,6.763326,0.040198
37,6.262836,0.020142,510.135000,5.315489,182.260000,4.473422,207.605000,3.819250,326.900000,7.143323,2.880000,1.093893,324.020000,7.041580,9.733924,0.102982,6.080147,0.020052,6.234929,0.022821,5.818454,0.046601,6.755193,0.039638
38,6.261079,0.020783,508.670000,5.556102,181.950000,4.407679,209.380000,3.694558,319.020000,6.823559,2.985000,1.086537,316.035000,6.622305,9.665373,0.100514,6.081906,0.020517,6.220092,0.025213,5.859144,0.044232,6.744244,0.038240
39,6.261036,0.019373,513.180000,5.944613,181.645000,4.446991,205.175000,3.786471,326.540000,7.512606,2.845000,1.084992,323.695000,7.277963,9.706090,0.102311,6.079718,0.019049,6.215862,0.022291,5.833177,0.044221,6.780648,0.037732
40,6.274438,0.018556,505.150000,5.727303,185.080000,4.672404,209.770000,3.635251,319.420000,7.477894,2.750000,1.043421,316.670000,7.431343,9.787171,0.088835,6.089557,0.018492,6.247752,0.022781,5.840779,0.043525,6.745974,0.033820
41,6.232612,0.020682,507.835000,5.550934,185.980000,4.660130,206.185000,3.605480,333.665000,7.216780,3.270000,1.141574,330.395000,7.095055,9.655588,0.100086,6.052455,0.020819,6.193600,0.026040,5.793944,0.041816,6.754833,0.037836
42,6.248408,0.019298,508.290000,5.539861,186.680000,4.284688,205.030000,3.732102,325.290000,7.765787,3.110000,1.130195,322.180000,7.642519,9.730539,0.103664,6.065138,0.018998,6.205811,0.023550,5.832010,0.042247,6.765693,0.037124
43,6.276109,0.018325,513.855000,5.930627,178.650000,4.542825,207.495000,3.941658,321.865000,6.652587,3.205000,1.116058,318.660000,6.675164,9.723339,0.100918,6.094676,0.018214,6.231973,0.022259,5.890223,0.043708,6.754177,0.040458
44,6.260832,0.018819,510.325000,5.502209,183.450000,4.548155,206.225000,4.096100,321.180000,6.969200,2.800000,1.063328,318.380000,6.868361,9.695734,0.105526,6.080048,0.017648,6.231739,0.023286,5.806358,0.039744,6.771843,0.038988
45,6.295572,0.018184,521.950000,5.656180,175.730000,4.574099,202.320000,3.611757,317.235000,6.841740,3.365000,1.145749,313.870000,6.852782,9.712544,0.100117,6.115731,0.017946,6.251428,0.023209,5.879401,0.035236,6.801319,0.038754
46,6.262942,0.020601,513.575000,5.666762,181.720000,4.549649,204.705000,3.900964,316.805000,6.963089,3.195000,1.092493,313.610000,6.886819,9.676532,0.092905,6.083279,0.020296,6.242990,0.025198,5.803867,0.044627,6.755006,0.035528
47,6.261025,0.020848,512.580000,6.268527,183.670000,4.867530,203.750000,3.998422,317.545000,8.109531,2.930000,1.065188,314.615000,7.935518,9.684481,0.099380,6.080843,0.021033,6.220702,0.025456,5.847960,0.045173,6.771652,0.039457
48,6.282943,0.017953,516.770000,5.607505,180.665000,4.525188,202.565000,3.602494,316.930000,7.095403,2.380000,1.000813,314.550000,7.014054,9.739330,0.097168,6.101028,0.018161,6.243026,0.020985,5.879778,0.044751,6.768751,0.031468
49,6.262123,0.018519,513.100000,5.594482,181.425000,4.304729,205.475000,3.768418,318.705000,7.448166,2.295000,0.964493,316.410000,7.328740,9.685334,0.096252,6.081955,0.018771,6.231172,0.022498,5.830529,0.043665,6.748499,0.037489
50,6.264638,0.019558,515.165000,6.252900,177.555000,4.763716,207.280000,3.964370,323.030000,7.123201,2.735000,1.016689,320.295000,7.087581,9.712268,0.090930,6.083183,0.019994,6.231543,0.022901,5.835907,0.041415,6.752503,0.038850
51,6.286642,0.020181,516.210000,5.306746,178.075000,4.159225,205.715000,3.638666,311.570000,7.404035,2.680000,1.019370,308.890000,7.252942,9.730367,0.097574,6.105394,0.020019,6.255995,0.025253,5.831734,0.040377,6.784092,0.036877
52,6.255342,0.020276,511.865000,5.734174,183.040000,4.640845,205.095000,3.453078,318.405000,7.404929,2.885000,1.069769,315.520000,7.265842,9.647376,0.099625,6.076814,0.020804,6.229185,0.023950,5.791260,0.041413,6.762440,0.037427
53,6.274895,0.019332,508.360000,5.580507,183.400000,4.766456,208.240000,3.561445,314.130000,7.299762,3.470000,1.134552,310.660000,7.261171,9.697603,0.101467,6.094752,0.019391,6.248632,0.021129,5.848230,0.044641,6.741430,0.037637
