step,avg_utility_mean,avg_utility_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_direct_mean,utility_direct_ci
75,5.855600,0.081969,300.000000,0.000000,158.370000,8.417415,5.855600,0.081969
76,5.370350,0.027963,300.000000,0.000000,156.640000,8.355422,5.370350,0.027963
77,5.854183,0.082552,300.000000,0.000000,156.830000,8.312489,5.854183,0.082552
78,5.374183,0.027954,300.000000,0.000000,155.495000,8.310095,5.374183,0.027954
79,5.856050,0.081999,300.000000,0.000000,155.030000,8.236172,5.856050,0.081999
80,5.386833,0.028978,300.000000,0.000000,155.675000,8.331775,5.386833,0.028978
81,5.850017,0.082528,300.000000,0.000000,157.525000,8.360167,5.850017,0.082528
82,5.375350,0.029169,300.000000,0.000000,156.725000,8.352209,5.375350,0.029169
83,5.847367,0.082309,300.000000,0.000000,157.430000,8.313724,5.847367,0.082309
84,5.379283,0.029099,300.000000,0.000000,158.585000,8.341666,5.379283,0.029099
85,5.831750,0.082013,300.000000,0.000000,159.515000,8.373999,5.831750,0.082013
86,5.379833,0.029180,300.000000,0.000000,157.075000,8.261903,5.379833,0.029180
87,5.836317,0.081542,300.000000,0.000000,157.865000,8.287132,5.836317,0.081542
88,5.390800,0.029442,300.000000,0.000000,158.200000,8.276588,5.390800,0.029442
89,5.826900,0.081227,300.000000,0.000000,159.065000,8.329227,5.826900,0.081227
90,5.391900,0.029798,300.000000,0.000000,155.890000,8.171932,5.391900,0.029798
91,5.833833,0.080908,300.000000,0.000000,156.915000,8.142575,5.833833,0.080908
92,5.397550,0.029219,300.000000,0.000000,154.610000,8.126735,5.397550,0.029219
93,5.840983,0.080996,300.000000,0.000000,155.320000,8.148666,5.840983,0.080996
94,5.402467,0.029912,300.000000,0.000000,153.850000,8.070360,5.402467,0.029912
95,5.836133,0.081115,300.000000,0.000000,157.725000,8.258923,5.836133,0.081115
96,5.393967,0.028655,300.000000,0.000000,157.810000,8.242586,5.393967,0.028655
97,5.826717,0.081255,300.000000,0.000000,159.335000,8.279984,5.826717,0.081255
98,5.396083,0.028471,300.000000,0.000000,158.890000,8.271417,5.396083,0.028471
99,5.814433,0.081422,300.000000,0.000000,159.775000,8.298465,5.814433,0.081422
100,5.397350,0.029385,300.000000,0.000000,157.685000,8.212684,5.397350,0.029385
