Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.717930,0.116784,6.685559,6.750300,6.698111,6.420251,6.953333,50
avg_utility_extremist,10.225327,0.663209,10.041495,10.409159,10.141918,8.803137,11.683489,50
avg_utility_mainstream,6.098977,0.133098,6.062084,6.135870,6.120771,5.851715,6.384938,50
avg_utility_gov_algorithmic,6.310092,0.165770,6.264143,6.356041,6.306394,5.797222,6.685945,50
avg_utility_gov_coalition,6.313766,0.282886,6.235354,6.392178,6.300051,5.730323,6.927768,50
avg_utility_gov_direct,10.272673,0.540793,10.122773,10.422574,10.353868,9.027211,11.483898,50
avg_utility_extremist_algorithmic,7.710739,1.480952,7.278036,8.143443,7.428571,4.588235,14.090909,45
avg_utility_extremist_direct,12.868649,0.556453,12.714408,13.022890,12.878421,11.377551,13.854143,50
avg_utility_mainstream_algorithmic,6.204131,0.143168,6.164447,6.243816,6.208721,5.859756,6.500656,50
avg_utility_mainstream_coalition,6.147460,0.215770,6.087651,6.207268,6.182966,5.670762,6.601852,50
avg_utility_mainstream_direct,3.393018,0.821040,3.165437,3.620599,3.325897,1.808229,6.507937,50
norm_utility_extremist,0.511266,0.033160,0.502075,0.520458,0.507096,0.440157,0.584174,50
norm_utility_mainstream,0.609898,0.013310,0.606208,0.613587,0.612077,0.585172,0.638494,50
total_relocations,68281.980000,563.568024,68125.766914,68438.193086,68265.500000,67038.000000,69880.000000,50
avg_relocations_per_community,75.868867,0.626187,75.695297,76.042437,75.850556,74.486667,77.644444,50
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50
final_count_algorithmic,646.100000,32.553410,637.076655,655.123345,649.000000,556.000000,700.000000,50
final_proportion_algorithmic,0.717889,0.036170,0.707863,0.727915,0.721111,0.617778,0.777778,50
final_count_coalition,161.020000,30.398369,152.594002,169.445998,157.000000,108.000000,250.000000,50
final_proportion_coalition,0.178911,0.033776,0.169549,0.188273,0.174444,0.120000,0.277778,50
final_count_direct,92.880000,8.851703,90.426433,95.333567,94.000000,78.000000,116.000000,50
final_proportion_direct,0.103200,0.009835,0.100474,0.105926,0.104444,0.086667,0.128889,50
final_count_extremist_algorithmic,52.480000,23.345882,46.008852,58.951148,62.000000,0.000000,78.000000,50
final_count_extremist_coalition,15.320000,22.599837,9.055645,21.584355,3.000000,0.000000,74.000000,50
final_count_extremist_direct,67.200000,5.746339,65.607196,68.792804,68.000000,55.000000,81.000000,50
final_count_mainstream_algorithmic,593.620000,22.901644,587.271988,599.968012,590.500000,518.000000,638.000000,50
final_count_mainstream_coalition,145.700000,20.390324,140.048091,151.351909,146.000000,108.000000,211.000000,50
final_count_mainstream_direct,25.680000,6.671413,23.830779,27.529221,26.000000,14.000000,39.000000,50
avg_utility_extremist_coalition,10.798287,3.416061,9.666544,11.930029,10.444046,4.755514,16.000000,35
convergence_settling_step,99.540000,,,,,,,
burst_rate,0.637778,,,,,,,
burst_size_median,31.000000,,,,,,,
escalation_mean_slope,0.764415,,,,,,,
escalation_p_value,0.008369,,,,,,,
displacement_util_delta_mean,0.044879,,,,,,,
displacement_frac_negative,0.000000,,,,,,,
enclave_mean_homogeneity,0.958080,,,,,,,
enclave_settling_step,23.069722,,,,,,,
convergence_pattern_mode,STILL_CLIMBING,,,,,,,
