step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.576712,0.019201,583.440000,5.175127,158.060000,4.202019,158.500000,4.025481,738.120000,1.934749,10.420000,1.573082,727.700000,1.553180,12.589455,0.079523,4.339169,0.024393,4.858106,0.035438,6.885861,0.085327,6.950056,0.092462
2,6.182439,0.030343,634.720000,6.790572,179.620000,5.681141,85.660000,4.319851,717.160000,5.222840,32.640000,3.437853,684.520000,4.280701,11.576348,0.115236,5.230573,0.033423,5.693163,0.038922,6.754550,0.088142,8.716826,0.196603
3,6.548107,0.027990,640.100000,6.894655,178.640000,6.058817,81.260000,4.266968,696.360000,4.810384,28.380000,3.761971,667.980000,3.805318,11.322324,0.113946,5.705598,0.031853,6.085157,0.039709,7.168602,0.081504,8.930273,0.237552
4,6.579439,0.034901,647.060000,8.138981,174.380000,7.128052,78.560000,3.551548,695.180000,6.395703,27.940000,4.977518,667.240000,4.402882,11.463729,0.170218,5.717506,0.037739,6.051995,0.034751,7.187253,0.081421,9.647682,0.212183
5,6.646393,0.038059,642.240000,6.110562,177.620000,5.736076,80.140000,3.371186,687.660000,7.856305,26.100000,5.718379,661.560000,5.514553,11.477989,0.164251,5.793759,0.043911,6.110259,0.052544,7.201988,0.088362,9.743817,0.182877
6,6.627194,0.026927,643.720000,7.735512,172.420000,6.686337,83.860000,3.351594,682.220000,7.729276,23.580000,5.612611,658.640000,4.468702,11.324593,0.124062,5.798241,0.035590,6.110501,0.042438,7.081596,0.089425,9.695260,0.187193
7,6.641606,0.032436,643.940000,7.717729,175.440000,6.464098,80.620000,2.991621,693.400000,6.972843,30.020000,5.559390,663.380000,4.664800,11.254594,0.169337,5.827550,0.037888,6.100752,0.045465,7.000085,0.093703,10.219261,0.145854
8,6.624405,0.037323,646.360000,6.998378,169.500000,6.052211,84.140000,3.651617,688.180000,8.149816,28.140000,5.604481,660.040000,5.102752,11.120424,0.122822,5.830990,0.042307,6.149530,0.050909,6.867455,0.079713,9.828791,0.145295
9,6.669745,0.037089,650.260000,7.610606,165.020000,6.193886,84.720000,3.759949,683.000000,6.746083,28.280000,6.261752,654.720000,4.964785,11.012909,0.176192,5.903304,0.037752,6.192421,0.051083,6.870549,0.081488,9.948210,0.184718
10,6.667992,0.033737,650.640000,7.287698,164.560000,6.307440,84.800000,2.735415,688.920000,7.602160,33.240000,6.220428,655.680000,4.206879,10.918245,0.153212,5.917948,0.034780,6.194183,0.044587,6.835080,0.078324,9.976783,0.156580
11,6.673138,0.027563,651.760000,6.952702,162.880000,6.044016,85.360000,2.978421,682.600000,8.249885,29.380000,6.774355,653.220000,4.662917,10.873796,0.174999,5.931845,0.030996,6.210630,0.036948,6.789094,0.092218,10.036989,0.179604
12,6.698292,0.028433,648.180000,7.963958,166.040000,7.363725,85.780000,2.582863,689.400000,7.365011,35.920000,6.467658,653.480000,4.977779,10.870898,0.146725,5.961949,0.035469,6.221873,0.041344,6.836156,0.069210,10.046154,0.150925
13,6.709496,0.029997,647.920000,7.357309,164.800000,6.557980,87.280000,2.896905,683.820000,8.514521,29.400000,6.913676,654.420000,4.768258,10.896705,0.177488,5.970577,0.033670,6.228263,0.045734,6.870954,0.096431,9.987191,0.135380
14,6.669437,0.031456,639.440000,8.782750,171.840000,7.951282,88.720000,2.495012,684.660000,7.806450,35.060000,6.829339,649.600000,4.104460,10.756096,0.153091,5.948261,0.034368,6.196840,0.039712,6.737978,0.085369,9.953885,0.176346
15,6.670574,0.034074,646.080000,8.707566,165.700000,8.112900,88.220000,2.707929,686.780000,9.248700,36.860000,6.839113,649.920000,5.443488,10.727975,0.154618,5.954562,0.037835,6.179396,0.044095,6.755859,0.107330,10.107807,0.140910
