iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.576715,5.501040,16.257790,0.550104,0.812889,45115,50.127778,100
1,43,5.960303,5.022175,14.403456,0.502217,0.720173,44438,49.375556,100
2,44,6.407778,5.779419,12.063008,0.577942,0.603150,43166,47.962222,100
3,45,6.307893,5.291499,15.455445,0.529150,0.772772,44660,49.622222,100
4,46,6.079110,5.120593,14.705758,0.512059,0.735288,42965,47.738889,100
5,47,6.428068,5.512591,14.667357,0.551259,0.733368,43933,48.814444,100
6,48,5.995397,5.139722,13.696468,0.513972,0.684823,45369,50.410000,100
7,49,5.990113,5.063090,14.333317,0.506309,0.716666,43632,48.480000,100
8,50,5.973480,5.165214,13.247873,0.516521,0.662394,43075,47.861111,100
9,51,6.268889,5.688194,11.495147,0.568819,0.574757,43742,48.602222,100
10,52,6.360000,5.682833,12.454501,0.568283,0.622725,42423,47.136667,100
11,53,5.969648,4.900318,15.593612,0.490032,0.779681,46230,51.366667,100
12,54,6.172222,5.519459,12.047090,0.551946,0.602354,42210,46.900000,100
13,55,6.137359,5.084827,15.610141,0.508483,0.780507,45116,50.128889,100
14,56,6.445556,5.598825,14.066131,0.559882,0.703307,43472,48.302222,100
15,57,6.140000,5.290681,13.783867,0.529068,0.689193,42628,47.364444,100
16,58,6.007091,5.213556,13.148903,0.521356,0.657445,43883,48.758889,100
17,59,6.198758,5.244103,14.790657,0.524410,0.739533,42697,47.441111,100
18,60,6.078337,5.123696,14.670099,0.512370,0.733505,43116,47.906667,100
19,61,6.301111,5.384530,14.550340,0.538453,0.727517,42324,47.026667,100
20,62,6.112572,5.106023,15.171509,0.510602,0.758575,46209,51.343333,100
21,63,6.497333,5.547795,15.043176,0.554780,0.752159,44498,49.442222,100
22,64,6.153150,5.308267,13.757093,0.530827,0.687855,43469,48.298889,100
23,65,6.478141,5.442842,15.795831,0.544284,0.789792,43598,48.442222,100
24,66,6.543247,5.510045,15.842066,0.551004,0.792103,44561,49.512222,100
25,67,5.893268,4.890859,14.914947,0.489086,0.745747,42629,47.365556,100
26,68,5.947732,4.902490,15.354908,0.490249,0.767745,44496,49.440000,100
27,69,6.397778,5.508196,14.404012,0.550820,0.720201,40789,45.321111,100
28,70,6.138751,5.165112,14.901503,0.516511,0.745075,45480,50.533333,100
29,71,6.190000,5.385458,13.430880,0.538546,0.671544,43714,48.571111,100
30,72,6.262192,5.327623,14.673319,0.532762,0.733666,42756,47.506667,100
31,73,6.218889,5.485868,12.816081,0.548587,0.640804,43377,48.196667,100
32,74,6.271684,5.309963,14.927170,0.530996,0.746359,44009,48.898889,100
33,75,6.102125,5.220387,14.037764,0.522039,0.701888,44423,49.358889,100
