step,platform_901_homogeneity,platform_902_homogeneity,platform_903_homogeneity,platform_904_homogeneity,platform_905_homogeneity,platform_906_homogeneity,platform_907_homogeneity,platform_908_homogeneity,platform_909_homogeneity,platform_910_homogeneity,platform_911_homogeneity,platform_912_homogeneity,platform_913_homogeneity,platform_914_homogeneity,platform_915_homogeneity,platform_916_homogeneity,platform_917_homogeneity,platform_918_homogeneity,platform_919_homogeneity,platform_920_homogeneity,platform_921_homogeneity,platform_922_homogeneity,platform_923_homogeneity,platform_924_homogeneity,platform_925_homogeneity,platform_926_homogeneity,platform_927_homogeneity
0,0.8053436090421938,0.8093158153987031,0.7866474941180823,0.8383222288464224,0.8292027303777938,0.8155697146478535,0.8237157481377905,0.8203460152886694,0.8085708626885098,0.8061760977377223,0.8079090496512988,0.8045298931652738,0.8326928812501568,0.8224086780665727,0.8045355632845813,0.7789545027412675,0.8170188425677242,0.8324698997781875,0.7974169996228819,0.8413639184130989,0.8228494370731593,0.8226847071982819,0.8118189032341057,0.8195618773927598,0.8144781987117959,0.794050394050394,0.8343234283978228
1,0.8199213742107662,0.8030363407896477,0.7621070509011686,0.8379056832899336,0.7997708375573158,0.7622704670707305,0.8235301349865122,0.8085352642505048,0.8609443042337779,0.8549620897991824,0.8063458080507747,0.7690898466201235,0.8050007215007214,0.8399805782023275,0.8455678576617996,0.7888098244348244,0.7898109600056574,0.8023586501218081,0.7889026778732661,0.7878400729774885,0.7831977950238191,0.8224753307606367,0.8093934199788014,0.8303525525400526,0.8190253496503496,0.7702231480640571,0.8037712884052348
2,0.7778819618804489,0.8557613472386201,0.8209334868676479,0.8395665007507113,0.8381311783926858,0.8294874659172097,0.841367302778443,0.8422484922484923,0.8037269030419185,0.8334445463413718,0.824169794436523,0.8064637803147656,0.8407579827579826,0.8252606796542724,0.8491254780341064,0.795090902389664,0.8520607355683991,0.8092307958418937,0.8075849392025862,0.8230078664504894,0.8113381362421855,0.8164649239649241,0.832024638559635,0.8679809567128969,0.872446043223965,0.8057808865597916,0.8095244587906691
3,0.8390405935721947,0.8251024937733353,0.8356170278329222,0.8117664162518353,0.8023489610507542,0.8305512170400576,0.8531935438396384,0.8267316164636556,0.8200030824295529,0.8698174296231941,0.8079880892398605,0.8490445005534579,0.8421902321095869,0.8181368944236591,0.8567330230250131,0.8227072448105729,0.8355604757300776,0.8492000508290101,0.8538598074588787,0.8471850165799057,0.8699010441420036,0.8775346510369136,0.8513833994360699,0.8442329295947718,0.8621061811866171,0.8219781774987434,0.8596572216609549
4,0.8554240986162167,0.826273715209122,0.8362067776875961,0.8561380336404054,0.8331811217803041,0.843503528454336,0.8363745089154925,0.8567194723478145,0.8769408503561648,0.8611668434737135,0.8736108326575548,0.8471547207598247,0.8195319263744716,0.8611712897239213,0.8870212783825833,0.8253284857317116,0.8658836631120809,0.8473258866300377,0.8440516679512508,0.8840693459545919,0.8761274464033023,0.871238395804986,0.8607389760311839,0.857943535686236,0.8899234471257649,0.8430825972915222,0.8591214862001149
5,0.8363557719124945,0.8937994490859602,0.8314471235180617,0.8502697300926018,0.8441218846126868,0.8626018341381742,0.8577129466258026,0.8617255631342097,0.8884445646945648,0.8764532195697584,0.8795416424647791,0.8807899331061095,0.871152782909547,0.8682111088977786,0.8798957904712029,0.8457483493745105,0.8706233478180948,0.8585756563697741,0.881684924576801,0.8612848880187775,0.9035477093609103,0.8381216006216007,0.8563377523974788,0.8898839858398683,0.8557853758794458,0.8666662601306523,0.8403553908681618
6,0.8594686831097711,0.8762478096127658,0.8843787354352571,0.8852863266518728,0.8624543198459604,0.9061535373205086,0.8968431426022302,0.8899589311423616,0.8570153157919385,0.8883935578118819,0.8724072140890557,0.8712661554361756,0.8712405001847704,0.8906545565001448,0.8984846917695547,0.8803318750216218,0.8947577702874682,0.8901364958417384,0.8833958597116491,0.9043623766140642,0.8950725396964547,0.8518172852788237,0.8660831948849163,0.9106943495723949,0.8919254466624378,0.9099204410948007,0.8880048780974495
7,0.9067405828135747,0.8836377887958916,0.9189053343361911,0.8911232926887575,0.8844499867686867,0.9116373476251717,0.8827459358920303,0.8798035216656916,0.8975552796876326,0.8640362136393883,0.8983037791351419,0.8852933218742042,0.900647068730233,0.8846414441538281,0.8662862972138026,0.8622625635983479,0.9286490363877589,0.8981985561936147,0.904646491894944,0.892124590292382,0.8804130309188499,0.872569510261818,0.8907513488104921,0.9041349219866732,0.8930916305916305,0.89388378753352,0.8629627018364807
8,0.9023650952222381,0.9130341852383238,0.9086510795470487,0.8873001668898254,0.9093673284958183,0.92137058266956,0.8772381686316112,0.9282754183823703,0.9154225367712211,0.8767849414539713,0.8912876538601476,0.9016332612400387,0.9067137000456711,0.8903625574161289,0.891427531923581,0.8497413234913235,0.9176781171585735,0.8682171009475804,0.8868310655075362,0.8966743998382118,0.9024750323520815,0.9174553011091472,0.8510650396496946,0.8969470291167987,0.9096993284493284,0.8907880672928173,0.8985400867997734
9,0.9015240284826624,0.910396697858819,0.8985231289231289,0.9204023165255736,0.9163604036747764,0.8893525886493965,0.8933048205899925,0.9199364042871256,0.8874726482507399,0.8959311638223202,0.8899904998989456,0.9076730660948291,0.8977623857623857,0.8991444203944204,0.87260444519379,0.8767229132744561,0.9089713125240283,0.9063353877214544,0.9001472256916904,0.8753713458625366,0.920520750482181,0.8811799958579973,0.8934737115160547,0.9051826662333909,0.85549265967818,0.9185034736505325,0.8955036708839954
