relative_step,algorithmic_count_mean,algorithmic_count_se,algorithmic_count_std,algorithmic_util_mean,algorithmic_util_se,algorithmic_util_std,coalition_count_mean,coalition_count_se,coalition_count_std,coalition_util_mean,coalition_util_se,coalition_util_std,direct_count_mean,direct_count_se,direct_count_std,direct_util_mean,direct_util_se,direct_util_std,extremist_util_mean,extremist_util_se,extremist_util_std,mainstream_util_mean,mainstream_util_se,mainstream_util_std
-8,643.3249913198392,0.5225441762353518,29.2631853151931,6.2510419162369715,0.0025661048430210913,0.22888842521369718,165.62811562662023,0.37792977072076284,28.04308467812311,6.5604776373399565,0.005533443250614251,0.3768646907418908,91.04689305354049,0.47023755758935026,10.26043938891943,10.04984425372677,0.006764193866924109,0.6512139812501675,10.542826567173492,0.017922757573729502,0.6743440649388708,6.013566293821665,0.002879297616614627,0.235306699889165
-7,643.1408579952221,0.5299607034754517,29.583653088823926,6.24980131458912,0.002505451876375637,0.23202119534564808,165.660527716489,0.3747087516188006,28.110211598503593,6.558577419634487,0.0053154783525542135,0.377111491042075,91.19861428828894,0.4813161499024211,10.535560436516636,10.04189325785215,0.006792238843536294,0.6572209452634645,10.537935440304572,0.01792779166858433,0.683140510281263,6.012742012109384,0.002793730659294379,0.2411806276876813
-6,643.2995827072896,0.5274978797465295,29.281493117967567,6.251244241624078,0.0024918205769366964,0.22998478913030798,165.63611883974474,0.3606477648567813,28.17060572753283,6.551564239129314,0.0055750215979563575,0.3746923782136864,91.06429845296574,0.47252782423407186,10.10504555433956,10.052278896338821,0.006711530963447981,0.6462821084046315,10.534422323146309,0.017656364223180895,0.6756678571153847,6.014159270228811,0.002804569627808484,0.23587878749147112
-5,643.4739780956631,0.5408294365650913,29.43751874098487,6.251132185866352,0.0025406892889121256,0.2330248563731439,165.280640603704,0.3906777265606386,28.140211936915353,6.554324424787594,0.005434568347295365,0.37777228266634283,91.24538130063293,0.47417431362208995,10.391868455700928,10.044051173840904,0.00639598307818118,0.6549839362588833,10.534829355231254,0.017986921101447933,0.6788535076162361,6.013962357423147,0.002844089597943819,0.24063904195227173
-4,643.6335275063205,0.5233207674472643,29.26989755318149,6.254091003938136,0.002473156706093193,0.2295270332657558,165.1781680962214,0.3704411218315661,28.17374364503719,6.550331038288307,0.005257776722300524,0.37529727003179064,91.18830439745807,0.47293813901265735,10.039422076419344,10.050724432998088,0.006165798384928738,0.6432549020404198,10.528620490054731,0.01790916197231435,0.6790751307442426,6.017434632485683,0.002828741632611521,0.23537276714739
-3,643.9038997308037,0.5130169712389094,29.045523892003356,6.256322017943482,0.0024834658492627684,0.22752029040169489,164.8645737697181,0.35710197032147545,27.833116760623138,6.546422733721522,0.004910468975090086,0.3709550458763339,91.23152649947811,0.4739290889401137,10.058591706014457,10.050970687872761,0.006437692031583502,0.6479264769417254,10.528287030426432,0.017141087836597933,0.6735122999171423,6.01829195018304,0.002725720876259509,0.2340690954044851
-2,644.1988150089956,0.5027367346637235,28.580824144424458,6.2555336549825435,0.002488960295797323,0.22200705714562283,164.585211496729,0.3651532751438997,27.440595570451155,6.541258517015904,0.005231296550350774,0.37077151092981203,91.21597349427546,0.4715179451114675,9.761837937172158,10.05281041256123,0.006246316502511174,0.63409244284161,10.510812646814161,0.018004177467080367,0.6729365168074857,6.0197908777078,0.0028018716616325613,0.22607631732952363
-1,645.5322768995919,0.48471021661839764,27.87256135466674,6.259998314877435,0.0023230965357211347,0.21326821940575155,163.37199911112484,0.3139845134951407,26.737284858477903,6.5380267674817505,0.005062331079742669,0.36933672343959073,91.0957239892833,0.47420014069733607,9.376294461754842,10.067824872006181,0.006237758583012852,0.623154104175098,10.504614472081055,0.017293166952350166,0.6681341945375803,6.024523432114861,0.002704352502396959,0.21536208255877462
0,647.5054904864598,0.47049014318199217,25.92282706577367,6.272791238220574,0.0022015895490691967,0.19368276986413552,161.5716810703078,0.28026378923592116,25.098709825342112,6.519776178616814,0.005001730879786881,0.36247738809758845,90.92282844323236,0.47186877250475184,8.281097016163958,10.074807343298795,0.006108250324143469,0.5825682354471272,10.507332580581194,0.017592755401652206,0.6422428279181795,6.030593857671849,0.0026518113140445313,0.18629862418254933
1,646.8096264360248,0.4886695503660728,28.023464263628174,6.260642969390742,0.001956118918263029,0.162783637693782,162.30966876673443,0.316012286526915,27.52683468795549,6.476314656706801,0.0051561819038148755,0.3419525731651174,90.88070479724068,0.4814037766916558,7.681191868380802,10.09688797487636,0.005924276479845911,0.5630833128312213,10.319525360550932,0.017370098673920767,0.5972335136376793,6.045193232939207,0.0024500973784504364,0.1600061472398344
2,644.7562562624339,0.5290714752092569,28.54700741271963,6.283137417729486,0.0023042874701886895,0.1800687890736693,164.36762884868324,0.36705475811143473,27.982024031334078,6.521496716563856,0.004916274759638969,0.3651367461914805,90.87611488888295,0.48239720943976205,7.405444614281716,10.108190023459406,0.005815706090731412,0.545267582715053,10.511036206621116,0.01845397020103562,0.6224573240296437,6.045108332800643,0.0026833767098940896,0.1523932765157438
3,644.6610880726445,0.5363627645559593,28.833177647184613,6.280601453186382,0.0022999364617925307,0.175777228496664,164.39650464917807,0.38378147296123155,28.26719589833142,6.519993321157151,0.005140199181298311,0.35566416078015467,90.94240727817747,0.47850249800932765,7.2632716385410525,10.11251014434545,0.005596838037030758,0.5418046306290617,10.44556732894122,0.017815170067857874,0.6277882779770088,6.054867246721251,0.002632456398897496,0.15187018213881703
4,644.3342943426161,0.5347970445810677,28.91578964321062,6.281468854330058,0.002421565125102637,0.17672990285874474,164.57761479787536,0.3756346193389969,28.29152674548219,6.514784226746883,0.005321247666968673,0.35455665915882023,91.0880908595086,0.47149952435384007,7.174610778051053,10.111820870260127,0.006012345593080484,0.5391749389936581,10.453614593619298,0.01823701604974518,0.6153629371564471,6.053968749319591,0.002587092596030527,0.15028797879502576
5,644.2738276069919,0.5386838829342164,28.946454616342102,6.283618759207951,0.0024374160359286624,0.17547086556788585,164.42650631124897,0.3952362863260278,28.37113408119434,6.508321387644172,0.00528943727555565,0.34877421357177296,91.29966608175928,0.47365925473947446,7.098106225798463,10.109611607503455,0.005630568081225803,0.5421703725253331,10.440865474643292,0.017651196074775923,0.6132098575948265,6.057213353976647,0.00266599184683513,0.14839682053348785
6,644.5048125832105,0.5347889280140408,29.160820865390964,6.28384017424682,0.0024300362894403627,0.17601410117067431,164.19488676377995,0.3832929095625449,28.53186789060247,6.504591551307094,0.005386216619842877,0.35012189775863267,91.30030065300951,0.47625206258983244,7.047870539202871,10.120563777209389,0.00591269573474019,0.5362354083523649,10.437008655499213,0.01767251522937883,0.6125603092124592,6.058805461444122,0.002695257842441215,0.14683381552711258
