iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.682222,6.358566,9.595132,0.635857,0.639675,70527,78.363333,100
1,43,6.515917,6.249812,8.910863,0.624981,0.594058,70186,77.984444,100
2,44,6.745175,6.439179,9.499142,0.643918,0.633276,69469,77.187778,100
3,45,6.747407,6.355038,10.278733,0.635504,0.685249,70085,77.872222,100
4,46,6.604444,6.220115,10.063412,0.622011,0.670894,70729,78.587778,100
5,47,6.703333,6.342355,9.952137,0.634236,0.663476,71216,79.128889,100
6,48,6.564681,6.254154,9.359427,0.625415,0.623962,70673,78.525556,100
7,49,6.683333,6.339839,9.774784,0.633984,0.651652,70913,78.792222,100
8,50,6.672222,6.326955,9.779630,0.632695,0.651975,70558,78.397778,100
9,51,6.665171,6.370815,9.314374,0.637082,0.620958,70823,78.692222,100
10,52,6.662222,6.343125,9.534095,0.634313,0.635606,70678,78.531111,100
11,53,6.515556,6.244301,8.956847,0.624430,0.597123,70931,78.812222,100
12,54,6.663333,6.277099,10.139444,0.627710,0.675963,70070,77.855556,100
13,55,6.598323,6.230153,9.911854,0.623015,0.660790,70555,78.394444,100
14,56,6.616825,6.205890,10.315247,0.620589,0.687683,70608,78.453333,100
15,57,6.691111,6.380466,9.486917,0.638047,0.632461,70860,78.733333,100
16,58,6.814444,6.423899,10.329354,0.642390,0.688624,70651,78.501111,100
17,59,6.551510,6.150295,10.162445,0.615029,0.677496,71276,79.195556,100
18,60,6.751111,6.504336,8.972090,0.650434,0.598139,70719,78.576667,100
19,61,6.651667,6.270888,10.078676,0.627089,0.671912,70494,78.326667,100
20,62,6.657222,6.366697,9.271946,0.636670,0.618130,70735,78.594444,100
21,63,6.634981,6.237765,10.209927,0.623776,0.680662,69964,77.737778,100
22,64,6.528529,6.210460,9.391149,0.621046,0.626077,71349,79.276667,100
23,65,6.578651,6.264150,9.409156,0.626415,0.627277,71791,79.767778,100
24,66,6.746647,6.499375,8.972090,0.649938,0.598139,70229,78.032222,100
25,67,6.374444,6.012073,9.635784,0.601207,0.642386,70524,78.360000,100
26,68,6.651667,6.340486,9.452292,0.634049,0.630153,70745,78.605556,100
27,69,6.641111,6.338144,9.367813,0.633814,0.624521,70740,78.600000,100
28,70,6.778889,6.324802,10.865671,0.632480,0.724378,70501,78.334444,100
29,71,6.456667,6.247100,8.342769,0.624710,0.556185,69693,77.436667,100
30,72,6.628889,6.344344,9.189789,0.634434,0.612653,70032,77.813333,100
31,73,6.789339,6.322348,10.992260,0.632235,0.732817,71271,79.190000,100
32,74,6.565556,6.320694,8.769312,0.632069,0.584621,69669,77.410000,100
33,75,6.903333,6.513379,10.412919,0.651338,0.694195,70810,78.677778,100
34,76,6.650000,6.340036,9.439679,0.634004,0.629312,70750,78.611111,100
35,77,6.708519,6.432680,9.191067,0.643268,0.612738,70563,78.403333,100
36,78,6.711111,6.399366,9.516821,0.639937,0.634455,69416,77.128889,100
37,79,6.774444,6.355652,10.543573,0.635565,0.702905,70984,78.871111,100
38,80,6.472222,6.129007,9.561158,0.612901,0.637411,70055,77.838889,100
39,81,6.443939,6.147107,9.115432,0.614711,0.607695,70606,78.451111,100
40,82,6.963333,6.593803,10.289105,0.659380,0.685940,70638,78.486667,100
41,83,6.488889,6.232886,8.792914,0.623289,0.586194,71200,79.111111,100
42,84,6.593333,6.399581,8.337108,0.639958,0.555807,71794,79.771111,100
43,85,6.778889,6.460112,9.647882,0.646011,0.643192,70666,78.517778,100
44,86,6.716667,6.438172,9.223118,0.643817,0.614875,71070,78.966667,100
45,87,6.731679,6.351214,10.155863,0.635121,0.677058,70314,78.126667,100
46,88,6.590952,6.280290,9.386913,0.628029,0.625794,71063,78.958889,100
47,89,6.725556,6.358930,10.025183,0.635893,0.668346,70890,78.766667,100
48,90,6.581294,6.163622,10.340344,0.616362,0.689356,70772,78.635556,100
49,91,6.530000,6.234016,9.193853,0.623402,0.612924,71426,79.362222,100
50,92,6.666420,6.265671,10.273158,0.626567,0.684877,70641,78.490000,100
51,93,6.875556,6.584986,9.490685,0.658499,0.632712,68949,76.610000,100
52,94,6.481111,6.059188,10.278422,0.605919,0.685228,70588,78.431111,100
53,95,6.686429,6.325949,9.930749,0.632595,0.662050,71310,79.233333,100
54,96,6.560546,6.269787,9.177381,0.626979,0.611825,70681,78.534444,100
55,97,6.741457,6.427009,9.571493,0.642701,0.638100,70675,78.527778,100
56,98,6.773333,6.429012,9.872222,0.642901,0.658148,70324,78.137778,100
57,99,6.595556,6.370752,8.618783,0.637075,0.574586,71241,79.156667,100
