step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
37,6.399367,0.018615,212.160000,1.669917,54.370000,1.308723,33.470000,1.274618,197.030000,2.010319,6.353392,0.021109,6.220898,0.037552,7.044350,0.049909
38,6.387667,0.020134,212.000000,1.659164,54.630000,1.360506,33.370000,1.244998,197.920000,1.919966,6.340100,0.022987,6.223642,0.039783,7.016688,0.054071
39,6.385633,0.020772,212.210000,1.589374,54.005000,1.374074,33.785000,1.143869,197.635000,2.087959,6.341662,0.023326,6.199081,0.040954,7.004932,0.046228
40,6.406850,0.019594,211.695000,1.731259,54.170000,1.320164,34.135000,1.296152,196.620000,2.017922,6.360597,0.022262,6.228981,0.038568,7.016453,0.048375
41,6.388833,0.020614,212.280000,1.514591,54.235000,1.261225,33.485000,1.227404,197.270000,1.958015,6.338624,0.023036,6.212887,0.037076,7.048246,0.051497
42,6.381217,0.018744,212.315000,1.826084,53.855000,1.344311,33.830000,1.261924,198.455000,1.896620,6.335546,0.022301,6.186235,0.035390,7.037299,0.048890
43,6.411783,0.019493,213.250000,1.673630,54.060000,1.239974,32.690000,1.244694,195.875000,1.998378,6.366560,0.023491,6.238932,0.034524,7.045297,0.049147
44,6.386533,0.019030,212.800000,1.771589,54.415000,1.367510,32.785000,1.310976,198.940000,1.864636,6.338588,0.020356,6.223146,0.037055,7.038057,0.054633
45,6.385283,0.019820,214.845000,1.652641,53.850000,1.286290,31.305000,1.194017,198.285000,1.926491,6.341293,0.022765,6.196246,0.038104,7.068429,0.050101
46,6.394317,0.019788,213.015000,1.660297,53.400000,1.339752,33.585000,1.199749,196.810000,1.883372,6.355719,0.021603,6.193501,0.038657,6.996174,0.051401
