step,avg_utility,avg_utility_ci,n_relocations,n_relocations_ci,utility_algorithmic,utility_algorithmic_ci,utility_coalition,utility_coalition_ci,utility_direct,utility_direct_ci
63,6.394583,0.018526,197.28,1.88,6.343328,0.022266,6.221711,0.039025,7.066329,0.046757
64,6.383183,0.018689,197.30,1.86,6.339773,0.020836,6.192087,0.042434,7.047204,0.053581
65,6.391783,0.019650,196.48,1.98,6.342657,0.023548,6.202598,0.036720,7.095890,0.050290
66,6.396700,0.017595,197.12,2.00,6.355993,0.019912,6.196441,0.040772,7.034510,0.047469
67,6.379433,0.019096,199.00,1.88,6.336826,0.022391,6.198080,0.038850,7.000079,0.053239
68,6.400883,0.020067,197.44,1.90,6.366398,0.023534,6.210013,0.035996,7.000491,0.050719
69,6.391400,0.017838,197.92,1.73,6.338282,0.020193,6.246772,0.035093,7.029773,0.046330
70,6.379750,0.017921,197.59,1.83,6.333752,0.022365,6.204882,0.035605,7.023227,0.052544
71,6.390900,0.019385,197.34,1.86,6.347575,0.022193,6.219497,0.040563,7.022682,0.054002
72,6.401000,0.020363,196.15,2.00,6.356085,0.022817,6.221583,0.037154,7.021793,0.050541
73,6.404883,0.020267,197.72,2.00,6.354937,0.022151,6.247755,0.039301,7.021191,0.048596
74,6.391083,0.020045,197.00,2.04,6.354279,0.021920,6.194260,0.039584,7.031307,0.049629
75,6.393883,0.020232,197.59,2.01,6.349369,0.023037,6.199430,0.036167,7.066050,0.052620
76,6.396833,0.020171,197.82,1.83,6.350266,0.022557,6.219876,0.037976,7.045755,0.051906
77,6.411750,0.018158,195.53,1.87,6.363972,0.021233,6.249092,0.039239,7.052272,0.051252
78,6.389200,0.019227,196.59,2.07,6.340082,0.023083,6.236034,0.038888,7.011788,0.051656
79,6.400283,0.019028,196.95,1.91,6.359721,0.021403,6.190744,0.035243,7.049091,0.052003
80,6.398817,0.019288,195.46,1.89,6.356725,0.022457,6.213050,0.040144,7.034859,0.048090
81,6.391100,0.018887,197.02,1.93,6.341183,0.021775,6.221866,0.035186,7.050086,0.047713
82,6.391383,0.019491,197.81,1.87,6.343598,0.023172,6.234812,0.038110,7.022715,0.049124
83,6.372967,0.020982,198.69,1.83,6.318957,0.023804,6.216619,0.036912,7.044287,0.050922
84,6.394933,0.019003,196.79,1.89,6.348748,0.023000,6.231954,0.040198,7.031759,0.048407
85,6.390433,0.019582,197.25,1.98,6.339245,0.023845,6.219266,0.037917,7.057604,0.050382
86,6.364033,0.019896,199.85,1.75,6.314782,0.023886,6.192211,0.037251,7.031561,0.049196
87,6.405750,0.018251,196.28,1.81,6.368059,0.022036,6.215144,0.037637,7.010831,0.048888
88,6.392583,0.019538,197.21,1.83,6.345481,0.022439,6.233404,0.036412,7.025939,0.049684
89,6.396317,0.018071,198.56,1.89,6.355519,0.020164,6.203506,0.037644,7.026283,0.049601
90,6.394467,0.020003,197.62,1.99,6.358652,0.022296,6.192979,0.039611,7.019223,0.047422
91,6.391033,0.019391,197.51,1.85,6.347636,0.022358,6.214897,0.035599,7.018507,0.051547
92,6.399217,0.016705,195.77,1.69,6.349410,0.020528,6.253024,0.039319,7.020900,0.054478
93,6.371383,0.018626,199.22,2.02,6.327054,0.023311,6.186683,0.036915,7.023965,0.051354
94,6.389133,0.018890,198.63,1.94,6.342205,0.022236,6.233731,0.036035,6.994143,0.052486
95,6.398750,0.018393,196.29,1.80,6.354941,0.021369,6.234828,0.041063,7.017643,0.049242
96,6.393300,0.018639,197.26,1.89,6.343533,0.023194,6.225557,0.036904,7.006487,0.046745
97,6.405367,0.019628,195.94,1.87,6.362229,0.022524,6.214025,0.039590,7.031107,0.045217
98,6.413467,0.019249,195.68,1.96,6.363662,0.022576,6.263677,0.040195,7.020422,0.050555
99,6.402583,0.018685,197.26,1.88,6.358370,0.021656,6.196148,0.038397,7.056754,0.050422
100,6.416967,0.017810,194.37,1.99,6.367712,0.021229,6.247574,0.036895,7.053994,0.047080
