iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.745556,6.213166,9.762430,0.621317,0.650829,58562,65.068889,100
1,43,6.285556,5.906716,8.432315,0.590672,0.562154,57341,63.712222,100
2,44,6.564865,5.964212,9.968567,0.596421,0.664571,59101,65.667778,100
3,45,6.785556,6.168863,10.280149,0.616886,0.685343,58810,65.344444,100
4,46,6.591975,6.109440,9.326342,0.610944,0.621756,56753,63.058889,100
5,47,6.768889,6.152269,10.263069,0.615227,0.684205,57961,64.401111,100
6,48,6.524444,6.134909,8.731809,0.613491,0.582121,57877,64.307778,100
7,49,6.543333,6.144128,8.805496,0.614413,0.587033,58330,64.811111,100
8,50,6.648889,6.056877,10.003622,0.605688,0.666908,59040,65.600000,100
9,51,6.668889,6.161533,9.543908,0.616153,0.636261,58475,64.972222,100
10,52,6.847778,6.249136,10.240084,0.624914,0.682672,58741,65.267778,100
11,53,6.444444,5.938388,9.312099,0.593839,0.620807,58752,65.280000,100
12,54,6.578000,5.892336,10.463431,0.589234,0.697562,58202,64.668889,100
13,55,6.818889,6.193425,10.363187,0.619342,0.690879,57986,64.428889,100
14,56,6.438889,5.921636,9.369991,0.592164,0.624666,58535,65.038889,100
15,57,6.595556,6.018406,9.866071,0.601841,0.657738,59065,65.627778,100
16,58,6.568889,5.981336,9.898356,0.598134,0.659890,58222,64.691111,100
17,59,6.333333,5.665762,10.116239,0.566576,0.674416,58653,65.170000,100
18,60,6.523798,5.882068,10.160271,0.588207,0.677351,58390,64.877778,100
19,61,6.595556,6.054103,9.663786,0.605410,0.644252,59839,66.487778,100
20,62,6.490150,5.822804,10.271780,0.582280,0.684785,58329,64.810000,100
21,63,6.526918,5.859595,10.308418,0.585959,0.687228,58143,64.603333,100
22,64,6.463333,5.892182,9.699859,0.589218,0.646657,59238,65.820000,100
23,65,6.486839,5.942728,9.570132,0.594273,0.638009,58744,65.271111,100
24,66,6.672222,6.065299,10.111453,0.606530,0.674097,57487,63.874444,100
