iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.588410,6.387098,10.413333,0.638710,0.694222,72743,80.825556,100
1,43,6.623873,6.399612,10.884832,0.639961,0.725655,73252,81.391111,100
2,44,6.465556,6.307769,9.463492,0.630777,0.630899,72218,80.242222,100
3,45,6.482222,6.281565,10.294709,0.628157,0.686314,72165,80.183333,100
4,46,6.641111,6.432908,10.596961,0.643291,0.706464,72605,80.672222,100
5,47,6.565263,6.431413,9.108410,0.643141,0.607227,72531,80.590000,100
6,48,6.647518,6.516036,9.145679,0.651604,0.609712,72822,80.913333,100
7,49,6.625556,6.417697,10.574860,0.641770,0.704991,72866,80.962222,100
8,50,6.608889,6.342119,11.677513,0.634212,0.778501,72133,80.147778,100
9,51,6.813248,6.589103,11.072009,0.658910,0.738134,71895,79.883333,100
10,52,6.622963,6.406108,10.743210,0.640611,0.716214,72126,80.140000,100
11,53,6.408519,6.237037,9.666667,0.623704,0.644444,71732,79.702222,100
12,54,6.675620,6.453619,10.893651,0.645362,0.726243,72862,80.957778,100
13,55,6.758889,6.604483,9.692593,0.660448,0.646173,71417,79.352222,100
14,56,6.524949,6.294684,10.900000,0.629468,0.726667,72264,80.293333,100
15,57,6.628056,6.497953,9.100000,0.649795,0.606667,72156,80.173333,100
16,58,6.444444,6.341376,8.402742,0.634138,0.560183,71751,79.723333,100
17,59,6.441138,6.247665,10.117130,0.624766,0.674475,72239,80.265556,100
18,60,6.723148,6.486286,11.223521,0.648629,0.748235,73006,81.117778,100
19,61,6.595591,6.429502,9.751292,0.642950,0.650086,71601,79.556667,100
20,62,6.455556,6.250558,10.350505,0.625056,0.690034,72663,80.736667,100
21,63,6.381111,6.158480,10.611111,0.615848,0.707407,71988,79.986667,100
22,64,6.559697,6.294376,11.600794,0.629438,0.773386,72205,80.227778,100
23,65,6.466184,6.271700,10.161376,0.627170,0.677425,73340,81.488889,100
24,66,6.567556,6.295115,11.743926,0.629511,0.782928,72142,80.157778,100
25,67,6.456316,6.283010,9.749123,0.628301,0.649942,72689,80.765556,100
26,68,6.476667,6.332594,9.214049,0.633259,0.614270,73139,81.265556,100
27,69,6.516667,6.292178,10.781955,0.629218,0.718797,72508,80.564444,100
28,70,6.502222,6.288703,10.559092,0.628870,0.703939,72053,80.058889,100
29,71,6.627772,6.437237,10.247924,0.643724,0.683195,72270,80.300000,100
30,72,6.560831,6.365118,10.279365,0.636512,0.685291,72094,80.104444,100
31,73,6.488455,6.379076,8.566667,0.637908,0.571111,72621,80.690000,100
32,74,6.465556,6.299954,9.611993,0.629995,0.640800,72210,80.233333,100
33,75,6.385000,6.170175,10.466667,0.617018,0.697778,72323,80.358889,100
34,76,6.433283,6.247510,9.962963,0.624751,0.664198,71734,79.704444,100
35,77,6.527778,6.355562,9.799872,0.635556,0.653325,71927,79.918889,100
36,78,6.455556,6.318616,9.057407,0.631862,0.603827,72343,80.381111,100
37,79,6.650972,6.427256,10.901587,0.642726,0.726772,72916,81.017778,100
38,80,6.783333,6.599746,10.271493,0.659975,0.684766,72342,80.380000,100
39,81,6.501306,6.324377,9.862963,0.632438,0.657531,72519,80.576667,100
40,82,6.519167,6.344324,9.841174,0.634432,0.656078,72108,80.120000,100
41,83,6.694444,6.466187,11.031332,0.646619,0.735422,72186,80.206667,100
42,84,6.569365,6.354129,10.658858,0.635413,0.710591,71837,79.818889,100
43,85,6.577476,6.372999,10.462540,0.637300,0.697503,72012,80.013333,100
44,86,6.411111,6.242607,9.612698,0.624261,0.640847,72508,80.564444,100
45,87,6.619630,6.465970,9.539153,0.646597,0.635944,72174,80.193333,100
46,88,6.441111,6.361444,7.954789,0.636144,0.530319,72193,80.214444,100
47,89,6.444444,6.190634,11.266843,0.619063,0.751123,72157,80.174444,100
48,90,6.624444,6.454135,9.860331,0.645413,0.657355,72219,80.243333,100
49,91,6.531111,6.363596,9.713905,0.636360,0.647594,72076,80.084444,100
50,92,6.533333,6.368719,9.661002,0.636872,0.644067,73122,81.246667,100
51,93,6.754444,6.597173,9.742593,0.659717,0.649506,71476,79.417778,100
52,94,6.455780,6.222306,10.891799,0.622231,0.726120,72955,81.061111,100
53,95,6.350000,6.204453,9.115399,0.620445,0.607693,73408,81.564444,100
54,96,6.475370,6.281105,10.166402,0.628110,0.677760,72164,80.182222,100
55,97,6.506667,6.314093,10.165560,0.631409,0.677704,72190,80.211111,100
56,98,6.446667,6.252896,10.128307,0.625290,0.675220,71964,79.960000,100
57,99,6.218129,6.032143,9.751852,0.603214,0.650123,72136,80.151111,100
58,100,6.558889,6.387636,9.812698,0.638764,0.654180,72869,80.965556,100
59,101,6.484444,6.286355,10.248148,0.628635,0.683210,72402,80.446667,100
60,102,6.561111,6.337622,10.807407,0.633762,0.720494,72761,80.845556,100
61,103,6.556667,6.375025,10.007851,0.637503,0.667190,72077,80.085556,100
62,104,6.745556,6.586160,9.774074,0.658616,0.651605,71535,79.483333,100
