iteration,step,platform_id,governance_type,n_mainstream,n_extremist,utility_mainstream,utility_extremist
0,1,901,direct,10,2,5.001325757575758,11.393939393939394
0,1,902,algorithmic,59,7,4.954214570739995,8.428571428571429
0,1,903,algorithmic,66,5,5.03999346612983,9.125
0,1,904,algorithmic,66,1,4.982041790280427,10.0
0,1,905,algorithmic,52,4,4.700669322664515,7.379734848484849
0,1,906,coalition,11,4,4.560175619834711,9.58041958041958
0,1,907,direct,15,6,4.675592463092463,9.242424242424242
0,1,908,direct,9,1,5.013047138047138,11.393939393939394
0,1,909,algorithmic,62,4,5.487751663658921,9.875
0,1,910,direct,11,3,5.659090909090909,9.6875
0,1,911,coalition,12,4,4.918172105672106,9.1328125
0,1,912,coalition,9,9,4.4497053872053876,10.26388888888889
0,1,913,direct,13,5,4.622668997668997,9.375
0,1,914,coalition,13,3,4.668319661108122,11.375
0,1,915,direct,13,9,3.802279451317913,9.583543771043772
0,1,916,direct,10,6,4.56344696969697,8.885416666666666
0,1,917,coalition,15,3,6.072095959595959,9.166666666666668
0,1,918,algorithmic,60,5,5.108997426184926,8.687878787878788
0,1,919,coalition,21,8,4.726731601731602,8.876201923076923
0,1,920,coalition,8,5,4.221354166666667,10.225
0,1,921,algorithmic,76,8,5.149368175683965,8.799242424242424
0,1,922,direct,22,5,4.347855742742106,10.0125
0,1,923,coalition,15,5,4.632347513597513,6.770075757575758
0,1,924,coalition,11,5,5.726584022038567,9.975
0,1,925,algorithmic,36,11,4.997932044807045,7.984676308539945
0,1,926,direct,16,3,5.738932291666667,11.6875
0,1,927,algorithmic,54,4,5.309518799102132,8.5
0,2,901,direct,4,7,4.305555555555555,7.476190476190476
0,2,902,algorithmic,65,9,4.949112426035502,6.148656898656899
0,2,903,algorithmic,59,1,5.4874795637507505,10.0
0,2,904,algorithmic,58,1,6.17826116862628,10.0
0,2,905,algorithmic,75,5,5.662439238321592,4.323137973137973
0,2,906,coalition,19,4,5.681949972971644,9.237012987012987
0,2,907,direct,7,1,5.857142857142857,12.75
0,2,908,direct,2,6,6.5,7.7592592592592595
0,2,909,algorithmic,80,9,5.576288662318074,7.140038973372307
0,2,910,direct,3,12,5.333333333333333,7.52920227920228
0,2,911,coalition,19,3,5.3660666818561555,10.0
0,2,912,coalition,11,0,5.909090909090909,
0,2,913,direct,14,4,5.590484678719973,12.823529411764707
0,2,914,coalition,6,3,6.280701754385965,12.333333333333334
0,2,915,direct,2,0,7.0,
0,2,916,direct,4,13,6.5,8.692307692307692
0,2,917,coalition,17,3,6.156443325993499,7.571428571428572
0,2,918,algorithmic,62,5,5.581315321827655,8.5
0,2,919,coalition,15,8,5.8,8.958333333333334
0,2,920,coalition,6,0,6.309523809523809,
0,2,921,algorithmic,74,5,5.688657118804177,8.181818181818182
0,2,922,direct,2,10,2.6764705882352944,6.888888888888888
0,2,923,coalition,11,5,5.348484848484849,11.947368421052632
0,2,924,coalition,21,1,5.455026455026455,8.666666666666666
0,2,925,algorithmic,65,12,5.313742933259484,6.201361138861139
0,2,926,direct,3,3,5.191721132897604,7.518518518518519
0,2,927,algorithmic,61,5,5.666204991301424,5.8694677871148455
0,3,901,direct,5,8,4.908014354066986,11.551136363636363
0,3,902,algorithmic,53,0,6.019893951775195,
0,3,903,algorithmic,86,1,5.995631067418993,12.0
0,3,904,algorithmic,82,1,6.5014972175122825,11.0
0,3,905,algorithmic,68,5,6.141639790428718,7.5
0,3,906,coalition,7,2,6.244897959183674,12.318181818181818
0,3,907,direct,2,1,6.823529411764706,15.0
0,3,908,direct,2,6,5.611607142857142,11.428571428571429
0,3,909,algorithmic,76,25,6.171052631578948,7.720683760683761
0,3,910,direct,5,14,5.3,10.697588126159555
0,3,911,coalition,12,3,5.813492063492063,10.523809523809524
0,3,912,coalition,10,0,6.229106187929718,
0,3,913,direct,1,5,7.0,12.994117647058824
0,3,914,coalition,14,3,5.214285714285714,9.571428571428571
0,3,915,direct,14,0,6.230742296918768,
0,3,916,direct,2,16,7.054621848739496,10.728693181818182
0,3,917,coalition,10,3,4.633333333333334,10.473684210526315
0,3,918,algorithmic,54,5,6.247691669260297,8.0
0,3,919,coalition,5,4,5.142857142857143,9.117647058823529
0,3,920,coalition,23,0,5.774251004749726,
0,3,921,algorithmic,75,16,5.6880650504179915,7.81547619047619
0,3,922,direct,3,12,6.34891456582633,10.465909090909092
0,3,923,coalition,11,0,5.471074380165289,
0,3,924,coalition,15,1,5.232142857142858,12.0
0,3,925,algorithmic,76,0,6.102125579099263,
0,3,926,direct,0,4,,11.852272727272727
0,3,927,algorithmic,54,0,6.4638723260584285,
0,4,901,direct,3,8,6.203703703703703,12.083333333333334
0,4,902,algorithmic,76,0,6.16421261487051,
0,4,903,algorithmic,85,1,6.769467787114846,11.0
0,4,904,algorithmic,72,1,6.4256365740740735,10.0
0,4,905,algorithmic,54,0,6.459362139917695,
0,4,906,coalition,4,2,5.345238095238095,14.375
0,4,907,direct,2,1,6.0,15.0
0,4,908,direct,4,6,5.5,11.428571428571429
0,4,909,algorithmic,70,0,6.463888888888889,
0,4,910,direct,0,14,,11.38888888888889
0,4,911,coalition,18,3,6.798280423280423,9.88888888888889
0,4,912,coalition,18,0,6.0,
0,4,913,direct,3,6,5.296296296296297,10.729166666666666
0,4,914,coalition,18,0,6.6469907407407405,
0,4,915,direct,8,1,7.089285714285714,9.375
0,4,916,direct,0,16,,10.588235294117647
0,4,917,coalition,8,3,5.75,11.166666666666666
0,4,918,algorithmic,56,55,6.200396825396825,7.806060606060606
0,4,919,coalition,13,0,5.602564102564102,
0,4,920,coalition,13,0,6.461538461538462,
0,4,921,algorithmic,77,0,6.333333333333334,
0,4,922,direct,4,12,4.740196078431373,11.071428571428571
0,4,923,coalition,18,0,6.037037037037037,
0,4,924,coalition,20,1,6.033333333333333,11.0
0,4,925,algorithmic,47,0,6.576241134751773,
0,4,926,direct,5,5,4.166760037348273,9.875
0,4,927,algorithmic,69,0,6.199059696342305,
0,5,901,direct,0,8,,11.5
0,5,902,algorithmic,66,0,6.334054834054834,
0,5,903,algorithmic,61,1,6.397540983606557,11.0
0,5,904,algorithmic,58,1,5.948275862068965,11.0
0,5,905,algorithmic,47,0,6.5611702127659575,
0,5,906,coalition,18,2,5.222222222222222,9.75
0,5,907,direct,4,1,5.618055555555555,15.0
0,5,908,direct,6,6,5.24537037037037,12.222222222222221
0,5,909,algorithmic,88,0,6.635416666666666,
0,5,910,direct,3,14,4.166666666666667,10.0
0,5,911,coalition,18,3,5.847222222222222,8.88888888888889
0,5,912,coalition,8,0,7.0,
0,5,913,direct,3,6,5.8657407407407405,11.875
0,5,914,coalition,8,0,6.166666666666667,
0,5,915,direct,7,1,6.142857142857143,14.0
0,5,916,direct,5,16,5.083333333333334,10.0
0,5,917,coalition,12,3,6.340773809523809,13.0
0,5,918,algorithmic,82,55,6.528624661246612,9.178571428571429
0,5,919,coalition,15,0,5.4,
0,5,920,coalition,21,0,6.892857142857143,
0,5,921,algorithmic,66,0,6.350378787878788,
0,5,922,direct,0,12,,11.333333333333334
0,5,923,coalition,20,0,6.15,
0,5,924,coalition,15,1,6.325,10.0
0,5,925,algorithmic,61,0,5.979052823315119,
0,5,926,direct,4,5,4.875,12.777777777777779
0,5,927,algorithmic,69,0,6.554347826086956,
0,6,901,direct,2,9,5.6875,9.83838383838384
0,6,902,algorithmic,89,0,6.4408166739627415,
0,6,903,algorithmic,73,1,6.803944793490576,12.0
0,6,904,algorithmic,50,1,6.461854636591479,10.0
0,6,905,algorithmic,57,0,6.125503151818942,
0,6,906,coalition,15,0,5.698245614035088,
0,6,907,direct,3,1,5.299242424242425,15.0
0,6,908,direct,4,6,5.0,12.727272727272727
0,6,909,algorithmic,69,0,6.417503739586119,
0,6,910,direct,1,14,4.0,10.9375
0,6,911,coalition,9,3,6.726190476190476,9.285714285714285
0,6,912,coalition,24,0,6.145833333333333,
0,6,913,direct,4,6,5.0,11.875
0,6,914,coalition,13,0,5.346153846153846,
0,6,915,direct,2,1,6.375,15.0
0,6,916,direct,6,16,6.049242424242425,11.25
0,6,917,coalition,19,3,6.31704260651629,9.571428571428571
0,6,918,algorithmic,63,55,6.1539920327514315,7.5
0,6,919,coalition,27,0,6.152236652236652,
0,6,920,coalition,13,0,6.3076923076923075,
0,6,921,algorithmic,67,0,6.160588037257322,
0,6,922,direct,4,13,5.380681818181818,9.888111888111887
0,6,923,coalition,13,0,5.406593406593407,
0,6,924,coalition,11,1,6.484848484848484,8.0
0,6,925,algorithmic,78,0,6.100968475968476,
0,6,926,direct,3,5,5.666666666666667,12.5
0,6,927,algorithmic,46,0,6.423340961098398,
0,7,901,direct,4,9,4.948660714285714,11.0
0,7,902,algorithmic,59,0,6.796995377503852,
0,7,903,algorithmic,67,1,6.8059701492537314,11.0
0,7,904,algorithmic,61,1,6.19672131147541,11.0
0,7,905,algorithmic,64,11,6.1599237351190474,6.17857142857143
0,7,906,coalition,23,0,6.219367588932806,
0,7,907,direct,8,1,4.870163690476191,14.0
0,7,908,direct,2,6,6.666666666666667,12.222222222222221
0,7,909,algorithmic,51,26,6.284950343773874,6.178571428571429
0,7,910,direct,1,14,7.333333333333334,10.357142857142858
0,7,911,coalition,14,21,6.183673469387755,7.023191094619666
0,7,912,coalition,10,0,6.8,
0,7,913,direct,0,6,,12.222222222222221
0,7,914,coalition,19,0,5.842105263157895,
0,7,915,direct,1,1,4.190476190476191,15.0
0,7,916,direct,2,16,5.083333333333334,11.428571428571429
0,7,917,coalition,27,3,6.074074074074074,10.523809523809524
0,7,918,algorithmic,83,0,6.389952667814113,
0,7,919,coalition,10,0,7.1,
0,7,920,coalition,13,0,6.6923076923076925,
0,7,921,algorithmic,82,0,6.264946943300602,
0,7,922,direct,3,13,4.126984126984127,11.25
0,7,923,coalition,3,0,5.896825396825396,
0,7,924,coalition,12,1,5.666666666666667,10.0
0,7,925,algorithmic,82,0,6.3826417484954066,
0,7,926,direct,2,5,5.833333333333334,12.142857142857142
0,7,927,algorithmic,62,0,6.59360599078341,
0,8,901,direct,6,9,5.979166666666667,11.666666666666666
0,8,902,algorithmic,69,0,6.405017921146953,
0,8,903,algorithmic,66,1,6.484326018808777,9.0
0,8,904,algorithmic,67,11,6.755642967428865,7.72027972027972
0,8,905,algorithmic,61,17,5.99747764311144,8.639301874595994
0,8,906,coalition,18,0,6.75462962962963,
