step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
25,6.727554,0.035698,635.500000,8.073376,169.600000,8.040048,94.900000,2.493887,689.980000,8.122025,51.080000,6.552201,638.900000,5.362347,9.203049,0.121824,6.290702,0.032024,6.387262,0.035632,6.365909,0.076891,9.633959,0.088670
26,6.765023,0.036619,633.860000,9.228455,170.000000,8.502600,96.140000,2.618867,683.480000,9.266645,45.820000,7.311527,637.660000,6.218424,9.327078,0.151597,6.312895,0.038443,6.424336,0.044809,6.426659,0.064719,9.600878,0.086007
27,6.755268,0.038312,639.020000,8.971628,165.920000,8.595196,95.060000,2.546252,683.560000,8.970347,40.280000,7.826396,643.280000,4.992186,9.407275,0.155675,6.287267,0.034228,6.410760,0.050422,6.406673,0.069612,9.649327,0.095477
28,6.762246,0.033502,642.120000,8.909922,161.640000,8.061425,96.240000,2.254346,679.320000,10.044852,41.900000,8.121979,637.420000,5.528164,9.295851,0.167693,6.315140,0.031445,6.427593,0.044918,6.383406,0.078297,9.607874,0.092565
29,6.772024,0.028309,644.940000,7.534531,159.040000,6.879791,96.020000,2.463675,677.900000,9.292837,40.940000,7.591958,636.960000,5.105824,9.344710,0.127447,6.318021,0.032980,6.423915,0.043961,6.449511,0.069310,9.625464,0.089933
30,6.753442,0.028093,642.040000,8.013277,161.840000,7.694115,96.120000,2.630594,690.980000,8.130130,48.360000,7.098927,642.620000,4.653694,9.253550,0.157042,6.312246,0.026571,6.402006,0.034294,6.432874,0.066653,9.625024,0.077831
31,6.750052,0.027709,645.820000,8.113372,158.520000,7.970561,95.660000,2.938592,684.340000,8.048743,42.140000,7.453895,642.200000,4.867814,9.324976,0.127251,6.295654,0.028635,6.406339,0.038771,6.377931,0.055654,9.667818,0.088147
32,6.760943,0.038224,641.660000,8.700499,162.880000,8.468533,95.460000,2.587061,685.240000,9.059125,45.280000,6.696401,639.960000,5.308776,9.295517,0.137079,6.313665,0.034474,6.414745,0.048295,6.411587,0.077654,9.645745,0.081561
33,6.730761,0.026909,638.900000,8.717178,165.000000,8.334787,96.100000,2.404253,685.700000,7.972530,48.120000,7.470207,637.580000,6.001959,9.210522,0.137061,6.293157,0.035018,6.390742,0.038120,6.372395,0.063097,9.585501,0.089098
34,6.724105,0.037165,638.420000,8.288963,165.620000,8.254995,95.960000,2.590543,689.340000,9.565943,47.960000,7.447360,641.380000,5.372175,9.241222,0.134778,6.279908,0.036806,6.383820,0.046693,6.349539,0.069859,9.632225,0.087439
35,6.736581,0.027322,645.760000,7.850705,159.080000,7.173213,95.160000,2.604066,691.160000,8.780464,43.140000,7.816166,648.020000,5.378767,9.375487,0.121265,6.270892,0.026593,6.397784,0.037055,6.336733,0.065680,9.678484,0.081963
