Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.772900,0.111939,6.741872,6.803928,6.775576,6.568889,7.083333,50
avg_utility_extremist,9.222931,0.524449,9.077561,9.368301,9.244853,7.787817,10.408247,50
avg_utility_mainstream,6.340541,0.117008,6.308108,6.372974,6.331185,6.024827,6.569303,50
avg_utility_gov_algorithmic,6.437891,0.149768,6.396378,6.479405,6.434932,6.097542,6.898654,50
avg_utility_gov_coalition,6.406708,0.252873,6.336615,6.476801,6.410041,5.888471,7.147762,50
avg_utility_gov_direct,9.660692,0.277399,9.583801,9.737583,9.638081,9.066498,10.484687,50
avg_utility_extremist_algorithmic,7.171277,0.946065,6.888501,7.454053,7.307692,5.197368,9.227273,43
avg_utility_extremist_coalition,7.545777,1.382432,6.980793,8.110761,7.362319,5.000000,10.583333,23
avg_utility_extremist_direct,11.164565,0.345666,11.068751,11.260379,11.115311,10.524366,12.077987,50
avg_utility_mainstream_algorithmic,6.379662,0.126793,6.344517,6.414807,6.369330,6.097542,6.645043,50
avg_utility_mainstream_coalition,6.286648,0.175094,6.238114,6.335181,6.302096,5.948785,6.589404,50
avg_utility_mainstream_direct,5.740234,0.654401,5.558844,5.921625,5.611368,4.676952,7.096193,50
norm_utility_extremist,0.614862,0.034963,0.605171,0.624553,0.616324,0.519188,0.693883,50
norm_utility_mainstream,0.634054,0.011701,0.630811,0.637297,0.633119,0.602483,0.656930,50
total_relocations,68664.240000,603.115773,68497.064837,68831.415163,68771.000000,67098.000000,69535.000000,50
avg_relocations_per_community,76.293600,0.670129,76.107850,76.479350,76.412222,74.553333,77.261111,50
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50
final_count_algorithmic,647.120000,27.883606,639.391059,654.848941,648.500000,570.000000,708.000000,50
final_proportion_algorithmic,0.719022,0.030982,0.710435,0.727610,0.720556,0.633333,0.786667,50
final_count_coalition,158.640000,28.786873,150.660686,166.619314,152.000000,119.000000,233.000000,50
final_proportion_coalition,0.176267,0.031985,0.167401,0.185133,0.168889,0.132222,0.258889,50
final_count_direct,94.240000,8.205424,91.965573,96.514427,94.500000,73.000000,110.000000,50
final_proportion_direct,0.104711,0.009117,0.102184,0.107238,0.105000,0.081111,0.122222,50
final_count_extremist_algorithmic,49.520000,24.296838,42.785260,56.254740,61.500000,0.000000,74.000000,50
final_count_extremist_coalition,17.640000,26.143060,10.393513,24.886487,0.000000,0.000000,78.000000,50
final_count_extremist_direct,67.840000,5.733397,66.250784,69.429216,68.500000,57.000000,81.000000,50
final_count_mainstream_algorithmic,597.600000,18.064510,592.592773,602.607227,596.500000,561.000000,645.000000,50
final_count_mainstream_coalition,141.000000,15.612658,136.672392,145.327608,139.500000,102.000000,171.000000,50
final_count_mainstream_direct,26.400000,6.210590,24.678512,28.121488,26.500000,11.000000,39.000000,50
convergence_settling_step,99.540000,,,,,,,
burst_rate,0.656296,,,,,,,
burst_size_median,32.000000,,,,,,,
escalation_mean_slope,0.569502,,,,,,,
escalation_p_value,0.026185,,,,,,,
displacement_util_delta_mean,0.035894,,,,,,,
displacement_frac_negative,0.020000,,,,,,,
enclave_mean_homogeneity,0.984271,,,,,,,
enclave_settling_step,7.395556,,,,,,,
convergence_pattern_mode,NOISY_PLATEAU,,,,,,,
