step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.430817,0.012667,187.155000,1.809545,58.720000,1.445195,54.125000,1.394880,187.340000,1.799936,5.298992,0.017917,5.732069,0.036584,5.602068,0.034647
2,5.838900,0.029078,184.955000,2.120578,59.445000,1.468025,55.600000,1.568123,141.090000,3.003987,6.043376,0.032228,5.683120,0.045425,5.365729,0.052607
3,6.149133,0.021316,178.965000,2.114657,60.650000,1.705961,60.385000,1.537332,112.960000,2.794120,6.288004,0.023133,5.806857,0.044930,6.117516,0.045149
4,6.158600,0.021994,179.705000,2.077793,58.415000,1.736552,61.880000,1.559269,111.825000,2.790199,6.263951,0.023189,5.845631,0.045314,6.178914,0.049951
5,6.179400,0.021785,177.340000,2.140474,60.885000,1.647967,61.775000,1.621828,111.055000,2.688034,6.282724,0.024052,5.822818,0.046616,6.271422,0.042947
6,6.177533,0.025205,178.875000,2.125654,58.955000,1.667885,62.170000,1.677108,109.150000,3.103631,6.266457,0.024278,5.871027,0.050124,6.249671,0.049144
7,6.200450,0.019431,178.960000,1.977837,58.990000,1.560409,62.050000,1.599252,104.890000,2.576884,6.292222,0.022225,5.840402,0.044599,6.315309,0.043588
8,6.192483,0.021737,177.840000,2.140383,58.370000,1.630250,63.790000,1.623562,108.490000,2.781626,6.296488,0.024557,5.851180,0.044447,6.246904,0.044470
9,6.182617,0.021234,176.890000,2.181537,59.340000,1.577295,63.770000,1.661356,109.820000,2.677405,6.284580,0.023358,5.821025,0.044534,6.271840,0.046223
10,6.193267,0.021092,176.840000,1.975375,59.840000,1.696070,63.320000,1.510354,108.370000,2.731778,6.285486,0.022603,5.868928,0.042270,6.279545,0.048376
11,6.194033,0.021250,178.045000,1.964294,59.710000,1.627481,62.245000,1.474638,107.030000,2.674705,6.276460,0.023259,5.823345,0.042884,6.347816,0.047245
12,6.170717,0.023456,177.885000,2.120345,59.195000,1.697677,62.920000,1.539634,110.210000,2.688048,6.263129,0.024598,5.840172,0.046847,6.259034,0.048430
13,6.195283,0.021896,178.275000,2.043040,58.835000,1.432490,62.890000,1.457474,107.735000,2.791377,6.286607,0.024065,5.848659,0.044205,6.293906,0.048360
14,6.179967,0.021043,175.955000,2.081437,60.420000,1.613470,63.625000,1.517919,107.995000,2.522013,6.279554,0.024826,5.842622,0.042821,6.255139,0.043509
15,6.181150,0.021476,177.190000,1.856998,59.195000,1.579145,63.615000,1.379624,108.450000,2.502197,6.268370,0.023483,5.853675,0.043850,6.271051,0.042903
16,6.184333,0.021490,179.520000,2.275998,58.670000,1.647553,61.810000,1.599170,109.085000,2.794981,6.268362,0.023287,5.849292,0.045822,6.287966,0.048232
17,6.192767,0.020569,179.215000,2.156979,57.625000,1.531845,63.160000,1.601646,108.260000,2.707178,6.300433,0.023704,5.823579,0.041817,6.253807,0.043511
18,6.209633,0.020501,177.495000,2.217226,58.325000,1.700758,64.180000,1.613613,106.405000,2.511028,6.312511,0.021591,5.873349,0.043623,6.268815,0.045339
19,6.189217,0.021626,178.620000,2.068377,58.115000,1.745251,63.265000,1.594218,108.460000,2.921419,6.282807,0.023540,5.825375,0.043122,6.298028,0.043614
20,6.186633,0.021336,178.065000,2.179469,59.535000,1.761913,62.400000,1.553218,107.080000,2.725341,6.278439,0.025436,5.841711,0.046740,6.295240,0.044540
21,6.170667,0.021857,177.305000,2.030399,60.290000,1.641065,62.405000,1.478273,109.610000,2.585522,6.273209,0.024978,5.846959,0.046663,6.229875,0.046226
22,6.194700,0.021823,179.560000,2.242705,58.580000,1.682523,61.860000,1.601140,109.490000,2.713011,6.285048,0.024598,5.878340,0.047530,6.272714,0.044257
23,6.185217,0.022876,176.200000,1.940599,60.160000,1.547892,63.640000,1.419648,109.055000,2.422721,6.300644,0.024844,5.809960,0.047988,6.246982,0.043669
24,6.193950,0.022343,178.555000,2.110376,58.675000,1.591216,62.770000,1.621963,108.480000,2.926804,6.286797,0.023453,5.864804,0.045324,6.267064,0.043705
25,6.195050,0.019961,177.705000,1.915458,58.575000,1.718682,63.720000,1.528484,109.045000,2.894149,6.301932,0.023228,5.862523,0.041990,6.243201,0.047418
26,6.169400,0.022491,176.530000,2.033425,60.160000,1.620876,63.310000,1.531716,111.635000,2.928394,6.272273,0.025087,5.794648,0.046611,6.275618,0.045375
27,6.177950,0.022945,178.220000,2.177346,59.065000,1.545560,62.715000,1.668815,111.160000,2.804863,6.274623,0.024657,5.840853,0.046991,6.254036,0.047396
28,6.199583,0.019846,177.785000,2.107043,59.455000,1.684899,62.760000,1.471738,108.575000,2.633850,6.298894,0.021885,5.881977,0.044078,6.255747,0.044152
29,6.208867,0.021580,176.990000,2.033619,60.515000,1.598964,62.495000,1.546929,107.210000,2.707904,6.302804,0.023089,5.869183,0.046773,6.305456,0.044750
30,6.184217,0.019665,178.160000,2.334636,58.610000,1.642312,63.230000,1.597257,108.980000,2.686625,6.274634,0.022375,5.869708,0.045929,6.258042,0.048601
31,6.186833,0.021682,177.235000,2.205571,58.960000,1.675710,63.805000,1.491960,109.010000,2.568675,6.288790,0.023728,5.846126,0.048486,6.263584,0.046976
32,6.174100,0.020575,179.470000,2.108556,57.560000,1.735738,62.970000,1.594124,109.055000,2.659661,6.263262,0.023838,5.820206,0.043744,6.281873,0.045458
33,6.185550,0.021482,178.410000,2.027354,58.980000,1.622513,62.610000,1.447039,109.585000,2.653123,6.289143,0.023108,5.813888,0.042743,6.257825,0.046783
34,6.195433,0.019522,178.495000,2.127155,58.130000,1.726576,63.375000,1.536124,108.225000,2.548168,6.289842,0.022398,5.864231,0.045281,6.273223,0.043675
35,6.195617,0.021560,178.420000,2.075030,59.300000,1.736092,62.280000,1.514591,108.485000,2.722954,6.289104,0.022694,5.852994,0.045122,6.283799,0.048864
36,6.183567,0.023398,178.375000,1.998644,59.325000,1.535527,62.300000,1.508579,109.025000,2.704010,6.277395,0.025466,5.838550,0.044020,6.271638,0.043798
37,6.193250,0.024790,176.560000,2.033745,60.125000,1.619773,63.315000,1.555800,109.020000,2.713223,6.298400,0.025164,5.841927,0.046835,6.267039,0.047497
38,6.176667,0.018907,177.860000,1.862844,60.005000,1.523572,62.135000,1.503623,111.410000,2.658608,6.271195,0.021340,5.838056,0.046305,6.277849,0.047199
39,6.190933,0.021587,178.150000,1.943569,58.960000,1.571126,62.890000,1.525870,107.990000,2.825215,6.282080,0.024054,5.872412,0.048568,6.274492,0.044493
