step,avg_utility,avg_utility_ci,n_relocations,n_relocations_ci,utility_algorithmic,utility_algorithmic_ci,utility_coalition,utility_coalition_ci,utility_direct,utility_direct_ci
1,5.430817,0.012667,187.34,1.80,5.298992,0.017917,5.732069,0.036584,5.602068,0.034647
2,5.838900,0.029078,141.09,3.00,6.043376,0.032228,5.683120,0.045425,5.365729,0.052607
3,6.149133,0.021316,112.96,2.79,6.288004,0.023133,5.806857,0.044930,6.117516,0.045149
4,6.158600,0.021994,111.83,2.79,6.263951,0.023189,5.845631,0.045314,6.178914,0.049951
5,6.179400,0.021785,111.06,2.69,6.282724,0.024052,5.822818,0.046616,6.271422,0.042947
6,6.177533,0.025205,109.15,3.10,6.266457,0.024278,5.871027,0.050124,6.249671,0.049144
7,6.200450,0.019431,104.89,2.58,6.292222,0.022225,5.840402,0.044599,6.315309,0.043588
8,6.192483,0.021737,108.49,2.78,6.296488,0.024557,5.851180,0.044447,6.246904,0.044470
9,6.182617,0.021234,109.82,2.68,6.284580,0.023358,5.821025,0.044534,6.271840,0.046223
10,6.193267,0.021092,108.37,2.73,6.285486,0.022603,5.868928,0.042270,6.279545,0.048376
11,6.194033,0.021250,107.03,2.67,6.276460,0.023259,5.823345,0.042884,6.347816,0.047245
12,6.170717,0.023456,110.21,2.69,6.263129,0.024598,5.840172,0.046847,6.259034,0.048430
13,6.195283,0.021896,107.73,2.79,6.286607,0.024065,5.848659,0.044205,6.293906,0.048360
14,6.179967,0.021043,108.00,2.52,6.279554,0.024826,5.842622,0.042821,6.255139,0.043509
15,6.181150,0.021476,108.45,2.50,6.268370,0.023483,5.853675,0.043850,6.271051,0.042903
16,6.184333,0.021490,109.08,2.79,6.268362,0.023287,5.849292,0.045822,6.287966,0.048232
17,6.192767,0.020569,108.26,2.71,6.300433,0.023704,5.823579,0.041817,6.253807,0.043511
18,6.209633,0.020501,106.41,2.51,6.312511,0.021591,5.873349,0.043623,6.268815,0.045339
19,6.189217,0.021626,108.46,2.92,6.282807,0.023540,5.825375,0.043122,6.298028,0.043614
20,6.186633,0.021336,107.08,2.73,6.278439,0.025436,5.841711,0.046740,6.295240,0.044540
21,6.170667,0.021857,109.61,2.59,6.273209,0.024978,5.846959,0.046663,6.229875,0.046226
22,6.194700,0.021823,109.49,2.71,6.285048,0.024598,5.878340,0.047530,6.272714,0.044257
23,6.185217,0.022876,109.06,2.42,6.300644,0.024844,5.809960,0.047988,6.246982,0.043669
