step,avg_utility_mean,avg_utility_ci,community_count_coalition_mean,community_count_coalition_ci,n_relocations_mean,n_relocations_ci,utility_coalition_mean,utility_coalition_ci
75,6.088100,0.019112,300.000000,0.000000,184.025000,1.929848,6.088100,0.019112
76,6.075600,0.018927,300.000000,0.000000,186.300000,2.136256,6.075600,0.018927
77,6.053917,0.021155,300.000000,0.000000,186.005000,2.485195,6.053917,0.021155
78,6.070200,0.020075,300.000000,0.000000,186.285000,2.140200,6.070200,0.020075
79,6.068683,0.019727,300.000000,0.000000,186.005000,2.000240,6.068683,0.019727
80,6.060550,0.017758,300.000000,0.000000,187.505000,2.065502,6.060550,0.017758
81,6.070033,0.019444,300.000000,0.000000,186.050000,2.188559,6.070033,0.019444
82,6.067117,0.020097,300.000000,0.000000,185.385000,2.178344,6.067117,0.020097
83,6.058067,0.019852,300.000000,0.000000,186.635000,2.112136,6.058067,0.019852
84,6.055167,0.019288,300.000000,0.000000,187.035000,2.130754,6.055167,0.019288
85,6.064667,0.019315,300.000000,0.000000,184.715000,1.948362,6.064667,0.019315
86,6.088200,0.019076,300.000000,0.000000,184.495000,2.148016,6.088200,0.019076
87,6.082983,0.018772,300.000000,0.000000,184.350000,2.132491,6.082983,0.018772
88,6.061633,0.019727,300.000000,0.000000,185.475000,2.000357,6.061633,0.019727
89,6.063817,0.020936,300.000000,0.000000,186.360000,2.291892,6.063817,0.020936
90,6.066350,0.020352,300.000000,0.000000,185.395000,2.433879,6.066350,0.020352
91,6.060517,0.018714,300.000000,0.000000,184.995000,2.450738,6.060517,0.018714
92,6.051717,0.020248,300.000000,0.000000,187.385000,2.227895,6.051717,0.020248
93,6.062600,0.018956,300.000000,0.000000,186.365000,2.134094,6.062600,0.018956
94,6.061217,0.020510,300.000000,0.000000,186.370000,2.100456,6.061217,0.020510
95,6.062400,0.019274,300.000000,0.000000,184.415000,2.215714,6.062400,0.019274
96,6.062250,0.019569,300.000000,0.000000,184.690000,2.203575,6.062250,0.019569
97,6.058033,0.019009,300.000000,0.000000,187.130000,2.227879,6.058033,0.019009
98,6.075850,0.018960,300.000000,0.000000,184.080000,2.138124,6.075850,0.018960
99,6.074883,0.017907,300.000000,0.000000,184.370000,2.291651,6.074883,0.017907
100,6.057900,0.019614,300.000000,0.000000,185.875000,2.161452,6.057900,0.019614
