step,avg_utility,avg_utility_ci,n_relocations,n_relocations_ci,utility_algorithmic,utility_algorithmic_ci,utility_coalition,utility_coalition_ci,utility_direct,utility_direct_ci
1,5.810783,0.009850,269.69,0.68,5.755774,0.013633,6.054633,0.032776,5.795708,0.032271
2,6.347767,0.017568,253.76,1.11,6.343297,0.019067,6.332873,0.032400,6.452868,0.041468
3,6.607867,0.014215,243.06,1.24,6.571309,0.016119,6.533733,0.027460,7.358553,0.055520
4,6.622483,0.014699,240.58,1.29,6.589459,0.016494,6.516694,0.030584,7.486703,0.061363
5,6.628917,0.015887,239.26,1.32,6.592267,0.017065,6.529934,0.027128,7.585364,0.062493
6,6.631217,0.015080,239.96,1.38,6.589881,0.017380,6.560733,0.026813,7.592320,0.064053
7,6.619900,0.015817,240.18,1.33,6.580710,0.017882,6.531767,0.024630,7.618853,0.065946
8,6.627217,0.015266,239.41,1.26,6.583643,0.015630,6.563781,0.028110,7.643400,0.073110
9,6.623367,0.014812,240.16,1.26,6.586200,0.015727,6.533739,0.030049,7.613888,0.063189
10,6.612450,0.016542,240.51,1.30,6.577330,0.017884,6.507167,0.030835,7.588883,0.062893
11,6.627483,0.015267,239.75,1.34,6.588840,0.017598,6.527642,0.029064,7.646325,0.057358
12,6.629183,0.016630,239.53,1.40,6.589278,0.018440,6.533584,0.028818,7.695771,0.066208
13,6.627700,0.014208,239.28,1.26,6.584165,0.015520,6.555141,0.028787,7.677855,0.057597
14,6.616717,0.015314,240.35,1.30,6.580769,0.016718,6.530351,0.026222,7.660477,0.063105
15,6.616667,0.016776,240.59,1.38,6.579590,0.018169,6.528369,0.027344,7.590514,0.064136
16,6.626283,0.014841,239.41,1.26,6.581827,0.016158,6.555078,0.027111,7.679174,0.061082
17,6.624533,0.018033,239.54,1.42,6.586933,0.019712,6.535430,0.028949,7.625495,0.063919
18,6.624350,0.014277,239.03,1.33,6.585743,0.015559,6.526077,0.024790,7.621704,0.062937
19,6.637150,0.015530,239.22,1.27,6.595103,0.016661,6.557051,0.027179,7.626456,0.064777
20,6.621567,0.014716,239.71,1.26,6.581970,0.016115,6.543842,0.029972,7.598084,0.061432
21,6.637800,0.014648,239.56,1.29,6.603732,0.017240,6.542289,0.028279,7.587080,0.067462
22,6.620950,0.014777,239.78,1.27,6.580005,0.016555,6.540140,0.027800,7.639018,0.072803
23,6.617633,0.015398,241.47,1.35,6.577083,0.016580,6.529760,0.029002,7.657717,0.066422
24,6.636967,0.017546,238.91,1.52,6.599607,0.019589,6.547547,0.029017,7.621053,0.064127
25,6.626767,0.014856,239.96,1.20,6.588793,0.016330,6.534590,0.026491,7.598123,0.062374
26,6.632133,0.014836,238.04,1.30,6.592837,0.016866,6.538989,0.027311,7.657992,0.060468
27,6.628817,0.015564,239.91,1.25,6.587501,0.017280,6.552087,0.027850,7.605561,0.068743
28,6.620133,0.014286,239.55,1.22,6.581484,0.015657,6.537402,0.028008,7.619124,0.059765
29,6.613650,0.016087,238.97,1.46,6.574732,0.017618,6.526421,0.031604,7.616931,0.062682
30,6.625167,0.014866,239.93,1.27,6.586485,0.016078,6.527177,0.027497,7.611238,0.057890
31,6.612867,0.015991,239.71,1.25,6.571080,0.017377,6.524796,0.029005,7.634259,0.060162
32,6.608333,0.015425,240.93,1.32,6.565998,0.017434,6.528636,0.028141,7.611678,0.062246
33,6.616317,0.016161,239.80,1.40,6.576848,0.017815,6.513100,0.025931,7.680515,0.060236
34,6.615233,0.016296,240.65,1.34,6.570713,0.017305,6.550393,0.028416,7.629380,0.070123
35,6.639233,0.014559,238.50,1.17,6.599471,0.015491,6.552161,0.028577,7.626358,0.068859
36,6.611867,0.014762,240.34,1.24,6.573743,0.017043,6.528619,0.027971,7.629964,0.062119
37,6.625917,0.016712,240.29,1.37,6.588822,0.017722,6.530479,0.030594,7.639905,0.062148
38,6.622750,0.015564,239.68,1.33,6.589465,0.016937,6.517018,0.028117,7.677266,0.063390
39,6.616317,0.016568,241.12,1.27,6.576152,0.018118,6.533867,0.029512,7.667277,0.063404
40,6.628633,0.015035,238.97,1.27,6.598701,0.016612,6.518326,0.030269,7.564735,0.072013
41,6.630833,0.014764,239.72,1.30,6.593900,0.016039,6.532755,0.029195,7.632552,0.067028
42,6.623200,0.015558,240.06,1.28,6.582993,0.016742,6.537084,0.027737,7.650599,0.067790
43,6.624667,0.014583,239.71,1.33,6.587371,0.016566,6.529684,0.025020,7.653113,0.061239
44,6.622533,0.015588,239.83,1.31,6.584234,0.016820,6.533366,0.025922,7.652206,0.070609
45,6.631700,0.016009,238.69,1.30,6.595802,0.018061,6.528473,0.029293,7.600655,0.062701
46,6.624267,0.015337,238.60,1.32,6.582946,0.016885,6.538177,0.029938,7.658719,0.061144
47,6.628717,0.015799,239.10,1.29,6.583562,0.017256,6.551628,0.027499,7.621942,0.063154
48,6.605317,0.014794,241.22,1.27,6.561407,0.016356,6.527561,0.027439,7.647459,0.062577
49,6.617583,0.015966,239.53,1.28,6.575363,0.017124,6.528976,0.028178,7.645276,0.059596
50,6.620583,0.015032,240.57,1.22,6.578726,0.016840,6.535588,0.026319,7.701382,0.066263
51,6.624917,0.014594,239.44,1.22,6.590053,0.016947,6.517930,0.027399,7.670407,0.064377
52,6.617167,0.015068,240.36,1.19,6.579864,0.016258,6.519657,0.027331,7.628650,0.058326
53,6.612067,0.015404,240.84,1.27,6.572809,0.017171,6.525106,0.028816,7.619601,0.062182
54,6.626650,0.015398,239.72,1.19,6.587225,0.017032,6.538758,0.028172,7.653936,0.063007
55,6.627217,0.016963,239.74,1.29,6.587952,0.018583,6.538824,0.030043,7.656336,0.066099
56,6.622550,0.016534,240.49,1.27,6.587395,0.017576,6.526621,0.028518,7.611384,0.061342
57,6.617500,0.016398,240.18,1.31,6.579212,0.018044,6.521923,0.028668,7.641943,0.066603
58,6.618450,0.015408,240.53,1.28,6.577689,0.017562,6.540847,0.025182,7.591135,0.065837
