step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.810783,0.009850,202.530000,1.358845,51.300000,1.040572,46.170000,0.917126,269.690000,0.682847,5.755774,0.013633,6.054633,0.032776,5.795708,0.032271
2,6.347767,0.017568,219.745000,1.377546,54.995000,1.067450,25.260000,0.912814,253.760000,1.114582,6.343297,0.019067,6.332873,0.032400,6.452868,0.041468
3,6.607867,0.014215,226.730000,1.278761,55.615000,1.113927,17.655000,0.809513,243.055000,1.243748,6.571309,0.016119,6.533733,0.027460,7.358553,0.055520
4,6.622483,0.014699,227.810000,1.379045,55.530000,1.237424,16.660000,0.813894,240.580000,1.290830,6.589459,0.016494,6.516694,0.030584,7.486703,0.061363
5,6.628917,0.015887,228.700000,1.262527,56.205000,1.102309,15.095000,0.760451,239.260000,1.319296,6.592267,0.017065,6.529934,0.027128,7.585364,0.062493
6,6.631217,0.015080,229.340000,1.408138,56.180000,1.209643,14.480000,0.832713,239.955000,1.378688,6.589881,0.017380,6.560733,0.026813,7.592320,0.064053
7,6.619900,0.015817,228.705000,1.227075,56.685000,1.120570,14.610000,0.747159,240.180000,1.328884,6.580710,0.017882,6.531767,0.024630,7.618853,0.065946
8,6.627217,0.015266,229.925000,1.243573,56.155000,1.132950,13.920000,0.770509,239.405000,1.255866,6.583643,0.015630,6.563781,0.028110,7.643400,0.073110
9,6.623367,0.014812,229.340000,1.266911,56.390000,1.254535,14.270000,0.707877,240.160000,1.256430,6.586200,0.015727,6.533739,0.030049,7.613888,0.063189
10,6.612450,0.016542,229.270000,1.397008,55.840000,1.255046,14.890000,0.789251,240.510000,1.295654,6.577330,0.017884,6.507167,0.030835,7.588883,0.062893
11,6.627483,0.015267,229.305000,1.367927,55.900000,1.176985,14.795000,0.766356,239.745000,1.341623,6.588840,0.017598,6.527642,0.029064,7.646325,0.057358
12,6.629183,0.016630,228.100000,1.327229,57.405000,1.087392,14.495000,0.812060,239.535000,1.397641,6.589278,0.018440,6.533584,0.028818,7.695771,0.066208
13,6.627700,0.014208,230.130000,1.194511,55.765000,1.080882,14.105000,0.781089,239.275000,1.256698,6.584165,0.015520,6.555141,0.028787,7.677855,0.057597
14,6.616717,0.015314,229.295000,1.256457,57.190000,1.153157,13.515000,0.799963,240.350000,1.303879,6.580769,0.016718,6.530351,0.026222,7.660477,0.063105
15,6.616667,0.016776,229.665000,1.342507,56.195000,1.169473,14.140000,0.768838,240.595000,1.380353,6.579590,0.018169,6.528369,0.027344,7.590514,0.064136
16,6.626283,0.014841,229.955000,1.274799,56.100000,1.140330,13.945000,0.710393,239.415000,1.263694,6.581827,0.016158,6.555078,0.027111,7.679174,0.061082
17,6.624533,0.018033,229.450000,1.403903,56.120000,1.274592,14.430000,0.835438,239.540000,1.423776,6.586933,0.019712,6.535430,0.028949,7.625495,0.063919
18,6.624350,0.014277,228.935000,1.380072,56.110000,1.202041,14.955000,0.830895,239.025000,1.334152,6.585743,0.015559,6.526077,0.024790,7.621704,0.062937
19,6.637150,0.015530,229.270000,1.345626,56.275000,1.197306,14.455000,0.814292,239.225000,1.265157,6.595103,0.016661,6.557051,0.027179,7.626456,0.064777
20,6.621567,0.014716,229.405000,1.275238,55.915000,1.119553,14.680000,0.796066,239.705000,1.257225,6.581970,0.016115,6.543842,0.029972,7.598084,0.061432
21,6.637800,0.014648,229.245000,1.312787,56.375000,1.209857,14.380000,0.801600,239.555000,1.292724,6.603732,0.017240,6.542289,0.028279,7.587080,0.067462
